Hybridization REF	TCGA-A8-A0A2-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.250833333333333
CREB3L1	1.28275
RPS11	0.05075
PNMA1	0.785
MMP2	0.764833333333333
C10orf90	-1.9805
ZHX3	0.1435
ERCC5	-0.19625
GPR98	-2.08625
RXFP3	0.329
APBB2	1.66675
PRO0478	-0.492875
KLHL13	-3.034
PRSSL1	-0.9785
PDCL3	0.012
DECR1	0.04225
SALL1	-2.32716666666667
CADM4	0.407333333333333
RPS18	-0.0382142857142857
HNRPD	-0.40875
CFHR5	0.067
SLC10A7	0.543125
OR2K2	0.0815
LMAN1	-0.74375
SUHW1	-3.73675
CHD8	0.578
SUMO1	0.4912
GP1BA	0.1717
DDB1	-0.134666666666667
MYO9B	-0.2063
MMP7	5.58925
CRNKL1	1.198875
C9orf45	-0.3685
XAB2	0.004375
RTN1	0.8385
KLHL14	-1.391125
TBX10	-1.16
CENPQ	-1.6415
UTY	-1.14964285714286
ZBTB12	0.3815
DTNBP1	0.00775000000000002
KBTBD8	-0.788166666666667
ZEB1	1.15633333333333
ZG16	-1.9595
MIER1	0.6241
ADAM5P	0.179
CHD9	-0.117875
STK16	1.4275
KIAA1486	-0.1585
TOB2	1.29283333333333
BANK1	1.8885
OR2V2	0.203
GRM2	0.086
PROSC	0.567125
SPIN2B	0.35725
PIR	-4.18544444444444
IPO9	0.1153
EVC	0.3745
CXCL13	3.85183333333333
KIAA1199	-1.0463
SORL1	2.388
NAT10	-0.65775
CHD1	0.177
SYN3	-0.58
SLC22A2	-0.43325
SERPINF1	0.324
WDR34	-0.65
OR7A17	0.42475
C9orf11	-0.398
RNF216L	0.1992
LHB	-0.5055
STK25	-0.213375
TAOK3	1.06825
LOC152573	-2.73175
C3orf39	1.00725
C14orf108	0.6331
CDC25B	-2.51809090909091
BMP3	-0.1125
TMEM180	0.129
MAP1LC3C	-0.123
CRYGC	-1.163
POU3F1	-1.1665
C20orf32	-1.3725
CCDC95	-0.189
HIGD1B	3.35175
USP6NL	-0.83325
ABCD4	0.137666666666667
DIMT1L	-0.760083333333333
TEK	0.963
SLC25A46	-0.422
LARP7	-1.2744
CD160	0.112166666666667
MT1JP	-1.65083333333333
PHF20	0.2333125
CPNE4	-1.258
GTPBP1	-0.5025
RAB33B	1.41283333333333
ALDOC	-2.839
ZNF212	-0.48025
NUDT1	-1.35466666666667
RFPL2	-0.659
ZNF83	0.741666666666667
GDPD5	-1.570125
PDCD4	2.16335
CEP350	1.19625
OR10A2	-0.0135
CST7	1.00375
CIAO1	-1.20025
SELL	0.380625
OR8J3	0.1895
LTBP4	-0.288333333333333
SIRT6	-0.158
CCL19	3.948
PPIL1	-1.26983333333333
GBP7	0.340166666666667
STK17A	-1.3567
ABR	0.719
OR9G1	0.5375
FOXE1	-0.710375
CNGA3	2.3985
GML	0.2245
CD38	-0.95125
ZDHHC6	0.449
NEFH	-1.11525
CTDSP2	0.751833333333333
PGBD5	-1.0375
CCNY	0.471928571428571
RMND5B	0.85325
ZNF257	-1.22425
FLJ22167	-1.1945
EXOSC7	-0.515833333333333
ROR2	1.892625
MAOA	-1.167125
TNNT3	0.4895
GYPC	-1.51975
C7orf33	0.4355
PLIN	0.4605
LOC90826	0.13875
RNF4	0.1504
F8A1	0.300333333333333
PLEKHG4	-1.2825
GRB2	0.96535
HIST1H2AD	-0.4375
DUS3L	-0.938166666666667
EIF1	0.425
RP5-1077B9.4	-0.957666666666667
FPGT	1.6865
GDF10	0.00116666666666667
COQ9	-0.6535
GCC2	0.424142857142857
RARRES3	3.167375
PLXNA1	-0.7035
KIAA0100	-0.0053
PMF1	-0.48725
FNDC1	5.25875
HS2ST1	-0.5265
CRELD2	-0.60825
C8G	-1.9985
CD82	-0.02925
LIM2	-1.464
UNQ6490	0.536
MMP16	0.0555
DRD3	0.08625
C5orf26	-0.5425
C11orf73	-0.732
PTP4A2	0.8355
OR4M2	0.5045
HPCA	-1.39316666666667
SEC14L1	-1.15233333333333
CHFR	-0.32825
EMILIN1	0.566375
NDUFS4	0.03925
COL18A1	-0.214125
PDZD3	-0.1777
C9orf16	-0.797833333333334
ERBB2IP	0.150166666666667
EMX2	2.84925
FUS	-0.75375
TF	-3.6968
CLCN4	-0.429666666666667
CXorf56	0.481
C11orf72	0.131
ELAC2	-0.96325
NPR1	-1.45025
ASS1	-3.1695
USP42	0.419375
POLR2J	-0.1705
SEC23IP	0.8945
UQCRC1	-0.2725
LOC729603	-0.505
C1orf71	1.122875
POLG	-2.2905
ADAM23	-3.24975
TFR2	-1.63675
RICTOR	-0.7565
MGC39606	-0.2905
C19orf55	-0.05575
SNAPC1	-1.475
GNA11	0.824375
CCDC52	0.212666666666667
FSIP1	3.891
UPF3A	-0.653875
IGSF11	-2.137
LAGE3	-0.07725
CHST6	-1.602
UNC13B	1.22075
TTLL4	-1.1465
ZNF687	-0.017875
SDC2	-1.0579
COX7A2	0.21075
LAMB4	-0.20675
FAM24A	-0.043
LRRTM3	-0.6775
GPHB5	-0.131
OR4C13	-0.062
EIF3EIP	0.406142857142857
HABP4	-0.9785
TMEM125	2.84525
CNTN2	0.013375
ASNSD1	-0.069
FUT4	-0.631875
ACF	-3.31475
LOC158381	0.835
CDH8	-0.2375
AGPS	-2.4305
C4orf18	2.347375
PECI	0.873916666666667
UNG	-0.955
GSTP1	-2.4085
DCUN1D5	-1.50766666666667
DKFZP564J0863	-1.05625
SLC9A3R1	1.075125
BCDO2	-0.399625
CHMP7	0.41575
REM2	0.4075
DNHD1	-0.42475
FKBP4	-0.225125
ZNF350	2.21825
MGC11102	-0.219375
BST1	0.0365
