Hybridization REF	TCGA-A8-A0AB-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0975833333333333
CREB3L1	0.5645
RPS11	0.677
PNMA1	0.046
MMP2	-0.263166666666667
C10orf90	-2.18475
ZHX3	-0.139
ERCC5	-0.1035
GPR98	0.790625
RXFP3	0.405
APBB2	2.06375
PRO0478	-0.8645
KLHL13	-2.0765
PRSSL1	-0.704
PDCL3	0.240666666666667
DECR1	-0.07
SALL1	-3.103
CADM4	1.635
RPS18	0.413285714285714
HNRPD	-0.0790833333333334
CFHR5	0.157
SLC10A7	0.69775
OR2K2	0.0055
LMAN1	-0.362875
SUHW1	-3.50025
CHD8	-0.5404
SUMO1	0.7489
GP1BA	-0.123
DDB1	-0.715333333333333
MYO9B	-0.3147
MMP7	5.427
CRNKL1	0.61425
C9orf45	-0.52
XAB2	-0.016625
RTN1	0.4395
KLHL14	-1.003875
TBX10	-1.1765
CENPQ	-1.02275
UTY	-1.00571428571429
ZBTB12	0.1
DTNBP1	0.957625
KBTBD8	-1.96666666666667
ZEB1	0.400333333333333
ZG16	-1.51275
MIER1	0.4384
ADAM5P	-0.1385
CHD9	-0.26525
STK16	1.18025
KIAA1486	-0.965
TOB2	1.12925
BANK1	0.707
OR2V2	0.344
GRM2	-0.0293333333333333
PROSC	0.167125
SPIN2B	0.724
PIR	-2.46033333333333
IPO9	0.2788
EVC	0.981
CXCL13	0.467
KIAA1199	-2.4338
SORL1	1.44175
NAT10	-0.9185
CHD1	-0.164
SYN3	-0.4725
SLC22A2	-0.335
SERPINF1	-0.1275
WDR34	-0.82075
OR7A17	0.33325
C9orf11	0.177
RNF216L	-0.2062
LHB	-0.3
STK25	-0.691
TAOK3	0.5325
LOC152573	-3.4135
C3orf39	1.288
C14orf108	0.3375
CDC25B	-2.39218181818182
BMP3	0.3945
TMEM180	0.0875
MAP1LC3C	-0.0555
CRYGC	0.006
POU3F1	-1.4576
C20orf32	-1.278
CCDC95	0.072
HIGD1B	3.8515
USP6NL	0.14875
ABCD4	-0.983833333333333
DIMT1L	-0.09475
TEK	0.465125
SLC25A46	-0.327
LARP7	-1.0806
CD160	0.0346666666666667
MT1JP	-0.659166666666667
PHF20	-0.0091875
CPNE4	-1.49625
GTPBP1	-0.430714285714286
RAB33B	0.627166666666667
ALDOC	-2.98
ZNF212	0.4025
NUDT1	-0.288166666666667
RFPL2	-0.196
ZNF83	0.5495
GDPD5	-1.55475
PDCD4	1.5542
CEP350	0.9185
OR10A2	0.13925
CST7	-0.50325
CIAO1	-1.0905
SELL	1.84725
OR8J3	-0.087
LTBP4	-0.966166666666667
SIRT6	-0.17
CCL19	1.89575
PPIL1	-0.771166666666667
GBP7	0.1685
STK17A	-2.1247
ABR	-0.2075
OR9G1	0.401
FOXE1	-0.78625
CNGA3	-0.17
GML	0.2915
CD38	-3.80875
ZDHHC6	0.274
NEFH	-1.879
CTDSP2	0.39175
PGBD5	-1.58166666666667
CCNY	0.254785714285714
RMND5B	0.480083333333333
ZNF257	-0.85175
FLJ22167	-0.207375
EXOSC7	-0.178333333333333
ROR2	1.081625
MAOA	-0.945125
