Hybridization REF	TCGA-AN-A041-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.4035
CREB3L1	1.17975
RPS11	-0.385875
PNMA1	0.4635
MMP2	1.213
C10orf90	-2.16925
ZHX3	-0.592333333333333
ERCC5	0.8825
GPR98	0.539625
RXFP3	0.5255
APBB2	2.45675
PRO0478	-0.468875
KLHL13	-2.8865
PRSSL1	-1.3475
PDCL3	0.7915
DECR1	0.682375
SALL1	-1.63166666666667
CADM4	0.135833333333333
RPS18	0.154785714285714
HNRPD	-0.79925
CFHR5	0.605666666666667
SLC10A7	0.10325
OR2K2	-0.39
LMAN1	-0.85075
SUHW1	-1.4225
CHD8	0.1099
SUMO1	0.1365
GP1BA	0.3051
DDB1	0.309
MYO9B	0.2763
MMP7	7.3075
CRNKL1	0.96625
C9orf45	-1.53033333333333
XAB2	0.15725
RTN1	1.62675
KLHL14	0.086125
TBX10	-0.9135
CENPQ	-0.764
UTY	-1.09921428571429
ZBTB12	0.237
DTNBP1	0.226125
KBTBD8	-1.84333333333333
ZEB1	1.22783333333333
ZG16	3.9435
MIER1	0.4735
ADAM5P	0.5775
CHD9	-0.147875
STK16	1.1175
KIAA1486	0.0165
TOB2	0.629166666666667
BANK1	1.08825
OR2V2	-0.00725000000000001
GRM2	0.0895
PROSC	0.06425
SPIN2B	-0.493
PIR	-1.905
IPO9	0.037
EVC	1.0855
CXCL13	3.0785
KIAA1199	0.1524
SORL1	0.076
NAT10	-0.417
CHD1	-0.75075
SYN3	-0.488
SLC22A2	-0.34725
SERPINF1	-0.0065
WDR34	-0.269
OR7A17	0.26875
C9orf11	-0.4065
RNF216L	-0.3758
LHB	1.249
STK25	0.06775
TAOK3	0.66725
LOC152573	-3.4185
C3orf39	-0.168
C14orf108	0.4611
CDC25B	-1.38009090909091
BMP3	-0.0415
TMEM180	0.2295
MAP1LC3C	-0.16475
CRYGC	-0.368
POU3F1	-1.5261
C20orf32	-1.7785
CCDC95	-0.377
HIGD1B	4.4845
USP6NL	-0.391625
ABCD4	0.109166666666667
DIMT1L	-0.99
TEK	1.67225
SLC25A46	-0.62225
LARP7	-1.6809
CD160	-0.239666666666667
MT1JP	-1.99316666666667
PHF20	-0.2959375
CPNE4	-1.858
GTPBP1	-0.0300714285714286
RAB33B	1.0145
ALDOC	-2.873125
ZNF212	0.081
NUDT1	-0.915666666666667
RFPL2	-0.16
ZNF83	0.249166666666667
GDPD5	-0.4965
PDCD4	-0.02925
CEP350	0.57075
OR10A2	0.37675
CST7	0.013
CIAO1	-0.599
SELL	0.148375
OR8J3	0.266
LTBP4	0.0343333333333333
SIRT6	-0.27475
CCL19	3.26075
PPIL1	-0.6945
GBP7	0.0311666666666667
STK17A	-0.6694
ABR	-0.4
OR9G1	0.593
FOXE1	-0.739875
CNGA3	0.174
GML	0.3795
CD38	-3.08525
ZDHHC6	0.490333333333333
NEFH	-1.45125
CTDSP2	1.10033333333333
PGBD5	-1.6355
CCNY	0.393285714285714
RMND5B	0.838416666666667
ZNF257	1.27
FLJ22167	-0.11225
EXOSC7	-0.756166666666667
ROR2	1.30875
MAOA	-0.015375
TNNT3	-0.0853333333333333
GYPC	-1.283
C7orf33	0.929
PLIN	0.63
LOC90826	-0.6565
RNF4	-0.0861
F8A1	0.329833333333333
PLEKHG4	-3.30225
GRB2	0.73235
HIST1H2AD	1.57975
DUS3L	-0.849
EIF1	-0.109833333333333
RP5-1077B9.4	-0.941833333333333
FPGT	1.44825
GDF10	-0.118
COQ9	-0.3675
GCC2	0.294571428571428
RARRES3	1.340375
PLXNA1	-0.0365
KIAA0100	0.3343
PMF1	0.53425
FNDC1	5.39225
HS2ST1	0.0263333333333334
CRELD2	0.94
C8G	-1.5075
CD82	0.211
LIM2	-1.3055
UNQ6490	-0.2075
MMP16	1.4445
DRD3	0.14125
C5orf26	-1.379
C11orf73	-0.774
PTP4A2	0.74575
OR4M2	0.131
HPCA	0.800666666666667
SEC14L1	-0.6515
CHFR	0.42225
EMILIN1	1.29775
NDUFS4	-0.6955
COL18A1	1.55675
PDZD3	-0.2025
C9orf16	-0.0536666666666667
ERBB2IP	0.301333333333333
EMX2	2.03375
FUS	-0.8775
TF	-4.1846
CLCN4	-0.6155
CXorf56	0.0825
C11orf72	0.28375
ELAC2	-0.8455
NPR1	-0.043
ASS1	-3.64783333333333
USP42	0.657
POLR2J	-0.4155
SEC23IP	1.51533333333333
UQCRC1	-0.2085
LOC729603	-0.25825
C1orf71	0.012875
POLG	-1.501
ADAM23	-2.78225
TFR2	-1.203
RICTOR	-0.4683
MGC39606	0.246
C19orf55	-0.18625
SNAPC1	-1.7035
GNA11	1.081625
CCDC52	-0.374
FSIP1	5.6605
UPF3A	0.792875
IGSF11	-2.505
LAGE3	-0.706
CHST6	-0.982
UNC13B	-0.13575
TTLL4	-0.1355
ZNF687	0.273
SDC2	0.3768
COX7A2	-0.3485
LAMB4	-0.053
FAM24A	0.2825
LRRTM3	-1.33716666666667
GPHB5	-0.32675
OR4C13	-0.042
EIF3EIP	0.143785714285714
HABP4	-0.508
TMEM125	2.66875
CNTN2	0.064875
ASNSD1	-0.14925
FUT4	-0.193375
ACF	-3.951
LOC158381	0.2765
CDH8	1.2765
AGPS	-0.7605
C4orf18	3.88675
PECI	-0.86275
UNG	-0.8405
GSTP1	-1.954125
DCUN1D5	-2.3685
DKFZP564J0863	-1.13
SLC9A3R1	3.433375
BCDO2	-1.09925
CHMP7	0.5915
REM2	0.341
DNHD1	-0.99675
FKBP4	0.822
ZNF350	1.3965
MGC11102	-0.51425
BST1	1.44825
KISS1R	0.684
NCR2	-0.2135
DEFB125	0.5185
UBE2W	1.8845
KRT15	-2.129
C10orf99	0.0225
SCN11A	0.417375
GFI1	-3.20725
RDHE2	5.3515
FHL1	-0.596666666666667
OSGEP	-0.458666666666667
GATA1	-3.77883333333333
SMC6	-0.505
TTTY14	-1.176
LPIN3	0.01
RPL4	-0.8623
RBPMS	0.8291
PRPF3	-0.148166666666667
EMR1	-2.296
SPATA19	-0.00624999999999999
XCR1	0.3555
IRX3	0.8214
RBM6	-0.373
KLF4	-1.3934
UNC5CL	-0.71975
SEBOX	0.0525
BTK	-1.1095
KRCC1	0.90625
C6orf27	-0.174
SYTL5	0.615
PRND	3.558
LOC653319	-1.189
PIGL	-1.631625
HUS1	-0.228166666666667
SFRS6	-1.49916666666667
C17orf77	0.646
UIMC1	-0.432833333333333
FXYD2	-2.1392
LOC283152	-1.3995
ZNF667	-0.46175
ZCCHC12	0.3295
TFEC	2.7444
ATP7B	1.07666666666667
POLD2	-0.951833333333333
RG9MTD1	-0.171
