Hybridization REF	TCGA-AO-A03L-01A-41R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.439833333333333
CREB3L1	1.924
RPS11	0.738125
PNMA1	0.43975
MMP2	0.738333333333333
C10orf90	-2.89833333333333
ZHX3	-1.11316666666667
ERCC5	-0.018
GPR98	0.23775
RXFP3	0.408
APBB2	2.19975
PRO0478	-1.328625
KLHL13	0.63375
PRSSL1	-0.949666666666667
PDCL3	0.811
DECR1	-0.766875
SALL1	-2.58933333333333
CADM4	-0.492666666666667
RPS18	0.376071428571429
HNRPD	-0.127416666666667
CFHR5	0.0198333333333333
SLC10A7	-0.110625
OR2K2	0.4095
LMAN1	-0.83475
SUHW1	-4.2775
CHD8	0.3036
SUMO1	0.2996
GP1BA	0.3273
DDB1	0.143
MYO9B	0.0922
MMP7	6.4395
CRNKL1	1.59475
C9orf45	-2.02633333333333
XAB2	0.98675
RTN1	1.723375
KLHL14	-1.320875
TBX10	1.491
CENPQ	-0.96925
UTY	-0.951285714285714
ZBTB12	-0.8365
DTNBP1	-0.280625
KBTBD8	-1.38416666666667
ZEB1	0.8295
ZG16	0.07375
MIER1	0.2248
ADAM5P	0.853
CHD9	-0.398375
STK16	0.72325
KIAA1486	-0.3555
TOB2	0.882583333333333
BANK1	1.987
OR2V2	-0.18975
GRM2	0.172
PROSC	-0.08275
SPIN2B	0.8705
PIR	-2.03
IPO9	-0.2649
EVC	1.03316666666667
CXCL13	5.21883333333333
KIAA1199	-1.567
SORL1	0.4365
NAT10	0.09525
CHD1	-0.1545
SYN3	-0.606
SLC22A2	0.0425
SERPINF1	1.068
WDR34	0.223
OR7A17	0.4315
C9orf11	0.3445
RNF216L	-1.1013
LHB	-0.098
STK25	-0.22275
TAOK3	0.9445
LOC152573	-2.87425
C3orf39	0.05875
C14orf108	0.3825
CDC25B	-0.134272727272727
BMP3	0.1375
TMEM180	0.383
MAP1LC3C	0.17225
CRYGC	0.284
POU3F1	-1.3042
C20orf32	-2.374
CCDC95	-0.115
HIGD1B	3.9285
USP6NL	-0.367625
ABCD4	-0.593333333333333
DIMT1L	-0.60775
TEK	1.183625
SLC25A46	-0.91625
LARP7	-1.3228
CD160	0.612666666666667
MT1JP	-0.737833333333333
PHF20	0.367
CPNE4	-1.654
GTPBP1	-0.295714285714286
RAB33B	0.9175
ALDOC	-2.59175
ZNF212	-0.57375
NUDT1	-0.647833333333333
RFPL2	-0.86775
ZNF83	-0.468333333333333
GDPD5	0.129375
PDCD4	1.12585
CEP350	0.0075
OR10A2	0.5645
CST7	1.1435
CIAO1	-0.7675
SELL	1.188375
OR8J3	0.7785
LTBP4	-0.359666666666667
SIRT6	0.58525
CCL19	4.615
PPIL1	-0.233333333333333
GBP7	0.347
STK17A	-0.4761
ABR	-0.2885
OR9G1	-0.71
FOXE1	-0.828875
CNGA3	1.1235
GML	0.2785
CD38	-0.777
ZDHHC6	-0.175
NEFH	-0.81225
CTDSP2	0.442583333333333
PGBD5	-1.66983333333333
CCNY	-0.143785714285714
RMND5B	1.19383333333333
ZNF257	-1.52
FLJ22167	-0.33375
EXOSC7	-0.682666666666667
ROR2	1.94425
MAOA	-1.522
TNNT3	1.1985
GYPC	-0.95075
C7orf33	-0.0395000000000001
PLIN	2.21166666666667
LOC90826	-0.373
RNF4	-0.0202
F8A1	0.466666666666667
PLEKHG4	-2.94425
GRB2	0.37025
HIST1H2AD	-0.017
DUS3L	-0.361333333333333
EIF1	-0.666
RP5-1077B9.4	-1.11366666666667
FPGT	0.76525
GDF10	0.454333333333333
COQ9	-0.154
GCC2	-0.0637142857142857
RARRES3	3.30375
PLXNA1	-0.8262
KIAA0100	-1.1827
PMF1	0.20825
FNDC1	5.397
HS2ST1	-0.321583333333333
CRELD2	-0.0835
