Hybridization REF	TCGA-BH-A0BA-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.553
CREB3L1	1.12375
RPS11	0.252
PNMA1	0.39525
MMP2	0.9065
C10orf90	-2.079
ZHX3	-0.2595
ERCC5	-0.1485
GPR98	-2.09025
RXFP3	0.508
APBB2	1.0775
PRO0478	-1.015125
KLHL13	-2.71075
PRSSL1	-1.11466666666667
PDCL3	-0.250166666666667
DECR1	0.893875
SALL1	-3.2622
CADM4	0.373
RPS18	-0.100785714285714
HNRPD	-1.1905
CFHR5	1.162
SLC10A7	0.00537499999999999
OR2K2	0.4455
LMAN1	-0.884375
SUHW1	-3.443
CHD8	-0.1806
SUMO1	0.4964
GP1BA	0.9094
DDB1	-0.306833333333333
MYO9B	-0.1043
MMP7	6.87175
CRNKL1	0.322125
C9orf45	-2.17566666666667
XAB2	-0.635375
RTN1	3.447375
KLHL14	-1.498125
TBX10	-1.0015
CENPQ	-2.36975
UTY	-1.448
ZBTB12	0.241
DTNBP1	-0.29175
KBTBD8	-0.796166666666667
ZEB1	0.6135
ZG16	-1.8755
MIER1	0.6387
ADAM5P	0.17
CHD9	-0.4016875
STK16	0.4795
KIAA1486	-1.498
TOB2	0.99125
BANK1	3.6775
OR2V2	-0.10425
GRM2	0.186833333333333
PROSC	1.037
SPIN2B	-0.216
PIR	-0.749
IPO9	-0.4956
EVC	0.531
CXCL13	4.55033333333333
KIAA1199	0.4795
SORL1	2.29725
NAT10	-0.567
CHD1	-0.867
SYN3	-0.69825
SLC22A2	-0.99625
SERPINF1	1.05316666666667
WDR34	-0.2925
OR7A17	0.2545
C9orf11	0.566
RNF216L	-0.132
LHB	0.098
STK25	-0.331375
TAOK3	0.6245
LOC152573	-2.2
C3orf39	0.58475
C14orf108	-0.0758999999999999
CDC25B	-1.501
BMP3	0.65
TMEM180	-0.424
MAP1LC3C	0.20375
CRYGC	-1.088
POU3F1	-1.0771
C20orf32	-1.5025
CCDC95	-0.255
HIGD1B	4.45125
USP6NL	0.589
ABCD4	0.0826666666666667
DIMT1L	-1.10983333333333
TEK	1.328875
SLC25A46	-1.02325
LARP7	-1.6998
CD160	0.3435
MT1JP	-1.374
PHF20	0.290875
CPNE4	2.6265
GTPBP1	-0.471357142857143
RAB33B	1.07216666666667
ALDOC	-2.169875
ZNF212	0.0735
NUDT1	-1.618
RFPL2	-0.7375
ZNF83	-0.445666666666667
GDPD5	-0.47425
PDCD4	2.4508
CEP350	0.3805
OR10A2	-0.28725
CST7	1.02275
CIAO1	-1.181
SELL	0.936428571428571
OR8J3	1.86
LTBP4	0.0431666666666667
SIRT6	0.149
CCL19	5.457
PPIL1	-1.74533333333333
GBP7	1.1494
STK17A	-1.226
ABR	1.12175
OR9G1	0.346
FOXE1	-1.546625
CNGA3	0.5535
GML	-0.8595
CD38	-1.2845
ZDHHC6	-0.133166666666667
NEFH	-2.25475
CTDSP2	0.958916666666667
PGBD5	-1.65783333333333
CCNY	0.297142857142857
RMND5B	0.64225
ZNF257	-3.177
FLJ22167	-0.35025
EXOSC7	-0.712
ROR2	0.544
MAOA	0.196375
TNNT3	1.20666666666667
GYPC	-0.766
C7orf33	1.272
PLIN	4.74183333333333
LOC90826	-0.6315
RNF4	-0.6024
F8A1	0.1775
PLEKHG4	-1.51075
GRB2	-0.20555
HIST1H2AD	1.6905
DUS3L	-1.018
EIF1	-0.130666666666667
RP5-1077B9.4	-1.21116666666667
FPGT	1.003
GDF10	0.438666666666667
COQ9	-1.03325
GCC2	-0.0347857142857143
RARRES3	3.26075
PLXNA1	-0.336
KIAA0100	-0.2719
PMF1	0.50825
FNDC1	6.20975
HS2ST1	-0.195916666666666
CRELD2	0.19
C8G	-1.847
CD82	2.09525
LIM2	-1.591
UNQ6490	-0.4015
MMP16	-0.5
DRD3	-0.41975
C5orf26	-0.89075
C11orf73	-0.80975
PTP4A2	1.66625
OR4M2	1.0975
HPCA	-0.893833333333333
SEC14L1	-0.823166666666667
CHFR	-0.441375
EMILIN1	1.623
NDUFS4	-0.1845
COL18A1	0.743125
PDZD3	-0.55
C9orf16	0.347
ERBB2IP	0.470666666666667
EMX2	4.1555
FUS	-1.289
TF	-3.8666
CLCN4	-0.7685
CXorf56	-0.56
C11orf72	0.435
ELAC2	-0.5535
NPR1	0.13075
ASS1	-0.9895
USP42	0.24125
POLR2J	-0.8775
SEC23IP	0.977333333333333
UQCRC1	0.205
LOC729603	-0.58625
C1orf71	0.424
POLG	-2.107
ADAM23	-3.1955
TFR2	-1.2975
RICTOR	-1.2964
MGC39606	0.09175
C19orf55	-0.269
SNAPC1	-0.8
GNA11	1.03275
CCDC52	0.154
FSIP1	3.649
UPF3A	-0.6995
IGSF11	-3.0845
LAGE3	0.91775
CHST6	-1.3515
UNC13B	0.521125
TTLL4	-0.926
ZNF687	0.9565
SDC2	-0.8165
COX7A2	-0.25025
LAMB4	-0.15475
FAM24A	0.25
LRRTM3	-0.1048
GPHB5	0.0715
OR4C13	0.474
EIF3EIP	0.150714285714286
HABP4	-1.137
TMEM125	4.0505
CNTN2	-0.447625
ASNSD1	-0.50375
FUT4	-0.855
ACF	-2.971
LOC158381	0.9745
CDH8	-0.74625
AGPS	0.0445
C4orf18	2.525625
PECI	0.17425
UNG	-0.1805
GSTP1	-1.341125
DCUN1D5	-1.55866666666667
DKFZP564J0863	-0.537
SLC9A3R1	0.659875
BCDO2	-1.2705
CHMP7	0.146375
REM2	0.9455
DNHD1	-0.96175
FKBP4	-0.753625
ZNF350	1.30925
MGC11102	0.049
BST1	1.622
KISS1R	1.9625
NCR2	-0.3545
DEFB125	0.8155
UBE2W	1.72325
KRT15	2.10925
C10orf99	0.448
SCN11A	0.978125
GFI1	-2.402
RDHE2	7.326
FHL1	0.0933333333333333
OSGEP	-0.296
GATA1	-3.145
SMC6	-1.4175
TTTY14	-1.19
LPIN3	-0.21825
RPL4	-0.6555
RBPMS	1.1036
PRPF3	-1.10633333333333
EMR1	-2.111
SPATA19	-0.220666666666667
XCR1	0.061
IRX3	1.9158
RBM6	-0.979
KLF4	-0.6089
UNC5CL	-0.40725
SEBOX	0.133
BTK	-0.23525
KRCC1	1.91725
C6orf27	0.706
SYTL5	-2.2415
PRND	3.606125
LOC653319	-1.3205
PIGL	-1.326875
HUS1	0.00533333333333333
SFRS6	-0.400333333333333
C17orf77	0.4475
UIMC1	-0.544166666666667
FXYD2	-1.813
LOC283152	0.49375
ZNF667	-2.4205
ZCCHC12	-0.731
TFEC	2.8893
ATP7B	0.563166666666667
POLD2	-1.20366666666667
RG9MTD1	-0.14025
ACOT2	0.2715
HIST1H4I	0.231125
PPARGC1A	-1.80511111111111
ETFA	-1.6474
POLRMT	-0.2655
ZNF146	-0.19075
MIA2	-4.984
KLHL6	0.396333333333333
HOXB5	-0.8875
NENF	1.14716666666667
CUGBP1	0.84175
PRSS22	1.95416666666667
CASC4	1.389
CUL4B	0.2604
CENPJ	-2.0099
PITX1	0.197333333333333
FLJ31033	-0.0935
CELSR3	0.140833333333333
ZNF568	0.2365
ITSN1	-0.66275
EHBP1L1	-0.9285
C19orf2	-0.62075
DCTN1	0.2965
LIN28B	-3.72683333333333
TNKS2	-0.5415
C1QBP	-0.631125
CADPS2	0.805
SRMS	0.4415
GJA9	0.1815
MGC24975	-0.759833333333333
TRIM45	-0.472
TSP50	-1.0475
TCP1	-1.784
TMED7	0.2585
CMA1	1.425
CENPL	-1.68266666666667
PTCRA	0.7435
FST	-2.39175
VWCE	-3.26825
PAWR	-0.4485
ABCC12	1.28416666666667
LDLR	-2.4534
ASTN2	1.0107
LOC441212	-1.291
GPATCH8	-0.2735
TANC2	-0.87525
KIF4A	-3.153
C18orf18	-3.0815
PGM1	-1.41525
KIAA0258	-0.368
CPD	0.30225
SNCAIP	-0.907
DCT	-4.05633333333333
HLA-DOA	2.52545454545455
OR11L1	0.785
UPK1B	0.1695
DNAJB4	-0.670125
UGT1A8	-0.345
HIST1H4L	-1.8715
PECR	-1.27416666666667
HSPA2	0.9905
WFIKKN1	-0.271
SERP1	0.060625
SYDE2	1.266
TACR2	0.5605
NUP85	-1.18525
CD177	0.487166666666667
LGR5	-2.0332
PIGG	-0.66825
PTHR1	-1.28516666666667
RAB5A	0.1253
FLJ13224	-0.106
USP9Y	-1.48883333333333
C7orf53	-0.691
LRP1B	-1.77425
XAF1	1.1813
ABCG8	-0.76
ANKDD1A	-0.8055
DAND5	-3.9965
SPAG6	0.171
LINCR	0.2665
ZDHHC22	-1.371625
CCDC60	4.1955
THOC7	-1.2775
TCTA	0.6152
OR8K3	0.7785
NY-REN-7	-0.59425
B2M	1.52266666666667
C6orf141	-1.30575
LPPR4	1.99425
SQLE	-0.346125
SEPHS1	-0.2765
BTBD14B	0.919214285714286
PLRG1	-0.741
SPG7	-0.701625
ZNF614	-0.485666666666667
PARD6G	1.50916666666667
INPP5B	-0.3603
GRPEL2	-0.370875
PPID	-0.7732
TRIM56	0.2405
UBE2J1	-0.4875
IL20RA	4.38925
LOC387856	0.583
C1orf107	1.0535
UTS2R	1.99625
C19orf22	0.08
SAFB2	-0.0895
KIAA0652	-0.0995
KLRG1	0.178166666666667
MS4A8B	1.12283333333333
FRAG1	-0.0295
KIAA1546	-0.12925
E2F4	-1.3491
CLEC4M	0.608666666666667
BTBD14A	-0.89625
KIAA0999	-0.1713
GYPA	-3.501
TAC1	0.5628
TRAIP	-1.92866666666667
KIAA0232	0.5501
ERCC8	-1.64275
GPX4	0.563375
KIAA0368	-0.54725
GPR157	-0.444
CTAGE4	-0.274
C9orf30	-1.73433333333333
