Hybridization REF	TCGA-BH-A0DS-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.493666666666667
CREB3L1	1.88875
RPS11	0.406375
PNMA1	-0.2465
MMP2	0.104
C10orf90	-1.69925
ZHX3	-0.298
ERCC5	0.07025
GPR98	0.339714285714286
RXFP3	0.158
APBB2	1.03975
PRO0478	-0.548375
KLHL13	1.66975
PRSSL1	-1.2495
PDCL3	-0.278333333333333
DECR1	0.157625
SALL1	-3.62283333333333
CADM4	0.896833333333333
RPS18	0.1575
HNRPD	-0.619666666666667
CFHR5	4.597
SLC10A7	0.191375
OR2K2	-0.183
LMAN1	-0.130125
SUHW1	-4.84725
CHD8	0.0159
SUMO1	0.2549
GP1BA	0.455
DDB1	-0.0883333333333333
MYO9B	-0.1727
MMP7	6.96625
CRNKL1	1.2395
C9orf45	-0.9515
XAB2	0.927125
RTN1	1.717125
KLHL14	-0.911
TBX10	-1.3295
CENPQ	-0.502
UTY	-1.389
ZBTB12	0.3375
DTNBP1	0.188625
KBTBD8	-1.2535
ZEB1	0.181666666666667
ZG16	-0.2795
MIER1	0.0238
ADAM5P	1.677
CHD9	-0.2835
STK16	0.26575
KIAA1486	-0.9745
TOB2	0.459916666666667
BANK1	4.816
OR2V2	0.2815
GRM2	-0.237333333333333
PROSC	0.22475
SPIN2B	0.843
PIR	-1.67611111111111
IPO9	-0.2975
EVC	0.136833333333333
CXCL13	5.3785
KIAA1199	-2.8415
SORL1	1.12225
NAT10	-0.386
CHD1	0.54775
SYN3	-0.635
SLC22A2	-0.53825
SERPINF1	0.239
WDR34	-0.493
OR7A17	0.289
C9orf11	-0.147
RNF216L	-0.3595
LHB	-0.356
STK25	-0.5225
TAOK3	1.472625
LOC152573	-2.44625
C3orf39	0.158375
C14orf108	0.6485
CDC25B	-1.27627272727273
BMP3	0.698
TMEM180	-1.9565
MAP1LC3C	2.04275
CRYGC	-0.6065
POU3F1	-1.7567
C20orf32	-1.98
CCDC95	-0.18
HIGD1B	5.083
USP6NL	-0.76025
ABCD4	0.0518333333333333
DIMT1L	-0.843333333333333
TEK	2.42425
SLC25A46	-0.40475
LARP7	-1.5573
CD160	0.7495
MT1JP	-0.369
PHF20	0.0034375
CPNE4	-0.28625
GTPBP1	-0.549142857142857
RAB33B	1.046
ALDOC	-2.59975
ZNF212	0.841
NUDT1	-0.279166666666667
RFPL2	-2.78533333333333
ZNF83	0.292166666666667
GDPD5	0.223375
PDCD4	2.3209
CEP350	0.483
OR10A2	0.2485
CST7	1.198
CIAO1	-1.00025
SELL	1.640875
OR8J3	0.177
LTBP4	0.0876666666666667
SIRT6	0.09675
CCL19	5.07
PPIL1	-1.23916666666667
GBP7	0.225
STK17A	-0.934
ABR	-0.09775
OR9G1	-0.484
FOXE1	-1.266125
CNGA3	0.281
GML	0.002
CD38	-0.2385
ZDHHC6	-0.0641666666666667
NEFH	-2.00525
CTDSP2	1.25125
