Hybridization REF	TCGA-BH-A0H6-01A-21R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.386666666666667
CREB3L1	1.6335
RPS11	-0.03825
PNMA1	0.99225
MMP2	1.55183333333333
C10orf90	-1.3265
ZHX3	-0.636333333333333
ERCC5	0.36
GPR98	-0.490428571428571
RXFP3	0.11
APBB2	2.7
PRO0478	-0.58075
KLHL13	-3.28725
PRSSL1	-0.800666666666667
PDCL3	0.124166666666667
DECR1	1.52575
SALL1	-2.79816666666667
CADM4	1.11566666666667
RPS18	-0.338428571428571
HNRPD	-0.344416666666667
CFHR5	0.7716
SLC10A7	-0.035375
OR2K2	0.563
LMAN1	-1.299625
SUHW1	-4.19475
CHD8	-0.1336
SUMO1	0.5904
GP1BA	0.1195
DDB1	0.696333333333333
MYO9B	0.1533
MMP7	5.34575
CRNKL1	0.478375
C9orf45	-1.4955
XAB2	0.286
RTN1	2.339
KLHL14	-1.806
TBX10	-0.8815
CENPQ	-1.5455
UTY	-1.3315
ZBTB12	-0.099
DTNBP1	0.211
KBTBD8	-1.78566666666667
ZEB1	0.222
ZG16	1.482
MIER1	0.4607
ADAM5P	-0.249
CHD9	-0.6304375
STK16	1.60225
KIAA1486	-1.08
TOB2	0.977083333333333
BANK1	1.97225
OR2V2	-0.18625
GRM2	-0.3845
PROSC	0.683625
SPIN2B	0.0235
PIR	-3.23277777777778
IPO9	-0.5879
EVC	1.354
CXCL13	1.6604
KIAA1199	0.295
SORL1	1.7565
NAT10	-0.7635
CHD1	-0.8755
SYN3	-0.37575
SLC22A2	-0.2465
SERPINF1	1.32383333333333
WDR34	-0.128
OR7A17	-0.10625
C9orf11	-0.337
RNF216L	-0.6612
LHB	0.0205
STK25	-0.37625
TAOK3	1.450375
LOC152573	-3.5915
C3orf39	0.923625
C14orf108	-0.1079
CDC25B	-1.77390909090909
BMP3	0.003
TMEM180	-0.1635
MAP1LC3C	0.11025
CRYGC	-0.7865
POU3F1	-1.7473
C20orf32	-2.0295
CCDC95	0.5245
HIGD1B	4.3005
USP6NL	-0.30925
ABCD4	-0.132333333333333
DIMT1L	-1.14575
TEK	0.86875
SLC25A46	-0.53475
LARP7	-1.4241
CD160	-0.273
MT1JP	-0.734833333333333
PHF20	0.217125
CPNE4	-1.54575
GTPBP1	-0.267857142857143
RAB33B	0.398833333333333
ALDOC	-2.943
ZNF212	-0.12125
NUDT1	-1.37283333333333
RFPL2	-2.5565
ZNF83	0.245166666666667
GDPD5	-1.086375
PDCD4	2.33985
CEP350	-0.4645
OR10A2	0.07425
CST7	0.34975
CIAO1	-1.1215
SELL	-0.145875
OR8J3	-0.2335
LTBP4	-0.266666666666667
SIRT6	0.09275
CCL19	3.229
PPIL1	-1.516
GBP7	-0.307333333333333
STK17A	-0.6107
ABR	0.68875
OR9G1	-0.66
FOXE1	-1.245625
CNGA3	0.387
GML	-0.0215
CD38	-4.7475
ZDHHC6	-0.0911666666666667
NEFH	-2.44525
CTDSP2	1.12233333333333
PGBD5	-1.88783333333333
CCNY	0.241214285714286
RMND5B	0.415916666666667
ZNF257	-0.7855
FLJ22167	-0.710125
EXOSC7	-0.369333333333333
ROR2	1.46
MAOA	-0.605375
TNNT3	0.649666666666667
GYPC	-1.3975
C7orf33	0.694
PLIN	4.43066666666667
LOC90826	-0.46425
RNF4	0.0018
F8A1	1.09766666666667
PLEKHG4	-0.73475
GRB2	0.14625
HIST1H2AD	-0.217
DUS3L	-0.985833333333333
EIF1	-0.5365
RP5-1077B9.4	-0.883833333333333
FPGT	0.97725
GDF10	-1.51583333333333
COQ9	-0.7375
GCC2	-0.221214285714286
RARRES3	2.490375
PLXNA1	-0.4964
KIAA0100	-0.3282
PMF1	0.14625
FNDC1	5.55075
HS2ST1	0.316
CRELD2	-0.10925
C8G	-1.9005
CD82	1.6955
LIM2	-1.717
UNQ6490	0.3465
MMP16	-0.085
DRD3	-1.4155
C5orf26	-1.0105
C11orf73	-0.7485
PTP4A2	0.416625
OR4M2	0.484
HPCA	-0.6895
SEC14L1	-0.000166666666666685
CHFR	-0.087
EMILIN1	1.348125
NDUFS4	-0.281
COL18A1	0.63225
PDZD3	0.0429
C9orf16	0.0893333333333333
ERBB2IP	0.294
EMX2	4.14325
FUS	-0.3795
TF	-3.8031
CLCN4	-0.8555
CXorf56	0.062
C11orf72	0.27775
ELAC2	-0.01025
NPR1	-0.72725
ASS1	-1.96416666666667
USP42	-0.223625
POLR2J	-1.2345
SEC23IP	0.7055
UQCRC1	0.3605
LOC729603	-0.7815
C1orf71	-0.24725
POLG	-2.158
ADAM23	-3.11475
TFR2	-2.2275
RICTOR	-0.8383
MGC39606	-0.4065
C19orf55	-0.086125
SNAPC1	-1.83
GNA11	1.115875
CCDC52	0.155333333333333
FSIP1	1.952
UPF3A	0.350375
IGSF11	-1.79266666666667
LAGE3	-0.543
CHST6	-0.142
UNC13B	0.147625
TTLL4	-1.20925
ZNF687	-0.292125
SDC2	3.1899
COX7A2	-0.31625
LAMB4	-0.632
FAM24A	0.4015
LRRTM3	-0.2128
GPHB5	-0.42925
OR4C13	0.6275
EIF3EIP	-0.232785714285714
HABP4	0.117
TMEM125	4.05125
CNTN2	-0.585125
ASNSD1	-0.24725
FUT4	-0.44325
ACF	-4.0265
LOC158381	0.6095
CDH8	-1.86775
AGPS	-2.701
C4orf18	2.73
PECI	-0.01825
UNG	-0.231625
GSTP1	-2.434875
DCUN1D5	-1.502
DKFZP564J0863	-1.357
SLC9A3R1	0.52125
BCDO2	0.4055
CHMP7	-0.5035
REM2	0.579
DNHD1	-0.06
FKBP4	-0.058875
ZNF350	2.32425
MGC11102	0.09275
BST1	1.47225
KISS1R	1.4375
NCR2	-0.322
DEFB125	-0.5205
UBE2W	1.820375
KRT15	2.778875
C10orf99	0.184
SCN11A	-0.273142857142857
GFI1	-3.343
RDHE2	5.71333333333333
FHL1	-0.0793333333333333
OSGEP	0.235833333333333
GATA1	-3.4455
SMC6	-1.39075
TTTY14	-1.22
LPIN3	-0.725
RPL4	-0.8002
RBPMS	0.4146
PRPF3	-0.539166666666667
EMR1	-2.358
SPATA19	-0.64175
XCR1	0.8235
IRX3	2.1749
RBM6	-0.44
KLF4	-0.2639
UNC5CL	2.507
SEBOX	-0.4075
BTK	-1.0745
KRCC1	1.34525
C6orf27	0.54
SYTL5	-0.9545
PRND	2.14975
LOC653319	-1.7995
PIGL	-0.447875
HUS1	-1.00966666666667
SFRS6	0.145166666666667
C17orf77	0.361
UIMC1	-0.536166666666667
FXYD2	-1.7649
LOC283152	-0.6535
ZNF667	-1.67225
ZCCHC12	-1.06125
TFEC	1.7466
ATP7B	0.991
POLD2	-1.73683333333333
RG9MTD1	-0.2335
ACOT2	1.60566666666667
HIST1H4I	-1.517625
PPARGC1A	-1.1332
ETFA	-1.1251
POLRMT	-0.08425
ZNF146	-0.065625
MIA2	-2.227
KLHL6	-1.68166666666667
HOXB5	-0.911
NENF	0.108333333333333
CUGBP1	0.05125
PRSS22	2.26166666666667
CASC4	1.0514
CUL4B	0.036
CENPJ	-1.8021
PITX1	-2.35816666666667
FLJ31033	0.807666666666667
CELSR3	-1.85283333333333
ZNF568	0.556
ITSN1	-0.512916666666667
EHBP1L1	-1.07783333333333
C19orf2	-0.9545
DCTN1	0.595
LIN28B	-3.5725
TNKS2	0.76775
C1QBP	-0.33875
CADPS2	2.1955
SRMS	0.978
GJA9	0.412833333333333
MGC24975	0.498166666666667
TRIM45	0.0315
TSP50	-0.00950000000000001
TCP1	-1.1835
TMED7	-0.0287
CMA1	0.0595
CENPL	-1.82933333333333
PTCRA	-0.108
FST	-2.20675
VWCE	-3.32325
PAWR	0.4565
ABCC12	1.7515
LDLR	-0.1369
ASTN2	1.5585
LOC441212	-0.301875
GPATCH8	0.025
TANC2	0.24125
KIF4A	-2.37525
C18orf18	-1.64025
PGM1	-1.43675
KIAA0258	0.5535
CPD	0.3805
SNCAIP	-1.28625
DCT	-4.291
HLA-DOA	2.60259090909091
OR11L1	0.556
UPK1B	-1.65316666666667
DNAJB4	-0.429125
UGT1A8	-0.60375
HIST1H4L	-2.2435
PECR	-2.1525
HSPA2	3.30325
WFIKKN1	-1.263
SERP1	0.756125
SYDE2	2.29825
TACR2	0.55
NUP85	-0.625
CD177	-0.778
LGR5	-1.2805
PIGG	-0.323166666666667
PTHR1	-0.8465
RAB5A	0.3374
FLJ13224	-0.691
USP9Y	-2.02533333333333
C7orf53	-0.764
LRP1B	-1.5195
XAF1	1.041
ABCG8	-0.236
ANKDD1A	-0.0193333333333333
DAND5	-1.1975
SPAG6	0.497666666666667
LINCR	-0.75075
ZDHHC22	-1.88325
CCDC60	1.2335
THOC7	-1.7665
TCTA	0.6061
OR8K3	-0.40275
NY-REN-7	-1.2
B2M	0.858333333333333
C6orf141	1.941625
LPPR4	1.5255
SQLE	0.071125
SEPHS1	-0.77975
BTBD14B	0.537571428571428
PLRG1	-0.61175
SPG7	-0.4894375
ZNF614	-0.292666666666667
PARD6G	1.62466666666667
INPP5B	-1.7077
GRPEL2	-0.764
PPID	-0.9018
TRIM56	-0.22525
UBE2J1	-0.308625
IL20RA	1.96375
LOC387856	0.1515
C1orf107	0.387833333333333
UTS2R	1.24225
C19orf22	0.702
SAFB2	-0.044875
KIAA0652	-0.083375
KLRG1	-1.68316666666667
MS4A8B	3.534
FRAG1	0.84875
KIAA1546	-0.09975
E2F4	-1.421
CLEC4M	0.499
BTBD14A	-1.13775
KIAA0999	0.8568
GYPA	-5.0116
TAC1	-0.1221
TRAIP	-1.58633333333333
KIAA0232	1.096
ERCC8	-1.375375
GPX4	0.56575
KIAA0368	0.07925
GPR157	-0.382833333333333
CTAGE4	-0.0635
C9orf30	-1.6125
OR52A1	0.104
HSP90B3P	-0.656
ALG9	-0.531
BTBD10	0.58375
SDK2	0.01425
BAIAP3	2.392
RABGGTB	-1.187125
ANKRD40	-0.433166666666667
KRT74	0.033
CALCOCO2	0.273785714285714
SNCA	-3.188
TMSL8	-3.824125
C2orf53	0.58
ESRRB	-0.98575
ARHGAP26	-2.426625
TDRD9	-2.44875
HRAS	0.1205
KLRC4	-3.254
JAGN1	-0.717833333333333
BSDC1	0.8065
RNF43	0.0052
NDUFAF1	0.50875
PHF12	0.17475
OR1L3	0.45475
FOLR2	1.68783333333333
LYZL6	-0.990833333333333
tcag7.1260	-1.972
WSB1	-1.23933333333333
PROS1	-1.3668
OSTN	0.23
PSMB8	-0.21825
SOCS4	-0.739625
DDIT4L	-0.06425
MAS1	-0.462
MGC34796	1.17825
CSHL1	0.0621666666666667
TBCCD1	0.440333333333333
ZBTB7C	0.572
AP2S1	-0.19275
P15RS	-0.6184
VAT1	0.0294
SHANK3	1.21516666666667
TUFM	0.688833333333333
THEG	1.2965
KRT34	-2.14975
SGSM3	1.00475
TOMM22	-0.234
SOCS3	1.576
CPO	2.0675
POP4	0.338
BHLHB3	1.22275
MALL	1.78025
OR1B1	-0.1385
PARK2	1.4925
GPR124	1.07275
LCE1E	-0.23
RUVBL2	-0.474
CGRRF1	0.2128
ACPL2	0.53175
WNT10B	-2.652875
BAIAP2L2	-1.830625
ISCA1	0.411
C1orf125	0.663625
RPAP1	-0.7065
RAI16	-0.0305
RPL27	-0.888125
NLRP9	0.8145
EPN1	0.3295
LOC388610	-0.226875
SLC35A1	1.5347
GAL	-4.38875
SLC14A2	-0.0425
RDH11	-0.579666666666667
FAM138F	-0.728
AUH	0.58025
FLJ40243	0.0936666666666666
C14orf129	0.101666666666667
MBD2	0.764666666666667
ABHD14B	0.3555
PIGT	0.49375
ALS2CR4	-0.83625
ALAS1	0.1931
FOXO1	1.2645
CRLF3	-1.109125
C20orf107	0.6235
FARS2	0.40775
CCDC28A	0.27725
NPHP3	-0.7315
OR13F1	0.032
TSEN54	-0.60375
DEFB106B	0.137888888888889
OR8B4	-0.054
STH	3.2635
ZC3H14	-0.261875
CBX2	-0.3895
TMEM49	-1.03125
C6orf21	0.484
FLJ20920	1.66725
CRTAP	-0.244
DDX50	-0.462
STYXL1	0.0775
BLVRB	-0.1375
LOC147650	-0.1245
MMP24	0.42425
GRID1	1.74166666666667
BANF1	0.0375
CTAGEP	-0.12775
HMBS	-1.656
SLC25A24	0.0276666666666667
C14orf50	2.20775
MRO	0.567
SLC25A15	0.12475
FAM84B	2.1014
TDP1	-0.9645
C16orf78	-0.0706666666666667
C11orf57	0.47475
RFK	-0.6765
ZFYVE9	0.00824999999999999
STCH	-1.0754
WIBG	0.72575
LOC283871	0.598
GBA2	-0.7135
NDUFB3	-0.7185
HSD17B13	-0.9845
GRIN3A	0.313666666666667
FMNL1	-1.3805
SEPT7	-0.723
GNLY	2.6125
GRAMD1C	1.34783333333333
ZNF165	-0.1905
USP38	0.5965
FAM83A	-2.84116666666667
C14orf24	1.0015
ARMCX3	0.788375
ARHGDIB	0.556833333333333
AK1	0.258375
KIAA1045	-0.0146666666666667
DNAJB13	-0.544166666666667
NEU2	1.019
HIST1H4B	-1.937
FAM20B	-0.9685
HES2	2.474
FAM73B	-0.1614
LOC388381	-0.1125
INTS7	-1.04845454545455
AMPH	1.77775
ZNF775	0.149125
UCKL1	-0.804666666666667
C10orf97	-0.35725
C1orf161	-0.47375
ALDH1L1	-0.85225
FLJ39378	0.165375
SLC23A1	-1.05
RBM4B	-0.1485
THAP4	0.250333333333333
OGFRL1	0.409
KIAA0831	0.488875
PPP1R15A	0.207833333333333
C1orf96	-1.05928571428571
C12orf11	-2.1805
BMF	0.528625
MAN1A1	-0.928
KIAA1600	0.8675
NLGN4X	-0.86875
ALOX12	-1.44533333333333
RB1CC1	1.4239
NEIL2	0.5723
EIF4E	0.0554090909090909
ABHD5	-0.50725
EXOC4	0.0155
CIP29	0.2485
BATF2	-0.60025
SLC29A4	-0.9705
HTR4	0.3965
EMB	-2.35525
TRAF6	0.858
LMNB1	-2.44575
FAM19A5	-0.121375
SHE	1.088
PIK3C2B	1.2145
C15orf15	-0.6359
USP15	-0.0289
TCEAL2	-0.11875
C5orf39	-1.05483333333333
PTGER2	0.83075
SLC31A1	-0.3650625
IFT172	0.33725
ADAM29	1.3005
GFOD1	0.83775
ST7L	0.645
C15orf26	-3.0195
PKN3	-1.56575
CNTD1	1.38933333333333
COMMD1	0.25375
NTRK2	1.90225
FOXN3	0.492875
MFGE8	-0.8501
PFKFB2	0.888833333333333
TAS2R4	0.20025
ENTHD1	0.106833333333333
PRMT5	-0.77525
MGC16384	-0.611
LOC442229	-0.64925
TSKU	-0.057875
KRTCAP3	2.586625
PDLIM1	0.2363
KCNS2	0.357
RNF126	-0.2465
CEP63	-0.097
CLIC4	0.12575
hCG_1990170	-1.408
ACR	1.5835
KLK7	0.209
ALOX5AP	2.3905
RIPK3	4.5155
TAS2R9	-0.0125
C19orf18	1.8665
BIRC6	-0.0311428571428571
ZNF16	2.25
RFT1	-0.88775
SLC8A2	-1.03425
TACC1	3.130875
ITGAD	1.5145
SAMHD1	-0.1315
SH3PXD2B	1.4134
EPC2	0.96425
C20orf85	0.32325
ATP13A2	0.322666666666667
KRT4	0.3025
CAPNS1	-0.0315
MDM2	-0.388666666666667
PCDH20	4.7555
KCNK9	0.671
OR2C1	-0.0785
KLHDC3	-0.841
IPPK	0.7575
EFHD2	-0.420875
GALR3	1.33125
NBEA	0.534166666666667
ABCA6	2.2766
CLDN3	3.01233333333333
AKT2	0.0772142857142857
EGFR	-0.3816
RBM16	0.715
ZDHHC3	-0.2464
SLC25A4	-0.445833333333333
CYB5B	-1.72933333333333
CPXM1	1.32275
NDRG1	-0.154923076923077
FLJ43826	0.32775
OR5L2	0.432
FARP2	0.0969
MRPL46	-0.63725
LDHAL6B	0.0985
MAPKAPK3	-0.2955
NCAM2	-0.93875
PRKD2	0.217
ZFP36L1	2.1489
CYSLTR1	-2.2905
OR4C3	-0.0005
HIST1H2AJ	2.0135
CCNB2	-2.92933333333333
ZNF10	-0.329125
TMEM175	0.8825
FAM134A	1.00566666666667
TIGD4	-0.0855
PCNP	-0.33725
MGC39715	0.21525
LQK1	-2.98175
CREB1	0.1589
