Hybridization REF	TCGA-B6-A0IK-01A-12R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.603583333333333
CREB3L1	1.21075
RPS11	0.317875
PNMA1	0.41775
MMP2	-0.0925
C10orf90	-1.8425
ZHX3	0.1475
ERCC5	0.53475
GPR98	-0.288625
RXFP3	1.0565
APBB2	0.7095
PRO0478	-1.1655
KLHL13	-2.2205
PRSSL1	-0.931833333333333
PDCL3	0.979833333333333
DECR1	-2.967
SALL1	-3.61833333333333
CADM4	0.0466666666666667
RPS18	0.202214285714286
HNRPD	-0.840416666666666
CFHR5	0.9166
SLC10A7	-0.623375
OR2K2	-1.3225
LMAN1	-0.65225
SUHW1	-2.988
CHD8	-0.1768
SUMO1	0.7345
GP1BA	0.3871
DDB1	-0.225
MYO9B	0.1326
MMP7	7.8075
CRNKL1	-0.5225
C9orf45	0.038
XAB2	0.418125
RTN1	1.280375
KLHL14	-2.021125
TBX10	-1.2625
CENPQ	-1.1125
UTY	-1.42638461538462
ZBTB12	-0.163
DTNBP1	-0.112
KBTBD8	-1.087
ZEB1	-0.917
ZG16	-0.51075
MIER1	0.5194
ADAM5P	-0.5775
CHD9	-0.208625
STK16	-0.162
KIAA1486	0.165
TOB2	1.08191666666667
BANK1	2.803
OR2V2	0.14775
GRM2	0.0606666666666667
PROSC	0.8855
SPIN2B	-0.2695
PIR	-0.971888888888889
IPO9	-0.4267
EVC	0.467833333333333
CXCL13	5.017
KIAA1199	-0.0735
SORL1	0.3385
NAT10	-0.91625
CHD1	-0.6915
SYN3	-1.0615
SLC22A2	-1.3065
SERPINF1	-0.00366666666666667
WDR34	0.95125
OR7A17	0.102
C9orf11	-0.611
RNF216L	-0.2593
LHB	0.539
STK25	0.133875
TAOK3	0.339125
LOC152573	-2.387
C3orf39	-0.23975
C14orf108	0.5608
CDC25B	-1.15890909090909
BMP3	0.441
TMEM180	-0.0395
MAP1LC3C	-0.2125
CRYGC	-0.4975
POU3F1	-1.0384
C20orf32	-1.861
CCDC95	-0.3425
HIGD1B	4.195
USP6NL	-1.038625
ABCD4	-0.538333333333333
DIMT1L	-1.00241666666667
TEK	1.167375
SLC25A46	-0.509
LARP7	-2.2186
CD160	0.267833333333333
MT1JP	-0.482666666666667
PHF20	0.3804375
CPNE4	-1.647
GTPBP1	-0.293642857142857
RAB33B	1.09416666666667
ALDOC	-1.93425
ZNF212	0.0175
NUDT1	-0.601833333333333
RFPL2	-0.16675
ZNF83	-0.5985
GDPD5	-0.197
PDCD4	0.50665
CEP350	-0.28275
OR10A2	0.41575
CST7	0.51175
CIAO1	-0.569
SELL	1.268875
OR8J3	-0.1245
LTBP4	-0.00300000000000002
SIRT6	0.309
CCL19	5.46725
PPIL1	-0.6565
GBP7	0.65
STK17A	-0.2953
ABR	0.00725
OR9G1	0.5075
FOXE1	-0.857
CNGA3	0.446
GML	0.977
CD38	-2.17
ZDHHC6	-0.251
NEFH	-2.982
CTDSP2	0.29525
PGBD5	0.318666666666667
CCNY	0.221928571428571
RMND5B	-0.16125
