Hybridization REF	TCGA-AO-A0JJ-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.15425
CREB3L1	1.60775
RPS11	0.953375
PNMA1	-0.02075
MMP2	0.729333333333333
C10orf90	-1.027
ZHX3	-0.486166666666667
ERCC5	-0.096
GPR98	-1.869375
RXFP3	0.424
APBB2	1.761
PRO0478	-1.13125
KLHL13	-1.0095
PRSSL1	-0.6805
PDCL3	0.0673333333333333
DECR1	-0.228875
SALL1	-3.6255
CADM4	0.928833333333333
RPS18	0.1275
HNRPD	-0.316
CFHR5	0.432
SLC10A7	0.3595
OR2K2	-0.024
LMAN1	-0.34525
SUHW1	-4.2935
CHD8	-0.1662
SUMO1	0.5216
GP1BA	1.7536
DDB1	-0.156666666666667
MYO9B	0.0263
MMP7	6.721
CRNKL1	0.362875
C9orf45	-1.9975
XAB2	0.2065
RTN1	3.29825
KLHL14	-0.94275
TBX10	-0.822
CENPQ	-1.65325
UTY	-1.19023076923077
ZBTB12	-0.305
DTNBP1	-0.76575
KBTBD8	-0.408833333333333
ZEB1	0.3785
ZG16	-2.377
MIER1	1.0421
ADAM5P	0.12
CHD9	-0.4350625
STK16	0.16725
KIAA1486	-1.681
TOB2	0.952416666666667
BANK1	4.69775
OR2V2	0.9125
GRM2	-0.0983333333333333
PROSC	0.3655
SPIN2B	0.161
PIR	-1.83
IPO9	-0.6376
EVC	0.365333333333333
CXCL13	5.3495
KIAA1199	-3.6161
SORL1	1.93225
NAT10	-0.5175
CHD1	-0.73975
SYN3	-0.32925
SLC22A2	-0.2615
SERPINF1	1.09466666666667
WDR34	-0.09575
OR7A17	0.14
C9orf11	-3.435
RNF216L	-0.6434
LHB	-0.047
STK25	-0.16325
TAOK3	0.425375
LOC152573	-1.791
C3orf39	0.842875
C14orf108	0.0887
CDC25B	-1.44254545454545
BMP3	-0.232
TMEM180	-0.2325
MAP1LC3C	1.319
CRYGC	-0.322
POU3F1	-1.4436
C20orf32	-1.6105
CCDC95	-0.4955
HIGD1B	4.565
USP6NL	-0.639375
ABCD4	-0.136833333333333
DIMT1L	-0.654583333333333
TEK	2.02525
SLC25A46	-0.52975
LARP7	-1.5724
CD160	0.322
MT1JP	-0.5685
PHF20	-0.5483125
CPNE4	-2.4575
GTPBP1	-0.0955
RAB33B	1.747
ALDOC	-2.24975
ZNF212	-0.13525
NUDT1	-0.733666666666667
RFPL2	-0.421
ZNF83	-0.679333333333333
GDPD5	-0.0035
PDCD4	2.958
CEP350	-0.134
OR10A2	-0.07375
CST7	2.3045
CIAO1	-0.952
SELL	2.8115
OR8J3	1.272
LTBP4	0.398
SIRT6	0.08725
CCL19	5.18375
