Hybridization REF	TCGA-BH-A0BJ-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.457
CREB3L1	1.04
RPS11	0.78425
PNMA1	0.297
MMP2	0.724166666666667
C10orf90	-1.75475
ZHX3	-0.229333333333333
ERCC5	-0.5675
GPR98	0.065
RXFP3	0.0645
APBB2	1.53725
PRO0478	-1.192625
KLHL13	-1.421
PRSSL1	-0.2745
PDCL3	0.3945
DECR1	0.039875
SALL1	-2.53166666666667
CADM4	1.44816666666667
RPS18	0.374857142857143
HNRPD	-0.626166666666667
CFHR5	0.907666666666667
SLC10A7	-1.047875
OR2K2	2.041
LMAN1	-0.712
SUHW1	-4.3405
CHD8	-0.8913
SUMO1	0.6551
GP1BA	0.5433
DDB1	0.224
MYO9B	0.0085
MMP7	6.9015
CRNKL1	0.499125
C9orf45	-1.47866666666667
XAB2	0.18475
RTN1	3.379375
KLHL14	-1.297375
TBX10	-1.315
CENPQ	-1.74825
UTY	-1.62269230769231
ZBTB12	0.306
DTNBP1	-0.0928749999999998
KBTBD8	-0.829
ZEB1	0.518333333333333
ZG16	-1.91525
MIER1	0.3573
ADAM5P	-1.505
CHD9	-0.058375
STK16	0.459
KIAA1486	-0.2795
TOB2	0.448333333333333
BANK1	1.7845
OR2V2	0.66325
GRM2	-0.639833333333333
PROSC	0.15475
SPIN2B	0.628
PIR	-2.59777777777778
IPO9	-0.269
EVC	1.08766666666667
CXCL13	2.3235
KIAA1199	-3.0698
SORL1	2.75475
NAT10	-0.5385
CHD1	-0.2765
SYN3	-1.5795
SLC22A2	-0.899
SERPINF1	0.673
WDR34	-0.29625
OR7A17	-0.661
C9orf11	-0.00899999999999998
RNF216L	-0.4738
LHB	-0.116
STK25	0.0225
TAOK3	0.676875
LOC152573	-2.913
C3orf39	0.550375
C14orf108	-0.1516
CDC25B	-2.53836363636364
BMP3	0.504
TMEM180	0.0725
MAP1LC3C	0.84375
CRYGC	-0.9925
POU3F1	-1.8846
C20orf32	-1.4935
CCDC95	-1.005
HIGD1B	4.93475
USP6NL	-0.65725
ABCD4	-0.650166666666667
DIMT1L	-0.482666666666667
TEK	1.92071428571429
SLC25A46	-0.08975
LARP7	-2.141
CD160	0.3055
MT1JP	-1.46333333333333
PHF20	0.1529375
CPNE4	-1.6125
GTPBP1	-0.288928571428571
RAB33B	1.1275
ALDOC	-2.772125
ZNF212	-0.42275
NUDT1	-0.817
RFPL2	-0.42825
ZNF83	-0.434166666666667
GDPD5	0.063
PDCD4	1.60125
CEP350	-0.04325
OR10A2	-0.60925
CST7	1.29875
CIAO1	-1.00175
SELL	1.5985
OR8J3	-2.417
LTBP4	-0.0748333333333333
SIRT6	-0.084
CCL19	5.038
PPIL1	-1.85566666666667
GBP7	0.8845
STK17A	-0.6578
ABR	0.9085
OR9G1	0.0864999999999999
FOXE1	-1.29575
CNGA3	-1.116
GML	-0.155
CD38	-2.24375
ZDHHC6	-0.520166666666667
NEFH	-0.77325
CTDSP2	0.917916666666667
PGBD5	-0.798666666666667
CCNY	0.182357142857143
RMND5B	1.04141666666667
ZNF257	-0.19
FLJ22167	0.598375
EXOSC7	-0.605333333333333
ROR2	2.555125
MAOA	0.365125
TNNT3	2.5355
GYPC	-0.719
C7orf33	2.497
PLIN	4.33866666666667
LOC90826	-0.83125
RNF4	-0.6215
F8A1	0.697833333333333
PLEKHG4	-0.66
GRB2	-0.08405
HIST1H2AD	-0.274
DUS3L	-0.631666666666667
EIF1	-0.2025
RP5-1077B9.4	-1.16583333333333
FPGT	2.01375
GDF10	1.7595
COQ9	0.2955
GCC2	0.112642857142857
RARRES3	3.1745
PLXNA1	-0.6517
KIAA0100	-0.2966
PMF1	0.53725
FNDC1	5.6835
HS2ST1	-0.315
CRELD2	0.378
C8G	-1.648
CD82	1.60475
LIM2	-1.26
UNQ6490	-1.8595
MMP16	1.1745
DRD3	-0.89775
C5orf26	-0.18125
C11orf73	0.507125
PTP4A2	0.98225
OR4M2	-1.323
HPCA	-0.935666666666667
SEC14L1	-1.02216666666667
CHFR	-0.15375
EMILIN1	1.184
NDUFS4	0.22575
COL18A1	0.79625
PDZD3	-0.4484
C9orf16	0.168833333333333
ERBB2IP	0.533666666666667
EMX2	3.49775
FUS	-0.70375
TF	-3.6752
CLCN4	0.256333333333333
CXorf56	0.04775
C11orf72	-0.1795
ELAC2	-0.2715
NPR1	-0.168
ASS1	-2.1265
USP42	0.01075
POLR2J	-0.7095
SEC23IP	0.2605
UQCRC1	0.126
LOC729603	-0.5045
C1orf71	-0.00325000000000003
POLG	-2.4765
ADAM23	-3.18425
TFR2	-1.5785
RICTOR	-1.231
MGC39606	1.048
C19orf55	-0.261875
SNAPC1	-2.05666666666667
GNA11	1.24425
CCDC52	-0.0351666666666667
FSIP1	5.1875
UPF3A	-0.6585
IGSF11	-3.35616666666667
LAGE3	-0.16225
CHST6	-2.3075
UNC13B	0.197625
TTLL4	-0.96575
