Hybridization REF	TCGA-BH-A0E0-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.115916666666667
CREB3L1	1.2905
RPS11	0.9775
PNMA1	-0.53025
MMP2	-0.817833333333333
C10orf90	-1.1015
ZHX3	-0.0568333333333333
ERCC5	0.46625
GPR98	-1.6575
RXFP3	1.017
APBB2	-0.17925
PRO0478	-1.16925
KLHL13	-3.492
PRSSL1	-0.832166666666667
PDCL3	-0.293166666666667
DECR1	0.61775
SALL1	-4.4705
CADM4	1.43733333333333
RPS18	0.971357142857143
HNRPD	-1.49425
CFHR5	1.416
SLC10A7	-0.826875
OR2K2	0.415
LMAN1	-0.075375
SUHW1	-3.7935
CHD8	-0.0326
SUMO1	0.3544
GP1BA	1.6981
DDB1	0.480666666666667
MYO9B	-0.0898
MMP7	0.35125
CRNKL1	0.34075
C9orf45	-0.486666666666667
XAB2	0.210375
RTN1	1.019125
KLHL14	-1.704625
TBX10	-0.6505
CENPQ	-2.42325
UTY	-1.50176923076923
ZBTB12	-0.4115
DTNBP1	-0.27275
KBTBD8	-1.005
ZEB1	-1.8935
ZG16	-0.69525
MIER1	0.2377
ADAM5P	0.825
CHD9	-0.7434375
STK16	1.1515
KIAA1486	0.323
TOB2	0.35425
BANK1	2.065
OR2V2	-0.6315
GRM2	0.307
PROSC	0.045875
SPIN2B	0.16
PIR	0.0716666666666667
IPO9	-0.2161
EVC	-0.719833333333333
CXCL13	3.55383333333333
KIAA1199	-2.9951
SORL1	-1.4275
NAT10	0.161
CHD1	-0.97275
SYN3	-1.8685
SLC22A2	-0.409
SERPINF1	-0.675666666666667
WDR34	-0.38025
OR7A17	0.278
C9orf11	-0.8365
RNF216L	0.3487
LHB	0.972
STK25	-0.07475
TAOK3	0.020375
LOC152573	-2.85366666666667
C3orf39	0.491625
C14orf108	-0.534
CDC25B	-0.633727272727273
BMP3	-0.9845
TMEM180	-0.6835
MAP1LC3C	-0.1035
CRYGC	-1.844
POU3F1	-0.6445
C20orf32	-2.0845
CCDC95	-0.4445
HIGD1B	4.424
USP6NL	1.052125
ABCD4	-0.917166666666667
DIMT1L	-1.227
TEK	0.049
SLC25A46	-1.151
LARP7	-2.0559
CD160	0.888166666666667
MT1JP	-2.733
PHF20	0.4969375
CPNE4	-1.8265
GTPBP1	-0.4615
RAB33B	0.716166666666667
ALDOC	-2.09975
ZNF212	0.575
NUDT1	-0.225
RFPL2	-0.922
ZNF83	-0.449
GDPD5	-0.342375
PDCD4	2.85965
CEP350	1.0915
OR10A2	0.01825
CST7	-0.418
CIAO1	-0.6115
SELL	1.215125
OR8J3	0.241
LTBP4	-0.476333333333333
SIRT6	-0.06
CCL19	5.76075
PPIL1	-1.11233333333333
GBP7	-0.195
STK17A	-1.0734
ABR	0.38325
OR9G1	0.5135
FOXE1	-0.762625
CNGA3	0.1505
GML	0.921
CD38	-3.55275
ZDHHC6	0.595666666666667
NEFH	0.842
CTDSP2	-0.225166666666667
PGBD5	-1.41933333333333
CCNY	1.29207142857143
RMND5B	0.567
ZNF257	-3.1455
FLJ22167	-0.4895
EXOSC7	-0.604
ROR2	-0.755714285714286
MAOA	0.73175
TNNT3	0.4795
GYPC	-1.03975
C7orf33	0.324
PLIN	3.80816666666667
LOC90826	-1.1775
RNF4	-0.6312
F8A1	0.987
PLEKHG4	-1.4355
GRB2	-0.57525
HIST1H2AD	0.401
DUS3L	-0.965166666666667
EIF1	-0.416666666666667
RP5-1077B9.4	-0.233166666666667
FPGT	1.321
GDF10	-1.39533333333333
COQ9	0.19225
GCC2	-0.317428571428571
RARRES3	-0.10375
PLXNA1	0.4093
KIAA0100	-0.2385
PMF1	0.86175
FNDC1	5.0395
HS2ST1	0.123416666666667
CRELD2	0.1615
C8G	-0.645
CD82	1.85975
LIM2	-1.354
UNQ6490	-0.449
MMP16	-2.109
DRD3	-0.377
C5orf26	-1.08925
C11orf73	0.99075
PTP4A2	-0.404875
OR4M2	-0.2795
HPCA	0.36
SEC14L1	-0.998166666666667
CHFR	0.3775
EMILIN1	0.810125
NDUFS4	-0.56775
COL18A1	-0.183
PDZD3	-0.093
C9orf16	0.432
ERBB2IP	-0.466166666666667
EMX2	2.853
FUS	-1.14
TF	-3.3723
CLCN4	1.653
CXorf56	0.24425
C11orf72	0.60475
ELAC2	-0.301666666666667
NPR1	-0.784
ASS1	0.536166666666667
USP42	0.789625
POLR2J	-0.539
SEC23IP	0.920666666666667
UQCRC1	0.29675
LOC729603	-0.21725
C1orf71	-0.778125
POLG	-1.8975
ADAM23	-3.61975
TFR2	-0.52625
RICTOR	-1.63155555555556
MGC39606	2.8275
C19orf55	0.3885
SNAPC1	-1.67533333333333
GNA11	0.538375
CCDC52	-0.578833333333333
FSIP1	0.13
UPF3A	-0.72025
IGSF11	-3.3632
LAGE3	1.599
CHST6	-1.9895
UNC13B	0.2
TTLL4	2.350875
ZNF687	1.321
SDC2	-1.9277
COX7A2	-0.15325
LAMB4	0.0675
FAM24A	-0.636
LRRTM3	-1.107
GPHB5	0.61425
OR4C13	1.479
EIF3EIP	0.898285714285714
HABP4	-0.6525
TMEM125	2.721
CNTN2	0.275625
ASNSD1	-0.58775
FUT4	-0.51275
ACF	-3.77
LOC158381	-0.2525
CDH8	0.180333333333333
AGPS	-0.776833333333333
C4orf18	-0.293
PECI	-1.91958333333333
UNG	-0.685
GSTP1	0.130125
DCUN1D5	0.0965
DKFZP564J0863	-0.3495
SLC9A3R1	0.264375
BCDO2	-0.525
CHMP7	0.066125
REM2	-0.62
DNHD1	-0.059875
FKBP4	0.551625
ZNF350	1.95675
MGC11102	1.24075
BST1	-0.24725
KISS1R	2.627
NCR2	0.8355
DEFB125	0.893
UBE2W	-0.04475
KRT15	-1.385125
C10orf99	1.844
SCN11A	0.24825
GFI1	-2.2045
RDHE2	-1.3475
FHL1	-2.47833333333333
OSGEP	-0.7875
GATA1	-2.9695
SMC6	-0.32975
TTTY14	-1.659
LPIN3	-0.1165
RPL4	-0.0515
RBPMS	-0.8602
PRPF3	1.165
EMR1	-2.7945
SPATA19	-0.88925
XCR1	0.9705
IRX3	2.5169
RBM6	-0.699
KLF4	-1.4292
UNC5CL	-2.5015
SEBOX	0.8635
BTK	-0.529
KRCC1	1.54025
C6orf27	0.3965
SYTL5	-1.3615
PRND	2.949125
LOC653319	-1.295
PIGL	-1.57975
HUS1	0.847666666666667
SFRS6	0.347
C17orf77	1.6495
UIMC1	-1.3755
FXYD2	-1.6265
LOC283152	-0.475
ZNF667	0.15675
ZCCHC12	-1.151
TFEC	1.0182
ATP7B	-1.5315
POLD2	-0.4095
RG9MTD1	0.4895
ACOT2	-0.187166666666667
HIST1H4I	-0.410125
PPARGC1A	0.9156
ETFA	-1.5166
POLRMT	0.01275
ZNF146	0.21275
MIA2	-1.2805
KLHL6	-1.10283333333333
HOXB5	3.103125
NENF	-0.0148333333333333
CUGBP1	0.41175
PRSS22	2.31033333333333
CASC4	-0.5765
CUL4B	0.3152
CENPJ	-1.6643
PITX1	1.535
FLJ31033	-0.942333333333333
CELSR3	-2.18683333333333
ZNF568	1.15725
ITSN1	-1.28125
EHBP1L1	-0.502666666666667
C19orf2	0.463
DCTN1	0.37325
LIN28B	-2.1052
TNKS2	0.64775
C1QBP	-0.444125
CADPS2	0.07575
SRMS	0.07
GJA9	-0.3785
MGC24975	-1.3625
TRIM45	0.0535
TSP50	0.99375
TCP1	-0.37075
TMED7	-0.6221
CMA1	0.5305
CENPL	0.891333333333333
PTCRA	0.6905
FST	-3.0235
VWCE	-2.49275
PAWR	-0.10075
ABCC12	-0.567666666666667
LDLR	-2.0977
ASTN2	-0.2371
LOC441212	-0.00875
GPATCH8	-0.13075
TANC2	0.506083333333334
KIF4A	-0.5855
C18orf18	-3.093
PGM1	0.4355
KIAA0258	1.7545
CPD	-0.2625
SNCAIP	2.81975
DCT	-3.82966666666667
HLA-DOA	2.82581818181818
OR11L1	0.9565
UPK1B	-0.770333333333333
DNAJB4	-0.669375
UGT1A8	-1.20725
HIST1H4L	-1.03
PECR	-1.11266666666667
HSPA2	2.559
WFIKKN1	-0.889
SERP1	0.261875
SYDE2	-0.27875
TACR2	0.2995
NUP85	-0.87675
CD177	-0.683333333333333
LGR5	-1.68316666666667
PIGG	-0.52625
PTHR1	-2.00233333333333
RAB5A	-0.5828
FLJ13224	0.276
USP9Y	-1.077
C7orf53	0.3915
LRP1B	-0.767
XAF1	-0.7335
ABCG8	0.247
ANKDD1A	0.566833333333333
DAND5	-2.753
SPAG6	-1.0626
LINCR	-1.171
ZDHHC22	-1.6895
CCDC60	-2.09
THOC7	-1.25833333333333
TCTA	1.178
OR8K3	0.82825
NY-REN-7	-2.32566666666667
B2M	-0.279
C6orf141	-2.74275
LPPR4	2.34975
SQLE	0.21925
SEPHS1	0.6425
BTBD14B	0.941357142857143
PLRG1	-0.19975
SPG7	-0.2955625
ZNF614	0.4035
PARD6G	3.16816666666667
INPP5B	-0.5879
GRPEL2	0.11325
PPID	-0.4001
TRIM56	-0.33125
UBE2J1	-0.106875
IL20RA	5.277
LOC387856	-0.98975
C1orf107	-0.0336666666666667
UTS2R	2.215
C19orf22	-0.3135
SAFB2	-0.481
KIAA0652	0.15425
KLRG1	-1.25833333333333
MS4A8B	0.263
FRAG1	1.9535
KIAA1546	0.6645
E2F4	-1.1067
CLEC4M	0.8182
BTBD14A	-2.47225
KIAA0999	0.1774
GYPA	-4.1688
TAC1	-0.2631
TRAIP	-1.19866666666667
KIAA0232	0.1395
ERCC8	-1.1225
GPX4	0.948125
KIAA0368	-0.49275
GPR157	1.42533333333333
CTAGE4	1.165
C9orf30	-0.703
OR52A1	0.792
HSP90B3P	-0.7555
ALG9	0.7108
BTBD10	0.5495
SDK2	-0.65225
BAIAP3	-0.87275
RABGGTB	-0.612625
ANKRD40	-0.615833333333333
KRT74	2.4675
CALCOCO2	0.397714285714286
SNCA	-3.81375
TMSL8	1.7265
C2orf53	-0.6495
ESRRB	-1.0535
