Hybridization REF	TCGA-AO-A0JA-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.843416666666667
CREB3L1	1.0935
RPS11	0.384
PNMA1	0.26125
MMP2	1.11033333333333
C10orf90	-2.51625
ZHX3	0.312333333333333
ERCC5	0.18125
GPR98	-1.459375
RXFP3	0.2265
APBB2	2.0885
PRO0478	-1.190875
KLHL13	0.4465
PRSSL1	-0.915
PDCL3	0.535333333333333
DECR1	0.0705
SALL1	-1.98233333333333
CADM4	1.27083333333333
RPS18	-0.227071428571429
HNRPD	-0.0938333333333334
CFHR5	1.27383333333333
SLC10A7	0.179125
OR2K2	0.427
LMAN1	-0.502125
SUHW1	-3.35
CHD8	-0.3019
SUMO1	0.7971
GP1BA	1.0672
DDB1	0.1085
MYO9B	0.0321
MMP7	6.17625
CRNKL1	0.6685
C9orf45	-1.51166666666667
XAB2	0.669125
RTN1	2.863625
KLHL14	-1.582625
TBX10	-1.031
CENPQ	-1.4425
UTY	-1.64828571428571
ZBTB12	-0.018
DTNBP1	-0.05425
KBTBD8	-0.913833333333333
ZEB1	-0.315
ZG16	-2.16525
MIER1	-0.2832
ADAM5P	1.8715
CHD9	-0.1766875
STK16	0.867
KIAA1486	-0.698
TOB2	0.254833333333333
BANK1	1.339
OR2V2	0.31675
GRM2	0.0593333333333333
PROSC	0.35525
SPIN2B	0.5365
PIR	-2.73611111111111
IPO9	0.1135
EVC	1.566
CXCL13	2.35733333333333
KIAA1199	-0.6787
SORL1	1.37025
NAT10	-0.84175
CHD1	0.701
SYN3	-0.107
SLC22A2	-0.51
SERPINF1	1.59016666666667
WDR34	-0.4245
OR7A17	0.4505
C9orf11	-0.5095
RNF216L	-1.1211
LHB	-0.023
STK25	0.480625
TAOK3	0.16325
LOC152573	-2.59475
C3orf39	0.222125
C14orf108	0.8189
CDC25B	-1.69327272727273
BMP3	1.1185
TMEM180	0.393
MAP1LC3C	0.2495
CRYGC	-1.563
POU3F1	-1.2923
C20orf32	-0.791
CCDC95	-0.709
HIGD1B	4.53575
USP6NL	0.064
ABCD4	-0.381
DIMT1L	-0.8295
TEK	1.7405
SLC25A46	-0.492
LARP7	-1.7929
CD160	-0.242833333333333
MT1JP	-0.618166666666667
PHF20	-0.166625
CPNE4	1.5015
GTPBP1	-0.418357142857143
RAB33B	0.661
ALDOC	-2.832875
ZNF212	0.2485
NUDT1	-0.698
RFPL2	-0.7215
ZNF83	-0.622833333333333
GDPD5	-0.503
PDCD4	1.97305
CEP350	-0.416
OR10A2	0.55325
CST7	0.758
CIAO1	-0.36825
SELL	1.74975
OR8J3	0.3
LTBP4	0.0228333333333333
SIRT6	0.30525
CCL19	4.6515
PPIL1	-0.8005
GBP7	-0.0206666666666667
STK17A	-0.1791
ABR	0.38625
OR9G1	0.8575
FOXE1	-0.570125
CNGA3	0.258
GML	0.312
CD38	-1.67775
ZDHHC6	-0.4315
NEFH	-0.316
CTDSP2	0.395833333333333
PGBD5	-0.0791666666666667
CCNY	0.261714285714286
RMND5B	1.45933333333333
ZNF257	-3.1005
FLJ22167	-1.215375
EXOSC7	-0.818166666666667
ROR2	2.84025
MAOA	-1.209125
TNNT3	1.66566666666667
GYPC	-0.77
C7orf33	0.7235
PLIN	3.36333333333333
LOC90826	0.02975
RNF4	0.0302
F8A1	1.01933333333333
PLEKHG4	-1.4145
GRB2	0.2278
HIST1H2AD	0.0585
DUS3L	-0.844833333333333
EIF1	-0.457
RP5-1077B9.4	-1.25716666666667
FPGT	1.005
GDF10	1.92533333333333
COQ9	-0.48825
GCC2	-0.3505
RARRES3	2.77175
PLXNA1	-0.697
KIAA0100	-1.2203
PMF1	0.703
FNDC1	5.3645
HS2ST1	-0.19975
CRELD2	0.3305
C8G	-0.864
CD82	1.3445
LIM2	-1.5035
UNQ6490	0.4005
MMP16	0.57875
DRD3	-0.08025
C5orf26	-1.081
C11orf73	-0.731625
PTP4A2	1.059125
OR4M2	0.2155
HPCA	-0.538166666666667
SEC14L1	-0.5045
CHFR	-0.283375
EMILIN1	1.26875
NDUFS4	-0.734
COL18A1	0.906
PDZD3	-0.3403
C9orf16	0.293833333333333
ERBB2IP	0.5725
EMX2	2.435
FUS	0.22525
TF	-3.9205
CLCN4	-0.124
CXorf56	-0.082
C11orf72	0.32675
ELAC2	-0.507
NPR1	-0.39675
ASS1	-1.536
USP42	-0.632875
POLR2J	-0.4255
SEC23IP	0.210833333333333
UQCRC1	-0.50225
LOC729603	-0.22475
C1orf71	-0.228625
POLG	-1.9845
ADAM23	-3.10575
TFR2	-1.62475
RICTOR	-1.9287
MGC39606	1.57275
C19orf55	-0.435125
SNAPC1	-2.093
GNA11	0.9995
CCDC52	-0.283833333333333
FSIP1	6.414
UPF3A	0.26525
IGSF11	-2.8815
LAGE3	1.8735
CHST6	-1.6425
UNC13B	0.283125
TTLL4	-0.903375
ZNF687	1.007
SDC2	-0.0411
COX7A2	-0.061
LAMB4	0.0675
FAM24A	0.45
LRRTM3	-1.60133333333333
GPHB5	-0.039
OR4C13	0.4185
EIF3EIP	-0.438285714285714
HABP4	-0.427
TMEM125	2.6385
CNTN2	1.216875
ASNSD1	-0.635
FUT4	0.1685
ACF	-3.6775
LOC158381	0.6085
CDH8	0.08375
AGPS	0.102
C4orf18	2.527
PECI	-0.236083333333333
UNG	-0.269375
GSTP1	-1.835375
DCUN1D5	-0.561833333333333
DKFZP564J0863	0.24075
SLC9A3R1	2.1255
BCDO2	-0.7205
CHMP7	1.34525
REM2	1.336
DNHD1	-0.84475
FKBP4	0.6865
ZNF350	1.363
MGC11102	0.472
BST1	1.398
KISS1R	1.4405
NCR2	-0.186
DEFB125	0.0005
UBE2W	0.14225
KRT15	1.412375
C10orf99	0.3635
SCN11A	0.468375
GFI1	-2.40925
RDHE2	2.84683333333333
FHL1	-0.7175
OSGEP	0.1475
GATA1	-3.547
SMC6	-1.07875
TTTY14	-1.13075
LPIN3	-0.36075
RPL4	-0.652
RBPMS	0.9249
PRPF3	-0.352833333333333
EMR1	-1.5685
SPATA19	0.02125
XCR1	0.307
IRX3	2.4839
RBM6	-0.7895
KLF4	-0.0809
UNC5CL	-2.0785
SEBOX	0.653
BTK	0.14625
KRCC1	1.43475
C6orf27	0.795
SYTL5	-0.727
PRND	3.07825
LOC653319	-1.3205
PIGL	-1.52625
HUS1	0.0638333333333333
SFRS6	1.49525
C17orf77	0.105
UIMC1	-0.509166666666667
FXYD2	-1.8832
LOC283152	-0.154
ZNF667	-0.30725
ZCCHC12	-0.50125
TFEC	2.948
ATP7B	1.4545
POLD2	-0.693666666666667
RG9MTD1	-0.03625
ACOT2	0.7535
HIST1H4I	-1.1195
PPARGC1A	-2.2893
ETFA	-2.0261
POLRMT	-0.11225
ZNF146	0.178375
MIA2	-1.4045
KLHL6	-0.269166666666667
HOXB5	1.94125
NENF	0.891333333333333
CUGBP1	0.3525
PRSS22	1.50516666666667
CASC4	1.3076
CUL4B	0.0333
CENPJ	-1.3644
PITX1	0.361
FLJ31033	0.371666666666667
CELSR3	-2.48033333333333
ZNF568	0.679
ITSN1	-0.401916666666667
EHBP1L1	-0.6315
C19orf2	0.227
DCTN1	1.0975
LIN28B	-3.6165
TNKS2	-1.09225
C1QBP	-0.589125
CADPS2	1.58375
SRMS	0.28925
GJA9	0.0478333333333333
MGC24975	-0.326
TRIM45	-0.007
TSP50	-0.84575
TCP1	-0.6745
TMED7	0.8222
CMA1	0.573
CENPL	-0.428166666666667
PTCRA	0.8455
FST	-3.05325
VWCE	-3.61875
PAWR	-0.225
ABCC12	0.385666666666667
LDLR	-1.4271
ASTN2	0.9398
LOC441212	-1.775375
GPATCH8	-0.3505
TANC2	-0.111583333333333
KIF4A	-1.0815
C18orf18	-1.54725
PGM1	-1.619
KIAA0258	1.493
CPD	0.204875
SNCAIP	-0.42925
DCT	-4.02
HLA-DOA	3.46590909090909
OR11L1	0.4165
UPK1B	0.9065
DNAJB4	-0.302625
UGT1A8	-0.08275
HIST1H4L	-2.0815
PECR	-0.803666666666667
HSPA2	0.7295
WFIKKN1	-1.2335
SERP1	0.167875
SYDE2	0.7935
TACR2	0.731
NUP85	-0.77525
