Hybridization REF	TCGA-AO-A0JL-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.280333333333333
CREB3L1	1.20875
RPS11	0.4605
PNMA1	-0.856
MMP2	-0.3
C10orf90	1.7145
ZHX3	0.596833333333333
ERCC5	-0.19825
GPR98	-1.541125
RXFP3	1.19
APBB2	0.34325
PRO0478	-0.397625
KLHL13	0.184
PRSSL1	-0.8475
PDCL3	-0.0253333333333333
DECR1	0.589375
SALL1	-3.77725
CADM4	1.0655
RPS18	0.760142857142857
HNRPD	-0.879916666666667
CFHR5	0.5185
SLC10A7	0.676
OR2K2	0.7685
LMAN1	-0.73925
SUHW1	-2.94
CHD8	0.8321
SUMO1	0.8242
GP1BA	1.4304
DDB1	-0.748
MYO9B	0.4884
MMP7	2.34975
CRNKL1	-0.28525
C9orf45	-0.0196666666666667
XAB2	0.13225
RTN1	0.401
KLHL14	-1.75828571428571
TBX10	-0.958
CENPQ	-1.7715
UTY	-1.07746153846154
ZBTB12	0.4275
DTNBP1	0.819375
KBTBD8	-2.92333333333333
ZEB1	-1.388
ZG16	-0.758
MIER1	-0.3715
ADAM5P	1.1145
CHD9	0.113625
STK16	0.1665
KIAA1486	-2.391
TOB2	1.14175
BANK1	1.0535
OR2V2	0.136
GRM2	0.1982
PROSC	-0.64475
SPIN2B	0.59425
PIR	0.238
IPO9	0.1637
EVC	0.6855
CXCL13	4.70783333333333
KIAA1199	-2.0397
SORL1	0.616
NAT10	-0.91525
CHD1	-1.58725
SYN3	-0.10725
SLC22A2	-1.637
SERPINF1	-0.345
WDR34	-0.369
OR7A17	-0.89825
C9orf11	-0.209
RNF216L	0.0894
LHB	0.34
STK25	-0.607
TAOK3	0.589875
LOC152573	-1.22366666666667
C3orf39	0.677875
C14orf108	-0.934555555555555
CDC25B	-0.804363636363636
BMP3	0.9565
TMEM180	-0.826
MAP1LC3C	-1.00575
CRYGC	-0.89
POU3F1	-0.891
C20orf32	-1.965
CCDC95	1.194
HIGD1B	5.3055
USP6NL	1.2075
ABCD4	-0.207
DIMT1L	-1.4465
TEK	1.309125
SLC25A46	-1.99375
LARP7	-1.3371
CD160	0.8175
MT1JP	-1.363
PHF20	-0.24275
CPNE4	-1.7065
GTPBP1	-0.300214285714286
RAB33B	-0.669
ALDOC	-0.22825
ZNF212	0.36325
NUDT1	-0.737333333333333
RFPL2	-2.1135
ZNF83	-0.1065
GDPD5	0.42725
PDCD4	1.1942
CEP350	-0.05975
OR10A2	-0.16025
CST7	-0.00974999999999999
CIAO1	-0.33325
SELL	0.133857142857143
OR8J3	-0.752
LTBP4	0.203
SIRT6	0.91325
CCL19	3.7805
PPIL1	-1.53283333333333
GBP7	0.0206666666666666
STK17A	-1.2223
ABR	1.07175
OR9G1	-0.385
FOXE1	-0.57425
CNGA3	0.183
GML	-0.366
CD38	-2.685
ZDHHC6	-0.282
NEFH	-2.5025
CTDSP2	-0.09225
PGBD5	2.02316666666667
CCNY	0.737571428571428
RMND5B	-0.178666666666667
ZNF257	0.3095
FLJ22167	-0.23875
EXOSC7	-0.780666666666667
ROR2	-0.805875
MAOA	-1.96275
TNNT3	-0.595833333333334
GYPC	-0.233
C7orf33	1.9535
PLIN	0.474666666666667
LOC90826	-0.09975
RNF4	-0.8475
F8A1	0.923833333333333
PLEKHG4	-1.63625
GRB2	-0.86855
HIST1H2AD	-0.03925
DUS3L	-0.9475
EIF1	0.1305
RP5-1077B9.4	0.385166666666667
FPGT	0.85725
GDF10	-0.7465
COQ9	-0.35825
GCC2	-0.1015
RARRES3	0.51175
PLXNA1	0.3841
KIAA0100	0.1015
PMF1	0.5375
FNDC1	5.55275
HS2ST1	0.0939166666666665
CRELD2	1.42075
C8G	-0.741
CD82	0.79525
LIM2	-2.106
UNQ6490	-0.0905
MMP16	-1.496
DRD3	-0.52475
C5orf26	-1.56625
C11orf73	-1.2255
PTP4A2	-1.198375
OR4M2	0.2045
HPCA	-0.4795
SEC14L1	-0.523666666666667
CHFR	0.26825
EMILIN1	1.39325
NDUFS4	-1.874
COL18A1	0.98625
PDZD3	-0.4867
C9orf16	0.824333333333333
ERBB2IP	-0.209833333333333
EMX2	4.45625
FUS	-0.78275
TF	-2.5981
CLCN4	-0.059
CXorf56	-0.82725
C11orf72	0.42875
ELAC2	0.0456666666666667
NPR1	-0.2005
ASS1	-0.986
USP42	0.16775
POLR2J	0.303
SEC23IP	-0.744166666666667
UQCRC1	-0.35975
LOC729603	-0.651
C1orf71	-0.28575
POLG	-2.112
ADAM23	-3.57975
TFR2	-0.81575
RICTOR	-0.8985
MGC39606	2.601
C19orf55	-0.497
SNAPC1	-1.04766666666667
GNA11	1.301875
CCDC52	-0.0521666666666667
FSIP1	-0.5685
UPF3A	-1.078375
IGSF11	-1.72916666666667
LAGE3	0.0275
CHST6	1.753
UNC13B	0.445
TTLL4	0.093875
ZNF687	1.258
SDC2	0.2515
COX7A2	-0.693
LAMB4	-0.25275
FAM24A	-1.665
LRRTM3	-0.7504
GPHB5	0.63875
OR4C13	-0.842
EIF3EIP	0.505214285714286
HABP4	-1.0845
TMEM125	3.265
CNTN2	0.217125
ASNSD1	-1.07575
FUT4	-0.540375
ACF	-2.6075
LOC158381	-0.83
CDH8	0.471
AGPS	-1.62216666666667
C4orf18	1.059125
PECI	-0.88825
UNG	-0.0842499999999999
GSTP1	0.424375
DCUN1D5	-2.1425
