Hybridization REF	TCGA-BH-A0DP-01A-21R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.111083333333333
CREB3L1	1.50125
RPS11	0.898375
PNMA1	0.29425
MMP2	0.9025
C10orf90	-1.007
ZHX3	-0.0605
ERCC5	-0.1065
GPR98	0.954625
RXFP3	0.5275
APBB2	1.58375
PRO0478	-0.67775
KLHL13	-0.06125
PRSSL1	-0.877666666666667
PDCL3	-0.371666666666667
DECR1	-0.09475
SALL1	-3.361
CADM4	0.674666666666667
RPS18	0.303214285714286
HNRPD	-0.719166666666667
CFHR5	-0.218666666666667
SLC10A7	-0.195375
OR2K2	0.17
LMAN1	-0.367625
SUHW1	-4.07225
CHD8	-0.2284
SUMO1	0.2984
GP1BA	0.6077
DDB1	-0.239833333333333
MYO9B	-0.116
MMP7	7.606
CRNKL1	0.154375
C9orf45	-1.269
XAB2	0.227
RTN1	2.13475
KLHL14	-0.883125
TBX10	-1.2535
CENPQ	-2.457
UTY	-1.12853846153846
ZBTB12	0.0115
DTNBP1	-0.34425
KBTBD8	-0.894
ZEB1	0.686166666666667
ZG16	-1.88275
MIER1	0.6015
ADAM5P	-0.7365
CHD9	-0.231875
STK16	0.15725
KIAA1486	-0.0035
TOB2	0.885
BANK1	3.57625
OR2V2	0.05
GRM2	-0.140166666666667
PROSC	0.27025
SPIN2B	0.252
PIR	-1.65477777777778
IPO9	-0.2401
EVC	1.43
CXCL13	5.28916666666667
KIAA1199	-0.2927
SORL1	2.594
NAT10	-0.187
CHD1	-0.33025
SYN3	-1.33775
SLC22A2	-1.3535
SERPINF1	1.39
WDR34	-0.419
OR7A17	0.11975
C9orf11	-0.8455
RNF216L	-0.1703
LHB	-0.1875
STK25	-0.232125
TAOK3	1.2505
LOC152573	-2.776
C3orf39	0.866875
C14orf108	-0.116
CDC25B	-1.97218181818182
BMP3	-0.25
TMEM180	0.0815
MAP1LC3C	0.29825
CRYGC	-0.476
POU3F1	-1.3707
C20orf32	-1.2515
CCDC95	-0.024
HIGD1B	4.03575
USP6NL	-0.198625
ABCD4	-0.254
DIMT1L	-0.707333333333333
TEK	1.584375
SLC25A46	-0.756
LARP7	-1.5092
CD160	0.134166666666667
MT1JP	-0.424666666666667
PHF20	0.0570625
CPNE4	-1.364
GTPBP1	-0.235357142857143
RAB33B	1.14566666666667
ALDOC	-2.43675
ZNF212	0.276
NUDT1	-0.832166666666667
RFPL2	-0.6955
ZNF83	-0.181666666666667
GDPD5	-0.579375
PDCD4	2.23055
CEP350	0.51025
OR10A2	-0.15925
CST7	1.51325
CIAO1	-1.238
SELL	1.578125
OR8J3	0.443
LTBP4	0.0351666666666667
SIRT6	-0.06
CCL19	4.97825
PPIL1	-1.81316666666667
GBP7	0.133166666666667
STK17A	-0.3126
ABR	0.337
OR9G1	0.416
FOXE1	-0.985625
CNGA3	2.0745
GML	-0.365
CD38	-2.3385
ZDHHC6	-0.232
NEFH	-0.7385
CTDSP2	1.05508333333333
PGBD5	-1.596
CCNY	0.519714285714286
RMND5B	0.347416666666667
ZNF257	-0.81675
FLJ22167	0.406125
EXOSC7	-0.3475
ROR2	1.897
MAOA	0.719625
TNNT3	1.51733333333333
GYPC	-0.59175
C7orf33	0.396
PLIN	4.47483333333333
LOC90826	-0.69925
RNF4	-0.3629
F8A1	0.4775
PLEKHG4	-1.90075
GRB2	-0.1387
HIST1H2AD	0.43
DUS3L	-0.606166666666667
EIF1	-0.0563333333333333
RP5-1077B9.4	-1.40433333333333
FPGT	1.33325
GDF10	1.48
COQ9	-0.423
GCC2	-0.175357142857143
RARRES3	3.5225
PLXNA1	-0.4812
KIAA0100	-0.3349
PMF1	0.5185
FNDC1	5.4565
HS2ST1	0.136
CRELD2	0.4035
C8G	-2.261
CD82	1.406
LIM2	-1.464
UNQ6490	-0.2895
MMP16	0.45725
DRD3	0.142
C5orf26	0.4955
C11orf73	-0.271875
PTP4A2	1.41375
OR4M2	0.3995
HPCA	-1.043
SEC14L1	-1.03716666666667
CHFR	-0.59475
EMILIN1	1.024375
NDUFS4	-0.21
COL18A1	0.52325
PDZD3	-0.6467
C9orf16	-0.0376666666666667
ERBB2IP	0.644333333333333
EMX2	2.81
FUS	-0.5985
TF	-3.2126
CLCN4	0.0546666666666667
CXorf56	0.3125
C11orf72	0.1045
ELAC2	-0.808
NPR1	-0.16725
ASS1	0.312
USP42	0.426875
POLR2J	-0.607
SEC23IP	0.594666666666667
UQCRC1	-0.343
LOC729603	-0.81075
C1orf71	0.573125
POLG	-2.4775
ADAM23	-2.64225
TFR2	-1.65625
RICTOR	-0.5955
MGC39606	0.85925
C19orf55	-0.243125
SNAPC1	-1.603
GNA11	0.951875
CCDC52	0.301833333333333
FSIP1	2.162
UPF3A	-0.812
IGSF11	-2.6005
LAGE3	-0.469
CHST6	-0.4025
UNC13B	0.105
TTLL4	-0.77825
ZNF687	0.820875
SDC2	-0.2169
COX7A2	-1.252
LAMB4	-0.19875
FAM24A	0.2565
LRRTM3	-1.10133333333333
GPHB5	0.09625
OR4C13	0.1025
EIF3EIP	0.438071428571429
HABP4	-0.259
TMEM125	3.976
CNTN2	0.69675
ASNSD1	-0.1655
FUT4	-0.236
ACF	-4.0085
LOC158381	0.3925
CDH8	-0.222333333333333
AGPS	-0.583333333333333
C4orf18	3.873375
PECI	-0.565333333333333
UNG	-0.723875
GSTP1	-1.4415
DCUN1D5	-1.17816666666667
DKFZP564J0863	-0.58825
SLC9A3R1	-0.6705
BCDO2	1.933125
CHMP7	0.16525
REM2	0.764
DNHD1	-0.375375
FKBP4	-0.79625
ZNF350	1.27575
MGC11102	-0.26625
BST1	1.16275
KISS1R	1.0845
NCR2	0.306
DEFB125	0.4705
UBE2W	1.036125
KRT15	4.92075
C10orf99	0.0865
SCN11A	0.28125
GFI1	-1.8185
RDHE2	4.4355
FHL1	-0.394166666666667
OSGEP	-0.323833333333333
GATA1	-3.70516666666667
SMC6	-1.00075
TTTY14	-1.35225
LPIN3	0.062
RPL4	-0.3217
RBPMS	1.2681
PRPF3	-0.604166666666667
EMR1	-1.5355
SPATA19	0.426666666666667
XCR1	0.245
IRX3	2.3008
RBM6	-0.612
KLF4	0.2722
UNC5CL	-1.1805
SEBOX	0.129
BTK	-0.02075
KRCC1	1.5865
C6orf27	0.969
SYTL5	-0.8875
PRND	3.497375
LOC653319	-1.52
PIGL	-1.6275
HUS1	-0.306333333333333
SFRS6	0.486666666666667
C17orf77	0.3165
UIMC1	-0.388833333333333
FXYD2	-1.9532
LOC283152	1.90675
ZNF667	-0.7395
ZCCHC12	-0.96475
TFEC	2.8592
ATP7B	1.1135
POLD2	-0.850166666666667
