Hybridization REF	TCGA-BH-A0H0-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.877916666666667
CREB3L1	-0.2805
RPS11	0.658
PNMA1	0.18425
MMP2	-1.34233333333333
C10orf90	-2.0485
ZHX3	-0.755666666666667
ERCC5	-0.56575
GPR98	-2.00314285714286
RXFP3	0.0605
APBB2	1.61
PRO0478	-0.692
KLHL13	-2.509
PRSSL1	-0.733666666666667
PDCL3	0.6245
DECR1	0.565875
SALL1	-5.4848
CADM4	0.843666666666667
RPS18	0.149428571428571
HNRPD	-0.396333333333333
CFHR5	-0.2025
SLC10A7	0.078125
OR2K2	0.377
LMAN1	-0.886625
SUHW1	-4.115
CHD8	-0.095
SUMO1	0.7204
GP1BA	0.1652
DDB1	-0.388333333333333
MYO9B	-0.4711
MMP7	1.7855
CRNKL1	0.889
C9orf45	0.571833333333333
XAB2	0.0185
RTN1	0.726375
KLHL14	-1.447375
TBX10	-0.9615
CENPQ	-0.98775
UTY	-0.648
ZBTB12	0.145
DTNBP1	0.136125
KBTBD8	-2.39
ZEB1	-0.633
ZG16	-2.7145
MIER1	0.2986
ADAM5P	0.923
CHD9	-0.78675
STK16	1.22825
KIAA1486	-0.405
TOB2	1.16208333333333
BANK1	1.6025
OR2V2	0.03075
GRM2	0.255333333333333
PROSC	-0.27525
SPIN2B	0.40325
PIR	-2.29466666666667
IPO9	0.2601
EVC	0.615166666666667
CXCL13	2.84983333333333
KIAA1199	-3.0798
SORL1	0.936
NAT10	-0.13975
CHD1	0.215
SYN3	-0.409
SLC22A2	-0.35275
SERPINF1	-1.37116666666667
WDR34	-0.14325
OR7A17	0.321
C9orf11	0.4255
RNF216L	-0.2754
LHB	-0.036
STK25	0.0455
TAOK3	0.823125
LOC152573	-2.26875
C3orf39	0.31775
C14orf108	0.5238
CDC25B	-2.04518181818182
BMP3	-0.802
TMEM180	-0.034
MAP1LC3C	-0.089
CRYGC	-0.031
POU3F1	-1.4786
C20orf32	-1.9015
CCDC95	-0.246
HIGD1B	3.763
USP6NL	-2.177125
