Hybridization REF	TCGA-BH-A0HY-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.818916666666667
CREB3L1	1.2115
RPS11	0.71825
PNMA1	0.51125
MMP2	1.05116666666667
C10orf90	-1.843
ZHX3	-0.418833333333333
ERCC5	0.1085
GPR98	-1.804
RXFP3	0.683
APBB2	1.29425
PRO0478	-0.770375
KLHL13	-1.95925
PRSSL1	-0.742166666666667
PDCL3	-0.212333333333333
DECR1	-0.158625
SALL1	-3.21433333333333
CADM4	1.28133333333333
RPS18	1.03335714285714
HNRPD	-0.451583333333333
CFHR5	1.2356
SLC10A7	-0.108875
OR2K2	-0.654
LMAN1	-0.074375
SUHW1	-3.93325
CHD8	-0.3656
SUMO1	0.0431
GP1BA	-0.114
DDB1	0.3925
MYO9B	0.0503
MMP7	5.28875
CRNKL1	0.588625
C9orf45	-1.15933333333333
XAB2	0.192625
RTN1	0.520625
KLHL14	-1.93
TBX10	-1.113
CENPQ	-1.51
UTY	-1.38753846153846
ZBTB12	-0.144
DTNBP1	0.0705
KBTBD8	-2.63716666666667
ZEB1	-0.447
ZG16	-0.667
MIER1	-0.5306
ADAM5P	-0.2035
CHD9	-0.736375
STK16	0.4885
KIAA1486	-0.7055
TOB2	1.1735
BANK1	1.18475
OR2V2	-0.19925
GRM2	0.199
PROSC	0.841125
SPIN2B	0.5155
PIR	-2.18955555555556
IPO9	-0.0323
EVC	0.954333333333333
CXCL13	3.199
KIAA1199	-0.7401
SORL1	1.29325
NAT10	-0.68575
CHD1	-1.4595
SYN3	-0.059
SLC22A2	-0.17375
SERPINF1	1.044
WDR34	0.5245
OR7A17	0.67625
C9orf11	-0.713
RNF216L	-0.638
LHB	0.3765
STK25	0.2515
TAOK3	0.075125
LOC152573	-3.079
C3orf39	-0.169375
C14orf108	0.4201
CDC25B	-0.965181818181818
BMP3	0.319
TMEM180	0.0385
MAP1LC3C	0.56725
CRYGC	-0.329
POU3F1	-1.3177
C20orf32	-1.612
CCDC95	-0.0255
HIGD1B	4.89525
USP6NL	0.063
ABCD4	-0.6775
DIMT1L	-1.638
TEK	1.524
SLC25A46	-0.88825
LARP7	-1.5945
CD160	-0.1738
MT1JP	0.338333333333333
PHF20	0.3445
CPNE4	-1.803
GTPBP1	0.00435714285714286
RAB33B	0.884166666666667
ALDOC	-2.571125
ZNF212	0.06775
NUDT1	-0.441666666666667
RFPL2	-0.6695
ZNF83	-0.576
GDPD5	0.03475
PDCD4	0.37415
CEP350	-0.1025
OR10A2	-0.3075
CST7	-0.19825
CIAO1	-0.8155
SELL	0.1595
OR8J3	0.628
LTBP4	-0.379166666666667
SIRT6	0.27375
CCL19	4.78375
PPIL1	0.3405
GBP7	0.218833333333333
STK17A	-0.9213
ABR	0.8155
OR9G1	-0.8265
FOXE1	-0.4925
CNGA3	-0.22
GML	0.8715
CD38	-3.49175
ZDHHC6	-0.998666666666667
NEFH	-1.28175
CTDSP2	0.9705
PGBD5	-2.15283333333333
CCNY	-0.000714285714285712
RMND5B	1.17466666666667
ZNF257	-0.67325
FLJ22167	-1.22975
EXOSC7	-0.991166666666667
ROR2	2.002
MAOA	-0.54275
TNNT3	0.534333333333333
GYPC	-1.07875
C7orf33	0.697
PLIN	4.43016666666667
LOC90826	-1.19275
RNF4	-0.311
F8A1	0.316
PLEKHG4	-0.589
GRB2	0.99305
HIST1H2AD	1.21325
DUS3L	-0.779666666666667
EIF1	-0.1915
RP5-1077B9.4	-0.7025
FPGT	0.606
GDF10	-0.556666666666667
COQ9	0.31075
GCC2	-0.618285714285714
RARRES3	2.758875
PLXNA1	-0.1009
KIAA0100	0.8714
PMF1	1.0425
FNDC1	6.18
HS2ST1	-0.0373333333333333
CRELD2	2.354
C8G	-1.321
CD82	1.7875
LIM2	-0.914
UNQ6490	-0.68
MMP16	-0.23875
DRD3	0.233
C5orf26	-1.646
C11orf73	-0.30625
PTP4A2	1.497
OR4M2	0.5275
HPCA	-0.859
SEC14L1	-0.559333333333333
CHFR	0.092
EMILIN1	1.393875
NDUFS4	-1.39925
COL18A1	0.756625
PDZD3	-0.3839
C9orf16	0.8005
ERBB2IP	-0.1395
EMX2	4.076
FUS	-2.46025
TF	-4.3755
CLCN4	-0.965166666666667
CXorf56	-0.31725
C11orf72	-0.35925
ELAC2	-1.07241666666667
NPR1	-0.25125
ASS1	0.5125
USP42	-0.129875
POLR2J	-0.42
SEC23IP	-0.4615
UQCRC1	-0.1165
LOC729603	-0.43125
C1orf71	-0.434375
POLG	-2.068
ADAM23	-2.90475
TFR2	-0.98
RICTOR	-1.1978
MGC39606	0.36725
C19orf55	-0.19525
SNAPC1	-1.91933333333333
GNA11	1.156625
CCDC52	0.155333333333333
FSIP1	1.3915
UPF3A	-0.15575
IGSF11	-2.2545
LAGE3	0.719
CHST6	-0.264
UNC13B	1.48825
TTLL4	-1.186875
ZNF687	1.60975
SDC2	-0.2009
COX7A2	-0.471
LAMB4	-0.215
FAM24A	0.062
LRRTM3	-0.729166666666667
