Hybridization REF	TCGA-AO-A0JI-01A-21R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.426333333333333
CREB3L1	-0.41575
RPS11	0.838875
PNMA1	1.57475
MMP2	-1.471
C10orf90	-1.55
ZHX3	0.612833333333333
ERCC5	-0.83925
GPR98	-2.807
RXFP3	-0.1465
APBB2	1.716
PRO0478	-1.095
KLHL13	-0.505
PRSSL1	-0.918666666666667
PDCL3	1.78633333333333
DECR1	0.61375
SALL1	-2.401
CADM4	-0.0845
RPS18	0.488214285714286
HNRPD	0.0175
CFHR5	1.22166666666667
SLC10A7	0.608625
OR2K2	0.255
LMAN1	0.2235
SUHW1	-2.7105
CHD8	-0.3725
SUMO1	0.2715
GP1BA	1.08033333333333
DDB1	-0.8555
MYO9B	-1.1187
MMP7	2.96625
CRNKL1	2.108375
C9orf45	-2.00383333333333
XAB2	-0.091
RTN1	0.698375
KLHL14	-1.00871428571429
TBX10	-1.679
CENPQ	-0.21375
UTY	-1.0215
ZBTB12	0.2805
DTNBP1	0.1685
KBTBD8	-1.02633333333333
ZEB1	-0.760333333333333
ZG16	-2.1155
MIER1	-0.1221
ADAM5P	0.287
CHD9	-0.8564375
STK16	0.4205
KIAA1486	-1.087
TOB2	0.270416666666667
BANK1	3.72175
OR2V2	0.41425
GRM2	-0.404833333333333
PROSC	2.682625
SPIN2B	1.20875
PIR	-1.07133333333333
IPO9	-0.9072
EVC	-0.507
CXCL13	5.06
KIAA1199	-2.4586
SORL1	-0.07775
NAT10	-1.27825
CHD1	-0.1595
SYN3	0.04925
SLC22A2	-2.18866666666667
SERPINF1	-1.80366666666667
WDR34	-1.4845
OR7A17	0.067
C9orf11	-0.246
RNF216L	-0.8271
LHB	0.51
STK25	-2.089125
TAOK3	0.7105
LOC152573	-2.76325
C3orf39	0.807875
C14orf108	1.0529
CDC25B	-1.52054545454545
BMP3	1.041
TMEM180	-0.8595
MAP1LC3C	-0.25025
CRYGC	-0.918
POU3F1	-1.3577
C20orf32	-2.212
CCDC95	-1.149
HIGD1B	4.6635
USP6NL	-0.87475
ABCD4	0.086
DIMT1L	-0.0114166666666667
TEK	1.164625
SLC25A46	0.0865
LARP7	-0.6524
CD160	-0.200833333333333
MT1JP	-1.51566666666667
PHF20	-0.1331875
CPNE4	-2.576
GTPBP1	-0.598571428571429
RAB33B	0.697666666666667
ALDOC	-2.1145
ZNF212	-0.38425
NUDT1	-0.156
RFPL2	-1.261
ZNF83	0.840833333333333
GDPD5	-2.680125
PDCD4	3.34021052631579
CEP350	-0.51025
OR10A2	-0.0942500000000001
CST7	0.7315
CIAO1	-1.107
SELL	1.97725
OR8J3	0.914
LTBP4	-1.77066666666667
SIRT6	-1.32425
CCL19	5.83325
PPIL1	0.223333333333333
GBP7	-0.265
STK17A	-1.4386
ABR	0.62775
OR9G1	0.3725
FOXE1	-1.102
CNGA3	2.4525
GML	-0.349
CD38	-1.893
ZDHHC6	0.388
NEFH	-2.7915
CTDSP2	-0.624583333333333
PGBD5	-0.0611666666666667
CCNY	-0.510214285714286
RMND5B	0.0369166666666667
ZNF257	-0.94975
FLJ22167	-0.189
EXOSC7	0.0413333333333333
ROR2	0.335375
MAOA	2.73725
TNNT3	0.331666666666667
GYPC	-1.81275
C7orf33	-0.0445
PLIN	2.55216666666667
LOC90826	1.1655
RNF4	-0.2801
F8A1	0.213166666666667
PLEKHG4	-3.44775
GRB2	-0.1819
HIST1H2AD	2.7745
DUS3L	-1.65383333333333
EIF1	0.0841666666666667
RP5-1077B9.4	-1.92866666666667
FPGT	1.9215
GDF10	1.08633333333333
COQ9	-0.748
GCC2	1.20814285714286
RARRES3	3.5455
PLXNA1	-1.1177
KIAA0100	-0.0434
PMF1	-0.90775
