Hybridization REF	TCGA-A8-A08O-01A-21R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.481583333333333
CREB3L1	0.88775
RPS11	0.552125
PNMA1	0.4415
MMP2	0.822333333333333
C10orf90	-2.13025
ZHX3	-0.0106666666666667
ERCC5	-0.3145
GPR98	1.11625
RXFP3	0.2835
APBB2	1.67225
PRO0478	-0.82275
KLHL13	-1.24675
PRSSL1	-0.176
PDCL3	0.144666666666667
DECR1	-0.300125
SALL1	-2.3605
CADM4	0.677
RPS18	-0.324714285714286
HNRPD	-0.377833333333333
CFHR5	1.05816666666667
SLC10A7	0.136375
OR2K2	-0.463
LMAN1	-0.545375
SUHW1	-3.57325
CHD8	-0.7666
SUMO1	0.1341
GP1BA	0.1451
DDB1	0.353333333333333
MYO9B	-0.2343
MMP7	6.86225
CRNKL1	0.081
C9orf45	-0.0508333333333333
XAB2	0.065875
RTN1	2.608875
KLHL14	-1.342375
TBX10	-0.939
CENPQ	-0.71025
UTY	-1.59228571428571
ZBTB12	-0.0505
DTNBP1	0.452625
KBTBD8	-1.73183333333333
ZEB1	0.234833333333333
ZG16	-1.664
MIER1	0.4317
ADAM5P	-0.208
CHD9	-0.5414375
STK16	1.05225
KIAA1486	-0.5255
TOB2	0.627333333333333
BANK1	2.5835
OR2V2	-0.00875
GRM2	-0.0651666666666667
PROSC	0.548875
SPIN2B	0.8655
PIR	-2.07211111111111
IPO9	-0.5971
EVC	1.07333333333333
CXCL13	2.93033333333333
KIAA1199	-1.3586
SORL1	0.97675
NAT10	0.05125
CHD1	0.22675
SYN3	-0.94825
SLC22A2	-0.4855
SERPINF1	0.981166666666667
WDR34	-0.34875
OR7A17	0.39575
C9orf11	0.119
RNF216L	-0.5552
LHB	-0.103
STK25	0.2345
TAOK3	1.354875
LOC152573	-3.65775
C3orf39	0.148625
C14orf108	0.5431
CDC25B	-1.99463636363636
BMP3	0.89
TMEM180	-0.2
MAP1LC3C	0.3095
CRYGC	-0.791
POU3F1	-1.5111
C20orf32	-1.8385
CCDC95	-0.2375
HIGD1B	4.13675
USP6NL	-0.10725
ABCD4	-0.322166666666667
DIMT1L	-0.486833333333333
TEK	0.909
SLC25A46	-0.32
LARP7	-1.3035
CD160	0.767333333333334
MT1JP	-0.236
PHF20	0.0709375
CPNE4	-1.5835
GTPBP1	-0.686428571428571
RAB33B	1.37783333333333
ALDOC	-2.5515
ZNF212	0.28475
NUDT1	-1.0605
RFPL2	-0.68325
ZNF83	0.8485
GDPD5	-1.139375
PDCD4	1.1494
CEP350	-0.0115
OR10A2	0.0275
CST7	-0.56475
CIAO1	-0.838
SELL	0.2095
OR8J3	1.0495
LTBP4	0.0726666666666667
SIRT6	-0.42825
CCL19	4.054
PPIL1	-0.668666666666667
GBP7	0.190333333333333
STK17A	-0.7982
ABR	0.25625
OR9G1	0.3625
FOXE1	-0.99675
CNGA3	0.107
GML	0.2015
CD38	-2.78275
ZDHHC6	-0.475666666666667
NEFH	-1.41575
CTDSP2	1.288
PGBD5	-1.65783333333333
CCNY	0.353714285714286
RMND5B	0.8615
ZNF257	-1.741
FLJ22167	-0.463
EXOSC7	-0.657333333333333
ROR2	1.532875
MAOA	1.271
TNNT3	1.53216666666667
GYPC	-1.19
C7orf33	0.9255
PLIN	3.9275
LOC90826	-0.20375
RNF4	0.327
F8A1	0.753
PLEKHG4	-1.399
GRB2	0.4081
HIST1H2AD	0.40975
DUS3L	-0.923333333333333
EIF1	0.1005
RP5-1077B9.4	-0.756833333333333
FPGT	1.51775
GDF10	0.843166666666667
COQ9	-0.63575
GCC2	-0.0704285714285714
RARRES3	2.251625
PLXNA1	-0.1463
KIAA0100	0.6978
PMF1	0.0125
FNDC1	5.11525
HS2ST1	-0.0900833333333333
CRELD2	-0.20525
C8G	-2.2355
CD82	0.3185
LIM2	-1.1025
UNQ6490	-1.264
MMP16	0.34125
DRD3	-0.22525
C5orf26	-0.52125
C11orf73	-0.789625
PTP4A2	1.35475
OR4M2	0.1435
HPCA	-1.3215
SEC14L1	-1.299
CHFR	0.05825
EMILIN1	1.415625
NDUFS4	-0.20725
COL18A1	1.091875
PDZD3	0.0418
C9orf16	-0.3815
ERBB2IP	0.522666666666667
EMX2	3.4205
FUS	-0.7835
TF	-3.6467
CLCN4	-0.602333333333333
CXorf56	0.3625
C11orf72	0.6495
ELAC2	-0.599583333333333
NPR1	-0.3705
ASS1	-2.56066666666667
USP42	0.1745
POLR2J	-0.4575
SEC23IP	-0.00349999999999998
UQCRC1	0.188
LOC729603	-0.91175
C1orf71	-0.3095
POLG	-1.761
ADAM23	-2.8265
TFR2	-1.353
RICTOR	-0.7558
MGC39606	0.599
C19orf55	0.192
SNAPC1	-1.695
GNA11	0.62375
CCDC52	0.482833333333333
FSIP1	6.4525
UPF3A	0.069
IGSF11	-2.78383333333333
LAGE3	-0.10075
CHST6	-1.8795
UNC13B	0.64275
TTLL4	-1.38875
ZNF687	0.073125
SDC2	-0.2525
COX7A2	-0.65375
LAMB4	0.1165
FAM24A	-0.026
LRRTM3	-0.876
GPHB5	-0.29425
OR4C13	-0.4855
EIF3EIP	-0.229428571428571
HABP4	-0.7165
TMEM125	3.678
CNTN2	-0.37775
ASNSD1	-0.66725
FUT4	-0.542625
ACF	-3.6495
LOC158381	0.501
CDH8	-0.41625
AGPS	-0.758
C4orf18	3.52475
PECI	-0.189166666666667
UNG	-0.333125
GSTP1	-1.855875
DCUN1D5	-1.697
DKFZP564J0863	-0.92525
SLC9A3R1	1.482375
BCDO2	-0.694125
CHMP7	0.019625
REM2	-0.4355
DNHD1	-0.061375
FKBP4	1.017
ZNF350	2.56675
MGC11102	0.362125
BST1	1.21375
KISS1R	0.496
NCR2	0.565
DEFB125	-1.6275
UBE2W	0.940625
KRT15	4.26525
C10orf99	0.3355
SCN11A	0.016875
GFI1	-3.0325
RDHE2	3.29766666666667
FHL1	-0.776
OSGEP	-0.64
GATA1	-3.54166666666667
SMC6	-1.3815
TTTY14	-1.1875
LPIN3	0.0155
RPL4	-0.4154
RBPMS	0.7837
PRPF3	-0.779666666666667
EMR1	-2.4265
SPATA19	-0.1555
XCR1	0.7215
IRX3	2.5213
RBM6	-0.0765
KLF4	-1.1805
UNC5CL	1.26725
SEBOX	-0.1215
BTK	-1.131
KRCC1	1.66275
C6orf27	0.8345
SYTL5	1.036
PRND	2.521125
LOC653319	-1.189
PIGL	-1.327125
HUS1	-0.350333333333333
SFRS6	0.667416666666667
C17orf77	0.503
UIMC1	-0.0295
FXYD2	-1.9202
LOC283152	0.43
ZNF667	-0.57525
ZCCHC12	-0.58525
TFEC	1.4754
ATP7B	0.444
POLD2	-0.853333333333333
RG9MTD1	0.0975
ACOT2	-0.233333333333333
HIST1H4I	-1.467875
PPARGC1A	-1.6727
ETFA	-0.8106
POLRMT	-0.67525
ZNF146	0.9455
MIA2	-2.294
KLHL6	-1.52066666666667
HOXB5	-1.059375
NENF	0.141333333333333
CUGBP1	-0.2405
PRSS22	1.62933333333333
CASC4	0.8772
CUL4B	0.0178
CENPJ	-1.102
PITX1	-0.058
FLJ31033	0.486833333333333
CELSR3	-1.45833333333333
ZNF568	0.9305
ITSN1	-0.343083333333333
EHBP1L1	-0.5095
C19orf2	-0.3065
DCTN1	0.7805
LIN28B	-2.92866666666667
TNKS2	0.5925
C1QBP	-0.852375
CADPS2	1.60825
SRMS	0.54625
GJA9	0.242666666666667
MGC24975	-1.51616666666667
TRIM45	1.189
TSP50	0.651
TCP1	-1.105
TMED7	0.3826
CMA1	1.2545
CENPL	-1.39316666666667
PTCRA	0.078
FST	-2.55625
VWCE	-4.021
PAWR	0.27525
ABCC12	-0.198
LDLR	-1.8936
ASTN2	0.8532
LOC441212	-0.7005
GPATCH8	-0.12775
TANC2	0.84925
KIF4A	-1.76625
C18orf18	-1.08525
PGM1	-0.68425
KIAA0258	0.76625
CPD	1.11725
SNCAIP	-0.67
DCT	-4.284
HLA-DOA	1.78436363636364
OR11L1	0.399
UPK1B	-0.426833333333333
DNAJB4	-0.092
UGT1A8	-0.199
HIST1H4L	-2.0645
PECR	-1.718
HSPA2	2.50125
WFIKKN1	-1.8115
SERP1	0.285125
SYDE2	1.5115
TACR2	1.342
NUP85	-0.67875
CD177	-0.365833333333333
LGR5	-1.248
PIGG	0.565583333333333
PTHR1	-0.598666666666667
RAB5A	0.2809
FLJ13224	-0.019
USP9Y	-1.63016666666667
C7orf53	-0.1415
LRP1B	-0.4845
XAF1	0.8865
ABCG8	-0.394
ANKDD1A	-0.497666666666667
DAND5	-1.43
SPAG6	-0.139666666666667
LINCR	0.8865
ZDHHC22	-1.269125
CCDC60	0.39
THOC7	-2.00283333333333
TCTA	0.8768
OR8K3	0.108
NY-REN-7	-0.975
B2M	0.443333333333333
C6orf141	-0.288625
LPPR4	1.1335
SQLE	-1.2945
SEPHS1	-0.54825
BTBD14B	0.695928571428571
PLRG1	-0.36075
SPG7	-0.290875
ZNF614	0.195833333333333
PARD6G	1.03716666666667
INPP5B	-0.7582
GRPEL2	-0.32825
PPID	-0.1916
TRIM56	0.10175
UBE2J1	-0.670125
IL20RA	2.24125
LOC387856	1.49475
C1orf107	0.925833333333333
UTS2R	0.50075
C19orf22	-0.1545
SAFB2	-0.421875
KIAA0652	0.471
KLRG1	-0.836
MS4A8B	3.68783333333333
FRAG1	0.71525
KIAA1546	-0.0705
E2F4	-1.3235
CLEC4M	0.152666666666667
BTBD14A	-1.0985
KIAA0999	0.9349
GYPA	-3.75216666666667
TAC1	2.6721
TRAIP	-1.2865
KIAA0232	1.707
ERCC8	-1.23525
GPX4	0.19275
KIAA0368	0.496125
GPR157	-1.04766666666667
CTAGE4	2.083
C9orf30	-1.05666666666667
OR52A1	0.0605
HSP90B3P	-0.654
ALG9	-0.6049
BTBD10	0.8845
SDK2	-0.54
BAIAP3	-1.5785
RABGGTB	-0.24625
ANKRD40	0.831833333333333
KRT74	0.3165
CALCOCO2	0.458857142857143
SNCA	-2.877
TMSL8	-3.441
C2orf53	0.394
ESRRB	-0.4465
ARHGAP26	-2.082125
TDRD9	-2.78575
HRAS	0.272333333333333
KLRC4	-2.1635
JAGN1	-0.4505
BSDC1	0.902
RNF43	0.4764
NDUFAF1	0.85025
PHF12	0.57675
OR1L3	-0.0925
FOLR2	1.72883333333333
LYZL6	-0.0161666666666667
tcag7.1260	-2.0705
WSB1	-1.81683333333333
PROS1	-0.3871
OSTN	0.5345
PSMB8	0.1635
SOCS4	-0.06975
DDIT4L	1.094
MAS1	-0.338
MGC34796	1.89475
CSHL1	0.474166666666667
TBCCD1	-0.0553333333333333
ZBTB7C	0.332
AP2S1	-0.126
P15RS	0.2159
VAT1	-0.1222
SHANK3	0.556833333333333
TUFM	0.132
THEG	0.3705
KRT34	-1.6755
SGSM3	0.011375
TOMM22	-0.35925
SOCS3	1.11966666666667
CPO	0.8905
POP4	0.91325
BHLHB3	1.31225
MALL	0.855
OR1B1	0.417
PARK2	0.350666666666667
GPR124	1.25025
LCE1E	0.621
RUVBL2	0.06625
CGRRF1	-0.0181
ACPL2	0.3085
WNT10B	-2.509625
BAIAP2L2	-2.032
ISCA1	0.289
C1orf125	0.466714285714286
RPAP1	-0.50025
RAI16	-0.0268333333333333
RPL27	-0.683625
NLRP9	0.1255
EPN1	0.7295
LOC388610	-2.22725
SLC35A1	0.2595
GAL	-4.34725
SLC14A2	0.02075
RDH11	-0.7235
FAM138F	-0.6495
AUH	0.22175
FLJ40243	-0.3975
C14orf129	0.0415
MBD2	-0.0334999999999999
ABHD14B	0.334875
PIGT	0.860875
ALS2CR4	-0.615375
ALAS1	-0.2446
FOXO1	1.001
CRLF3	-0.373
C20orf107	-0.7605
FARS2	1.129
CCDC28A	0.00325
NPHP3	-1.2255
OR13F1	0.474
TSEN54	-0.818
DEFB106B	0.3605
OR8B4	0.252
STH	2.3855
ZC3H14	-0.010375
CBX2	-0.4735
TMEM49	-0.16725
C6orf21	0.615
FLJ20920	1.243125
CRTAP	-0.0324285714285714
DDX50	0.21925
STYXL1	1.099
