Hybridization REF	TCGA-A8-A0AD-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.7
CREB3L1	1.9115
RPS11	0.226
PNMA1	0.2045
MMP2	1.34866666666667
C10orf90	-1.50625
ZHX3	0.186833333333333
ERCC5	-0.40025
GPR98	0.38525
RXFP3	0.4755
APBB2	1.59875
PRO0478	-0.97275
KLHL13	-3.1655
PRSSL1	-1.00166666666667
PDCL3	-0.299833333333333
DECR1	-0.082625
SALL1	-2.43216666666667
CADM4	1.73716666666667
RPS18	0.533285714285714
HNRPD	-0.703166666666667
CFHR5	0.179333333333333
SLC10A7	0.1885
OR2K2	0.85
LMAN1	-0.3195
SUHW1	-4.039
CHD8	-0.2789
SUMO1	0.5011
GP1BA	-0.4419
DDB1	-0.0586666666666667
MYO9B	0.415
MMP7	3.8615
CRNKL1	1.048
C9orf45	-0.821833333333333
XAB2	0.541875
RTN1	2.833375
KLHL14	-1.815125
TBX10	-1.1705
CENPQ	-1.39225
UTY	-1.02271428571429
ZBTB12	-0.2635
DTNBP1	-0.141625
KBTBD8	-0.415333333333333
ZEB1	1.72916666666667
ZG16	-1.46775
MIER1	1.0609
ADAM5P	0.232
CHD9	0.00868749999999997
STK16	1.61375
KIAA1486	-0.76
TOB2	0.757666666666667
BANK1	2.19875
OR2V2	0.2205
GRM2	-0.293666666666667
PROSC	0.5115
SPIN2B	-0.09625
PIR	-1.829
IPO9	-0.3257
EVC	1.09633333333333
CXCL13	1.78366666666667
KIAA1199	0.3425
SORL1	2.454
NAT10	-0.424
CHD1	0.11425
SYN3	-0.096
SLC22A2	-0.64725
SERPINF1	1.167
WDR34	-0.16625
OR7A17	0.5235
C9orf11	-0.804
RNF216L	-0.3006
LHB	-0.08
STK25	-0.284125
TAOK3	0.55325
LOC152573	-4.09275
C3orf39	0.91925
C14orf108	0.1816
CDC25B	-1.53909090909091
BMP3	0.2745
TMEM180	0.257
MAP1LC3C	0.44825
CRYGC	-1.0975
POU3F1	-1.5262
C20orf32	-1.1245
CCDC95	-0.393
HIGD1B	4.215
