Hybridization REF	TCGA-BH-A0BM-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.309416666666667
CREB3L1	2.61275
RPS11	1.04275
PNMA1	-0.634
MMP2	0.478333333333333
C10orf90	-0.937
ZHX3	-0.4665
ERCC5	0.53825
GPR98	-1.32175
RXFP3	0.5965
APBB2	1.525
PRO0478	-0.695
KLHL13	-0.26875
PRSSL1	-0.4895
PDCL3	0.137666666666667
DECR1	-0.54
SALL1	-3.28183333333333
CADM4	0.414666666666667
RPS18	1.03635714285714
HNRPD	-0.471166666666667
CFHR5	0.1908
SLC10A7	0.104625
OR2K2	0.4485
LMAN1	-1.54525
SUHW1	-3.11125
CHD8	-0.0964
SUMO1	0.7764
GP1BA	0.6843
DDB1	-0.123
MYO9B	-0.6089
MMP7	7.535
CRNKL1	0.235875
C9orf45	-1.17566666666667
XAB2	-0.07925
RTN1	1.265125
KLHL14	-1.44528571428571
TBX10	-0.8975
CENPQ	-2.2215
UTY	-1.25185714285714
ZBTB12	0.4735
DTNBP1	0.03
KBTBD8	-1.40116666666667
ZEB1	0.507
ZG16	-2.07725
MIER1	1.0387
ADAM5P	0.9355
CHD9	-0.2106875
STK16	-0.17225
KIAA1486	-0.4135
TOB2	1.488
BANK1	3.69025
OR2V2	-0.0605
GRM2	0.1575
PROSC	0.5285
SPIN2B	-0.00375
PIR	-2.19777777777778
IPO9	-0.9905
EVC	1.1725
CXCL13	3.40766666666667
KIAA1199	-0.7349
SORL1	2.923
NAT10	-0.7645
CHD1	-0.44925
SYN3	-0.75325
SLC22A2	-0.923
SERPINF1	1.18716666666667
WDR34	-0.5455
OR7A17	-0.071
C9orf11	-0.3665
RNF216L	-0.1511
LHB	0.0545
STK25	-0.834
TAOK3	0.782875
LOC152573	-2.471
C3orf39	0.676375
C14orf108	-0.0223
CDC25B	-2.60327272727273
BMP3	0.1905
TMEM180	-0.492
MAP1LC3C	0.91475
CRYGC	-1.1815
POU3F1	-1.3492
C20orf32	-1.2515
CCDC95	-0.2225
HIGD1B	5.02975
USP6NL	0.0935
ABCD4	-0.0533333333333333
DIMT1L	-0.997916666666667
TEK	1.536125
SLC25A46	-0.646
LARP7	-1.1399
CD160	0.687
MT1JP	-0.39
PHF20	-0.04275
CPNE4	-2.00025
GTPBP1	-0.140571428571429
RAB33B	1.46016666666667
ALDOC	-1.947625
ZNF212	-0.0935
NUDT1	-1.39583333333333
RFPL2	-0.38125
ZNF83	-0.346833333333333
GDPD5	0.548375
PDCD4	2.27285
CEP350	0.2935
OR10A2	0.63475
CST7	-0.3805
CIAO1	-0.903
SELL	0.78875
OR8J3	-0.909
LTBP4	0.485166666666667
SIRT6	0.17825
CCL19	5.73975
PPIL1	-1.50033333333333
GBP7	0.4354
STK17A	-0.793
ABR	0.21325
OR9G1	0.165
FOXE1	-0.496125
CNGA3	0.312
GML	0.229
CD38	-2.2885
ZDHHC6	0.297666666666667
NEFH	-1.18575
CTDSP2	0.849833333333333
PGBD5	-1.6305
CCNY	0.338
RMND5B	0.425416666666667
ZNF257	-1.50525
FLJ22167	-0.686625
EXOSC7	-0.713166666666667
ROR2	0.783625
MAOA	2.161625
TNNT3	1.69883333333333
GYPC	-0.3775
C7orf33	1.279
PLIN	5.35716666666667
LOC90826	-0.64175
RNF4	-0.4856
F8A1	0.397666666666667
PLEKHG4	-1.38825
GRB2	-0.2432
HIST1H2AD	1.29525
DUS3L	-0.9665
EIF1	0.000999999999999987
RP5-1077B9.4	-1.0885
FPGT	1.9835
GDF10	1.73666666666667
COQ9	-0.9185
GCC2	0.430285714285714
RARRES3	3.575625
PLXNA1	-0.5372
KIAA0100	-0.3736
PMF1	0.1295
FNDC1	5.661
HS2ST1	0.377833333333333
CRELD2	0.5875
C8G	-1.84
CD82	1.50525
LIM2	-1.1995
UNQ6490	0.067
MMP16	0.2415
DRD3	-0.1705
C5orf26	0.2615
C11orf73	-0.994875
PTP4A2	1.84
OR4M2	0.74
HPCA	-1.59133333333333
SEC14L1	-0.742833333333333
CHFR	-0.608875
EMILIN1	0.98975
NDUFS4	-0.655
COL18A1	0.038125
PDZD3	-0.3462
C9orf16	0.203166666666667
ERBB2IP	0.8275
EMX2	3.45525
FUS	-1.15
