Hybridization REF	TCGA-AO-A0JB-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.755583333333333
CREB3L1	1.917
RPS11	1.447875
PNMA1	-1.021
MMP2	0.0811666666666667
C10orf90	-2.349
ZHX3	0.195666666666667
ERCC5	1.94175
GPR98	-2.29233333333333
RXFP3	1.94
APBB2	0.56975
PRO0478	0.33575
KLHL13	-0.6735
PRSSL1	-0.2575
PDCL3	-0.632166666666667
DECR1	-1.174375
SALL1	-2.0865
CADM4	-0.278
RPS18	1.35607142857143
HNRPD	-1.22633333333333
CFHR5	0.775
SLC10A7	-0.236428571428571
OR2K2	1.662
LMAN1	-1.660375
SUHW1	-4.60975
CHD8	0.5162
SUMO1	1.3596
GP1BA	0.5658
DDB1	-0.322833333333333
MYO9B	0.1079
MMP7	7.28125
CRNKL1	-0.465625
C9orf45	-1.74783333333333
XAB2	-0.202375
RTN1	2.24616666666667
KLHL14	-1.160875
TBX10	0.2825
CENPQ	-2.1695
UTY	-0.467857142857143
ZBTB12	-1.582
DTNBP1	0.120625
KBTBD8	-1.903
ZEB1	0.1625
ZG16	-1.47725
MIER1	0.4107
ADAM5P	1.913
CHD9	0.294533333333333
STK16	-0.28175
KIAA1486	0.249
TOB2	1.49658333333333
BANK1	0.179
OR2V2	-1.3125
GRM2	0.601
PROSC	0.119875
SPIN2B	-0.77925
PIR	-1.721
IPO9	-0.1521
EVC	-0.169833333333333
CXCL13	4.178
KIAA1199	-3.50744444444444
SORL1	1.5
NAT10	-0.88275
CHD1	-0.8335
SYN3	0.08575
SLC22A2	-0.847
SERPINF1	0.417
WDR34	0.57125
OR7A17	0.6985
C9orf11	-0.456
RNF216L	0.9443
LHB	1.1795
STK25	-1.0325
TAOK3	-0.33725
LOC152573	-3.012
C3orf39	-0.36025
C14orf108	-1.0177
CDC25B	-1.378
BMP3	0.0595
TMEM180	-0.5775
MAP1LC3C	-0.0533333333333333
CRYGC	0.618
POU3F1	-0.368444444444444
C20orf32	-1.2165
CCDC95	0.3215
HIGD1B	2.97575
USP6NL	-0.592625
ABCD4	0.0865
DIMT1L	-1.01058333333333
TEK	1.532
SLC25A46	-1.9585
LARP7	-0.6165
CD160	0.421666666666667
MT1JP	0.457333333333333
PHF20	-0.2644375
CPNE4	-1.70125
GTPBP1	-0.170071428571429
RAB33B	0.914166666666667
ALDOC	-0.902
ZNF212	0.27525
NUDT1	-0.7075
RFPL2	-1.362
ZNF83	-0.414833333333333
GDPD5	-1.18525
PDCD4	1.495
CEP350	-0.37025
OR10A2	0.271
CST7	-0.74075
CIAO1	-0.48775
SELL	0.275285714285714
OR8J3	0.788
LTBP4	1.44366666666667
SIRT6	0.275
CCL19	7.00475
PPIL1	-1.7445
GBP7	-0.2936
STK17A	-0.808
ABR	0.159
OR9G1	0.884
FOXE1	-0.13925
CNGA3	-2.085
GML	0.646
CD38	-2.08225
ZDHHC6	-0.476833333333333
NEFH	3.32125
CTDSP2	0.247833333333333
PGBD5	-1.823
CCNY	0.577
RMND5B	-0.169416666666667
ZNF257	0.00149999999999995
FLJ22167	-0.3845
EXOSC7	-0.9035
ROR2	-0.900375
MAOA	0.112125
TNNT3	0.2915
GYPC	-0.23475
C7orf33	1.4145
PLIN	0.868666666666667
LOC90826	-1.68675
RNF4	-1.6679
F8A1	0.0398333333333333
PLEKHG4	-1.4705
GRB2	0.02515
HIST1H2AD	1.36775
DUS3L	-0.419833333333333
EIF1	-1.0925
RP5-1077B9.4	-0.1345
FPGT	0.16
GDF10	-0.261333333333333
COQ9	-0.6435
GCC2	-0.0765
RARRES3	2.13625
PLXNA1	-0.5574
KIAA0100	-0.7717
PMF1	-0.2905
FNDC1	3.19075
HS2ST1	0.3765
CRELD2	0.637
C8G	-0.2745
CD82	1.091
LIM2	-1.62
UNQ6490	-0.779
MMP16	-0.0175
DRD3	0.401
C5orf26	-0.1975
C11orf73	-1.6165
PTP4A2	0.843875
OR4M2	0.8625
