Hybridization REF	TCGA-AO-A0JM-01A-21R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.765666666666667
CREB3L1	1.9795
RPS11	-0.26975
PNMA1	0.81575
MMP2	0.951833333333333
C10orf90	-2.41725
ZHX3	-0.368333333333333
ERCC5	-0.36125
GPR98	0.290125
RXFP3	0.6805
APBB2	1.986
PRO0478	-1.133
KLHL13	-0.33225
PRSSL1	-0.894
PDCL3	0.442666666666667
DECR1	-0.032125
SALL1	-3.68166666666667
CADM4	0.592166666666667
RPS18	-0.0708571428571429
HNRPD	-0.720166666666667
CFHR5	0.82625
SLC10A7	-0.31675
OR2K2	-0.282
LMAN1	0.211375
SUHW1	-4.534
CHD8	0.6823
SUMO1	0.0543
GP1BA	0.117
DDB1	0.625166666666667
MYO9B	0.0364
MMP7	5.8375
CRNKL1	0.706625
C9orf45	-2.62583333333333
XAB2	0.178625
RTN1	2.3005
KLHL14	-1.921625
TBX10	0.5075
CENPQ	-0.916
UTY	-1.58516666666667
ZBTB12	-0.5305
DTNBP1	-0.651875
KBTBD8	-1.72816666666667
ZEB1	1.614
ZG16	-0.09825
MIER1	0.8159
ADAM5P	-0.465
CHD9	0.141875
STK16	1.7655
KIAA1486	-1.2485
TOB2	1.07183333333333
BANK1	2.32875
OR2V2	0.17075
GRM2	0.192666666666667
PROSC	0.31675
SPIN2B	-0.29775
PIR	-1.529
IPO9	0.0936
EVC	1.20966666666667
CXCL13	5.25216666666667
KIAA1199	-0.2625
SORL1	1.24775
NAT10	-0.87075
CHD1	-0.67975
SYN3	-0.8745
SLC22A2	0.452
SERPINF1	1.579
WDR34	0.671
OR7A17	0.455
C9orf11	-0.2455
RNF216L	-0.5183
LHB	-0.151
STK25	-0.411625
TAOK3	0.530375
LOC152573	-3.31925
C3orf39	-0.286125
C14orf108	0.8457
CDC25B	-0.873727272727273
BMP3	0.4935
TMEM180	0.1995
MAP1LC3C	-0.23775
CRYGC	-0.513
POU3F1	-1.1762
C20orf32	-1.7265
CCDC95	-0.446
HIGD1B	3.80625
USP6NL	-0.59575
ABCD4	-0.455
DIMT1L	-1.24333333333333
TEK	1.248375
SLC25A46	-0.044
LARP7	-1.3071
CD160	1.29183333333333
MT1JP	-1.6175
PHF20	0.16975
CPNE4	-1.07933333333333
GTPBP1	-0.535071428571429
RAB33B	1.04866666666667
ALDOC	-2.31775
ZNF212	-1.117
NUDT1	-0.577833333333333
RFPL2	-0.19925
ZNF83	-0.456833333333333
GDPD5	-0.02275
PDCD4	-0.2161
CEP350	-0.005
OR10A2	0.178
CST7	0.472
CIAO1	-0.78975
SELL	1.62575
OR8J3	0.3615
LTBP4	-0.270833333333333
SIRT6	-0.02175
CCL19	3.9195
PPIL1	0.199
GBP7	0.269666666666667
STK17A	-0.1515
ABR	-0.18875
OR9G1	0.8275
FOXE1	-1.034
CNGA3	0.546
GML	0.651
CD38	-2.907
ZDHHC6	-0.0545
NEFH	-2.29375
CTDSP2	0.01075
PGBD5	-1.9735
CCNY	0.500428571428571
RMND5B	1.10491666666667
ZNF257	-3.18525
FLJ22167	-0.62275
EXOSC7	-0.9055
ROR2	1.815125
MAOA	-2.32975
TNNT3	4.95066666666667
GYPC	-1.1485
C7orf33	-0.195
PLIN	1.7675
LOC90826	-0.557
RNF4	-0.8173
F8A1	-0.0455
PLEKHG4	-2.67475
GRB2	2.26695
HIST1H2AD	0.87025
DUS3L	-1.078
EIF1	-0.0713333333333333
RP5-1077B9.4	-1.23483333333333
FPGT	0.94025
GDF10	-0.482
COQ9	0.02125
GCC2	-0.5865
RARRES3	3.291125
PLXNA1	-0.8869
KIAA0100	-0.1566
PMF1	0.0985
FNDC1	5.5905
