Hybridization REF	TCGA-BH-A0AW-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0783333333333333
CREB3L1	1.72
RPS11	0.971875
PNMA1	-0.21925
MMP2	0.505
C10orf90	-2.5015
ZHX3	-0.0595
ERCC5	-0.1055
GPR98	-0.1555
RXFP3	1.3965
APBB2	0.7305
PRO0478	-1.224
KLHL13	0.71325
PRSSL1	-0.265333333333333
PDCL3	0.588166666666667
DECR1	0.77
SALL1	-4.17316666666667
CADM4	2.33233333333333
RPS18	0.685785714285714
HNRPD	-1.08458333333333
CFHR5	0.472166666666667
SLC10A7	0.09525
OR2K2	-0.5155
LMAN1	-1.147875
SUHW1	-4.006
CHD8	-0.3382
SUMO1	0.821
GP1BA	2.8718
DDB1	-0.0256666666666667
MYO9B	-0.0341
MMP7	7.28425
CRNKL1	0.95975
C9orf45	-1.88966666666667
XAB2	-0.12075
RTN1	1.365125
KLHL14	-1.503375
TBX10	5.2445
CENPQ	-1.5475
UTY	-1.15876923076923
ZBTB12	0.385
DTNBP1	-0.20725
KBTBD8	-0.615333333333333
ZEB1	-0.0426666666666667
ZG16	0.772
MIER1	0.6767
ADAM5P	0.317
CHD9	-0.697875
STK16	-0.603
KIAA1486	-0.6325
TOB2	0.701583333333333
BANK1	3.9785
OR2V2	0.224
GRM2	0.318333333333333
PROSC	0.529875
SPIN2B	0.0705
PIR	-1.31477777777778
IPO9	0.0364
EVC	-0.156666666666667
CXCL13	7.6415
KIAA1199	-0.4833
SORL1	0.6685
NAT10	-0.6985
CHD1	-0.98675
SYN3	-0.425
SLC22A2	-0.622
SERPINF1	0.893833333333333
WDR34	0.4805
OR7A17	0.36225
C9orf11	-0.25
RNF216L	-0.2546
LHB	0.2395
STK25	-0.699125
TAOK3	0.41725
LOC152573	-3.092
C3orf39	0.093375
C14orf108	-0.1197
CDC25B	-0.606636363636364
BMP3	-0.1185
TMEM180	0.116
MAP1LC3C	0.2585
CRYGC	-0.36
POU3F1	-0.5627
C20orf32	-1.529
CCDC95	-0.154
HIGD1B	4.6415
USP6NL	0.04775
ABCD4	-0.785166666666667
DIMT1L	-1.24408333333333
TEK	1.808875
SLC25A46	-0.8955
LARP7	-1.7251
CD160	0.8525
MT1JP	-1.08983333333333
PHF20	0.08525
CPNE4	-1.88125
GTPBP1	-0.442357142857143
RAB33B	1.69166666666667
ALDOC	-2.50875
ZNF212	-0.645
