Hybridization REF	TCGA-BH-A0C0-01A-21R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.607166666666667
CREB3L1	0.534
RPS11	-0.2525
PNMA1	0.459
MMP2	-0.343166666666667
C10orf90	-2.19875
ZHX3	0.036
ERCC5	-0.4505
GPR98	-0.81775
RXFP3	0.671
APBB2	0.62225
PRO0478	-0.781125
KLHL13	-0.48375
PRSSL1	-0.183
PDCL3	0.655833333333333
DECR1	1.083875
SALL1	-5.04666666666667
CADM4	0.806666666666667
RPS18	-0.401857142857143
HNRPD	-0.49975
CFHR5	1.0512
SLC10A7	-0.35025
OR2K2	0.159
LMAN1	-0.291625
SUHW1	-3.823
CHD8	0.1222
SUMO1	0.2512
GP1BA	2.1257
DDB1	-0.158833333333333
MYO9B	0.4552
MMP7	4.42775
CRNKL1	0.583375
C9orf45	-0.716166666666667
XAB2	0.638
RTN1	1.940875
KLHL14	-1.505875
TBX10	-1.3525
CENPQ	-2.037
UTY	-1.64966666666667
ZBTB12	-0.173
DTNBP1	-0.6155
KBTBD8	-0.0416666666666667
ZEB1	0.1745
ZG16	-1.71775
MIER1	0.3231
ADAM5P	-0.364
CHD9	-0.7793125
STK16	0.441
KIAA1486	-0.4285
TOB2	0.965333333333333
BANK1	4.769
OR2V2	0.355
GRM2	0.0781666666666666
PROSC	0.382125
SPIN2B	-0.52175
PIR	-0.193444444444444
IPO9	0.093
EVC	-0.431
CXCL13	7.95533333333333
KIAA1199	-1.6361
SORL1	0.93075
NAT10	0.229
CHD1	-1.67075
SYN3	-0.8795
SLC22A2	-1.103
SERPINF1	-0.0578333333333333
WDR34	0.874
OR7A17	0.56725
C9orf11	0.419
RNF216L	-0.6749
LHB	-0.166
STK25	-0.52375
TAOK3	0.6715
LOC152573	-3.08475
C3orf39	0.162625
C14orf108	0.4552
CDC25B	-0.996818181818182
BMP3	-0.3185
TMEM180	0.73
MAP1LC3C	-0.334
CRYGC	-1.471
POU3F1	-1.2042
