Hybridization REF	TCGA-BH-A0HB-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.21325
CREB3L1	0.265
RPS11	0.046875
PNMA1	0.43325
MMP2	-0.266666666666667
C10orf90	-2.398
ZHX3	0.145333333333333
ERCC5	-0.34775
GPR98	0.646125
RXFP3	0.7865
APBB2	1.44725
PRO0478	-1.13975
KLHL13	-2.36525
PRSSL1	-0.828833333333333
PDCL3	0.866
DECR1	0.245125
SALL1	-4.095
CADM4	-0.211333333333333
RPS18	-0.356
HNRPD	-0.304083333333333
CFHR5	0.816666666666667
SLC10A7	0.372
OR2K2	0.32
LMAN1	-0.450125
SUHW1	-2.8535
CHD8	0.2748
SUMO1	1.1681
GP1BA	1.5657
DDB1	0.706333333333333
MYO9B	-0.4119
MMP7	7.151
CRNKL1	1.609
C9orf45	-1.69333333333333
XAB2	0.242
RTN1	1.679375
KLHL14	-1.43214285714286
TBX10	-0.8675
CENPQ	-1.763
UTY	-0.728
ZBTB12	0.067
DTNBP1	0.04575
KBTBD8	-0.8935
ZEB1	-0.14
ZG16	-0.0695
MIER1	0.6356
ADAM5P	0.329
CHD9	0.0224375
STK16	-0.2625
KIAA1486	-0.8435
TOB2	0.893333333333333
BANK1	2.6535
OR2V2	-0.52625
GRM2	-0.295166666666667
PROSC	0.3155
SPIN2B	0.30825
PIR	-1.98322222222222
IPO9	0.4127
EVC	0.187833333333333
CXCL13	5.62966666666667
KIAA1199	-2.33544444444444
SORL1	1.235
NAT10	-0.38
CHD1	0.15775
SYN3	-0.5435
SLC22A2	-1.0055
SERPINF1	0.395833333333333
WDR34	-0.0085
OR7A17	0.19075
C9orf11	-0.952
RNF216L	0.1934
LHB	0.0105
STK25	-0.73275
TAOK3	0.68275
LOC152573	-2.37225
C3orf39	0.517375
C14orf108	0.0296
CDC25B	-2.02581818181818
BMP3	-0.1075
TMEM180	-0.364
MAP1LC3C	-0.39575
CRYGC	0.3565
POU3F1	-0.806
C20orf32	-1.712
CCDC95	-0.558
HIGD1B	2.6565
USP6NL	0.2725
ABCD4	-0.386
DIMT1L	-0.936
TEK	0.35425
SLC25A46	0.0575
LARP7	-1.231
CD160	0.100833333333333
MT1JP	0.0433333333333334
PHF20	-0.1925625
CPNE4	-1.42266666666667
GTPBP1	-0.6795
RAB33B	0.315
ALDOC	-0.98775
ZNF212	-0.07
NUDT1	-0.659333333333333
RFPL2	-0.22175
ZNF83	-1.039
GDPD5	-1.008125
PDCD4	1.9554
CEP350	0.4175
OR10A2	-0.49975
CST7	1.2945
CIAO1	-0.95925
SELL	1.59783333333333
OR8J3	-0.36
LTBP4	0.109333333333333
SIRT6	0.29925
CCL19	5.43425
PPIL1	-0.726166666666667
GBP7	1.1678
STK17A	-0.6384
ABR	0.13025
OR9G1	0.874
FOXE1	-0.600875
CNGA3	0.348
GML	0.272
CD38	-1.82425
ZDHHC6	0.0896666666666667
NEFH	-2.0835
CTDSP2	0.169583333333333
PGBD5	-2.145
CCNY	0.195071428571429
RMND5B	0.440583333333333
ZNF257	-1.274
FLJ22167	-0.02625
EXOSC7	0.160666666666667
ROR2	1.26625
MAOA	-0.520125
TNNT3	0.232166666666667
GYPC	-1.405
C7orf33	0.4345
PLIN	4.1295
LOC90826	-0.2905
RNF4	0.0201
F8A1	0.274
PLEKHG4	-2.44925
GRB2	0.72495
HIST1H2AD	2.7975
DUS3L	-0.563666666666667
EIF1	-0.569333333333333
RP5-1077B9.4	-1.12016666666667
FPGT	1.30775
GDF10	-0.506
COQ9	-0.35125
GCC2	0.0592142857142857
RARRES3	2.78425
PLXNA1	-0.4578
KIAA0100	1.1168
PMF1	-0.34875
FNDC1	5.5325
HS2ST1	-0.0176666666666665
CRELD2	-0.6485
C8G	-1.703
CD82	-0.13175
LIM2	-1.054
UNQ6490	-0.0670000000000001
MMP16	-0.16575
DRD3	0.0385
C5orf26	-0.71475
C11orf73	-1.398625
PTP4A2	1.1595
OR4M2	0.2805
