Hybridization REF	TCGA-AO-A0JC-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.183916666666667
CREB3L1	-0.51575
RPS11	1.00025
PNMA1	-0.31625
MMP2	-0.436333333333333
C10orf90	-1.81025
ZHX3	-0.819666666666667
ERCC5	1.2005
GPR98	-1.640625
RXFP3	0.7775
APBB2	0.89175
PRO0478	-0.07375
KLHL13	-2.96625
PRSSL1	-0.324166666666667
PDCL3	0.119
DECR1	-0.36125
SALL1	-4.5245
CADM4	-0.528833333333333
RPS18	0.497571428571429
HNRPD	-0.42275
CFHR5	0.4212
SLC10A7	0.22025
OR2K2	0.2665
LMAN1	-1.240625
SUHW1	-3.7335
CHD8	0.3936
SUMO1	0.1932
GP1BA	4.8249
DDB1	-0.252
MYO9B	0.7554
MMP7	4.19125
CRNKL1	-0.352625
C9orf45	0.5585
XAB2	0.375125
RTN1	1.609875
KLHL14	1.122625
TBX10	-1.019
CENPQ	-2.10225
UTY	-0.828833333333333
ZBTB12	0.526
DTNBP1	1.179625
KBTBD8	2.17466666666667
ZEB1	1.70966666666667
ZG16	-1.5365
MIER1	1.135
ADAM5P	0.9415
CHD9	0.42875
STK16	0.82375
KIAA1486	-0.608
TOB2	1.00641666666667
BANK1	7.14025
OR2V2	-0.252
GRM2	0.139833333333333
PROSC	0.098375
SPIN2B	0.3575
PIR	-2.454
IPO9	-0.4602
EVC	-0.104666666666667
CXCL13	8.26983333333333
KIAA1199	-1.4805
SORL1	2.489
NAT10	-0.53175
CHD1	0.54
SYN3	-0.28175
SLC22A2	-0.111
SERPINF1	1.06166666666667
WDR34	-1.09675
OR7A17	0.1395
C9orf11	-0.523
RNF216L	0.4046
LHB	-0.221
STK25	-0.473
TAOK3	1.42775
LOC152573	-1.32575
C3orf39	-0.970375
C14orf108	0.0559
CDC25B	-0.357454545454545
BMP3	-0.3185
TMEM180	-0.4015
MAP1LC3C	2.20375
CRYGC	-1.787
POU3F1	-0.5231
C20orf32	-0.5155
CCDC95	0.008
HIGD1B	3.60675
USP6NL	0.545125
ABCD4	0.762
DIMT1L	-0.301583333333333
TEK	1.07525
SLC25A46	-0.373
LARP7	-0.899
CD160	1.4325
MT1JP	-1.13233333333333
PHF20	0.138125
CPNE4	-2.1445
GTPBP1	-0.0902857142857143
RAB33B	0.781833333333333
ALDOC	-1.508125
ZNF212	-0.16575
NUDT1	-0.604666666666667
RFPL2	0.579
ZNF83	0.8145
GDPD5	-0.200125
PDCD4	1.57915
CEP350	0.82125
OR10A2	0.06675
CST7	4.06375
CIAO1	-0.94975
SELL	4.1685
OR8J3	1.1255
LTBP4	0.2565
SIRT6	0.153
CCL19	5.5245
PPIL1	-1.66216666666667
GBP7	-0.148833333333333
STK17A	1.4042
ABR	0.7965
OR9G1	-0.064
FOXE1	-0.86325
CNGA3	0.083
GML	0.5625
CD38	1.44375
ZDHHC6	0.412833333333333
NEFH	-2.45175
CTDSP2	0.531083333333333
PGBD5	-2.516
CCNY	0.543142857142857
RMND5B	0.43375
ZNF257	0.652
FLJ22167	-1.05625
EXOSC7	-0.503666666666667
ROR2	-0.25475
MAOA	-0.9675
TNNT3	1.31366666666667
GYPC	0.98175
C7orf33	0.317
PLIN	3.48716666666667
LOC90826	-0.524
RNF4	0.2902
F8A1	0.6975
PLEKHG4	-1.57525
GRB2	0.9656
HIST1H2AD	-0.365
DUS3L	-0.704166666666667
EIF1	-0.350666666666667
RP5-1077B9.4	0.0136666666666667
FPGT	0.98525
GDF10	1.2085
COQ9	-1.00825
GCC2	0.788
RARRES3	3.1445
PLXNA1	-0.5544
KIAA0100	0.375
PMF1	-0.04025
FNDC1	4.26
HS2ST1	-0.0493333333333333
CRELD2	0.401
C8G	-1.2875
CD82	1.805
LIM2	-0.9245
UNQ6490	-0.1735
MMP16	-0.39275
DRD3	0.07075
C5orf26	-0.0295
C11orf73	-0.727
PTP4A2	1.116
OR4M2	0.195
HPCA	-0.688666666666667
SEC14L1	-0.179666666666667
CHFR	0.939125
EMILIN1	0.966125
NDUFS4	-0.84725
COL18A1	-0.143
PDZD3	-0.222
C9orf16	0.1865
ERBB2IP	1.07516666666667
EMX2	3.92675
FUS	-0.62225
TF	-3.9064
CLCN4	1.43366666666667
CXorf56	-0.86475
C11orf72	0.449
ELAC2	-0.440833333333333
NPR1	-0.09175
ASS1	-2.92333333333333
USP42	0.20625
POLR2J	-0.484
SEC23IP	0.505
UQCRC1	-0.552
LOC729603	-0.50775
C1orf71	0.613875
POLG	-1.884
ADAM23	-2.903
TFR2	-1.77
RICTOR	0.2183
MGC39606	0.4035
C19orf55	-0.116125
SNAPC1	-1.13616666666667
GNA11	-0.561875
CCDC52	-0.8335
FSIP1	-0.33
UPF3A	-0.0965
IGSF11	-2.77983333333333
LAGE3	-0.91975
CHST6	-3.747
UNC13B	-1.093625
TTLL4	-1.076625
ZNF687	0.211125
SDC2	-1.1008
COX7A2	-0.75375
LAMB4	0.07975
FAM24A	0.08
LRRTM3	-0.796666666666667
GPHB5	0.3905
OR4C13	0.002
EIF3EIP	0.312357142857143
HABP4	0.004
TMEM125	2.12125
CNTN2	0.416875
ASNSD1	-0.14775
FUT4	0.546875
ACF	-3.4185
LOC158381	-0.086
CDH8	-0.523666666666667
AGPS	-0.927833333333333
C4orf18	2.064375
PECI	-0.50475
UNG	-1.112875
GSTP1	-1.035375
DCUN1D5	-1.815
DKFZP564J0863	-1.50025
SLC9A3R1	0.170375
BCDO2	0.337375
CHMP7	1.06675
REM2	0.751
DNHD1	0.648125
FKBP4	-1.14375
ZNF350	1.8165
MGC11102	0.016125
BST1	1.434
KISS1R	1.484
NCR2	0.128
DEFB125	0.2795
UBE2W	0.43225
KRT15	-1.842875
C10orf99	0.2455
SCN11A	0.513125
GFI1	1.06225
RDHE2	0.547166666666667
FHL1	0.313666666666667
OSGEP	0.661666666666667
GATA1	-3.44883333333333
SMC6	0.1125
TTTY14	-0.60675
LPIN3	-0.01475
RPL4	-0.1835
RBPMS	0.0618
PRPF3	0.0801666666666667
EMR1	0.5895
SPATA19	-0.35175
XCR1	0.2665
IRX3	1.0967
RBM6	0.93875
KLF4	-0.6022
UNC5CL	-0.057
SEBOX	-0.181
BTK	2.9395
KRCC1	1.27
C6orf27	0.337
SYTL5	-0.7965
PRND	2.730875
LOC653319	-1.2175
PIGL	-0.7915
HUS1	-0.758
SFRS6	-0.4535
C17orf77	0.221
UIMC1	0.626333333333333
FXYD2	-0.8714
LOC283152	1.198
ZNF667	-0.374
ZCCHC12	-0.065
TFEC	4.1075
ATP7B	-0.951166666666667
POLD2	-1.89666666666667
RG9MTD1	-0.6425
ACOT2	-0.534333333333333
HIST1H4I	-0.53725
PPARGC1A	-2.064
ETFA	-1.6537
POLRMT	-0.0995
