Hybridization REF	TCGA-B6-A0RE-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.41125
CREB3L1	0.603
RPS11	-0.236125
PNMA1	-0.75375
MMP2	0.446
C10orf90	0.9885
ZHX3	-0.0286666666666667
ERCC5	-0.259
GPR98	-0.994625
RXFP3	0.51
APBB2	-0.52
PRO0478	-1.109875
KLHL13	-1.63575
PRSSL1	-1.01333333333333
PDCL3	0.728166666666667
DECR1	0.089125
SALL1	-4.04516666666667
CADM4	0.797666666666667
RPS18	0.337285714285714
HNRPD	-1.08791666666667
CFHR5	0.648666666666667
SLC10A7	-0.31275
OR2K2	-0.5485
LMAN1	-0.038375
SUHW1	-3.37325
CHD8	-0.3011
SUMO1	0.6085
GP1BA	-0.332
DDB1	0.156166666666667
MYO9B	0.2753
MMP7	8.0055
CRNKL1	0.2665
C9orf45	-0.488
XAB2	0.135
RTN1	0.37925
KLHL14	-1.9005
TBX10	-0.734
CENPQ	-2.51975
UTY	-1.01235714285714
ZBTB12	-0.083
DTNBP1	-0.505
KBTBD8	-0.146833333333333
ZEB1	-0.383166666666667
ZG16	-1.62925
MIER1	0.4726
ADAM5P	0.5055
CHD9	-0.4305
STK16	0.1925
KIAA1486	-0.5245
TOB2	0.548166666666667
BANK1	2.45675
OR2V2	0.089
GRM2	0.2355
PROSC	-0.044625
SPIN2B	0.089
PIR	-1.25933333333333
IPO9	0.7603
EVC	0.161166666666667
CXCL13	1.89683333333333
KIAA1199	-0.4494
SORL1	0.47625
NAT10	0.64275
CHD1	-1.15475
SYN3	-1.074
SLC22A2	-0.42925
SERPINF1	0.3715
WDR34	-0.368
OR7A17	0.385
C9orf11	-0.24
RNF216L	0.5616
LHB	0.0655
STK25	0.088375
TAOK3	0.615125
LOC152573	-1.731
C3orf39	0.621625
C14orf108	-0.5815
CDC25B	-0.187909090909091
BMP3	0.066
TMEM180	0.054
MAP1LC3C	-0.62575
CRYGC	-0.242
POU3F1	-1.4155
C20orf32	-1.422
CCDC95	-0.766
HIGD1B	2.50975
USP6NL	2.111
ABCD4	-1.20083333333333
DIMT1L	-0.194166666666667
TEK	-0.039125
SLC25A46	-0.83525
LARP7	-2.1502
CD160	-0.252
MT1JP	-2.03316666666667
PHF20	-0.3825625
CPNE4	-2.12775
GTPBP1	-0.35
RAB33B	0.573333333333333
ALDOC	-2.00575
ZNF212	-0.77425
NUDT1	-0.197
RFPL2	-0.80675
ZNF83	-0.573
GDPD5	-0.238375
PDCD4	-0.1853
