Hybridization REF	TCGA-A2-A0CT-01A-31R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.744583333333333
CREB3L1	-0.45525
RPS11	0.02525
PNMA1	0.95775
MMP2	-0.118
C10orf90	-2.38775
ZHX3	0.0711666666666667
ERCC5	-1.143
GPR98	-0.712
RXFP3	0.034
APBB2	0.91525
PRO0478	-1.24825
KLHL13	-1.3245
PRSSL1	-1.0645
PDCL3	0.8905
DECR1	0.06425
SALL1	-4.06883333333333
CADM4	0.700166666666667
RPS18	0.203
HNRPD	0.327083333333333
CFHR5	0.774333333333333
SLC10A7	1.63725
OR2K2	-0.0745
LMAN1	-0.073875
SUHW1	-3.337
CHD8	0.3802
SUMO1	0.5031
GP1BA	-0.1633
DDB1	0.7515
MYO9B	-0.8061
MMP7	5.64575
CRNKL1	2.828625
C9orf45	-2.53716666666667
XAB2	1.2575
RTN1	0.598625
KLHL14	-0.76625
TBX10	-1.111
CENPQ	-1.056
UTY	-1.11307142857143
ZBTB12	-0.176
DTNBP1	-0.268375
KBTBD8	-1.82116666666667
ZEB1	1.08683333333333
ZG16	-1.22975
MIER1	1.0125
ADAM5P	-0.1705
CHD9	0.3871875
STK16	1.03875
KIAA1486	-0.5685
TOB2	0.284083333333333
BANK1	0.86775
OR2V2	0.05175
GRM2	0.168
PROSC	0.917
SPIN2B	0.0985
PIR	-1.07144444444444
IPO9	-0.2285
EVC	-0.206166666666667
CXCL13	7.574
KIAA1199	-2.8703
SORL1	1.179
NAT10	0.637
CHD1	-0.5615
SYN3	-0.289
SLC22A2	-0.6475
SERPINF1	-0.438833333333333
WDR34	-0.82025
OR7A17	0.41425
C9orf11	0.167
RNF216L	-0.4989
LHB	-0.1505
STK25	-0.81575
TAOK3	1.33975
LOC152573	-2.639
C3orf39	0.121875
C14orf108	0.9271
CDC25B	-1.80654545454545
BMP3	-0.7015
TMEM180	-0.0015
MAP1LC3C	-0.097
CRYGC	-0.95
POU3F1	-1.6957
C20orf32	-1.3985
CCDC95	0.03
HIGD1B	4.65425
USP6NL	-0.884625
ABCD4	-0.0526666666666667
DIMT1L	-0.740083333333333
TEK	1.30325
SLC25A46	-0.303
LARP7	-1.1287
CD160	0.138833333333333
MT1JP	-0.897833333333333
PHF20	0.16475
CPNE4	-1.53225
GTPBP1	-0.559785714285714
RAB33B	1.265
ALDOC	-3.228125
ZNF212	-1.238
NUDT1	-0.375666666666667
RFPL2	-0.19025
ZNF83	0.166833333333333
GDPD5	-2.31175
PDCD4	1.6002
CEP350	0.244
OR10A2	0.19575
CST7	-0.07825
CIAO1	-1.2955
SELL	0.441875
OR8J3	0.251
LTBP4	-0.783
SIRT6	0.00425
CCL19	3.9475
PPIL1	0.423666666666667
GBP7	1.59583333333333
STK17A	-0.882
ABR	-0.40725
OR9G1	-0.581
FOXE1	1.783125
CNGA3	1.531
GML	0.524
CD38	-3.44625
ZDHHC6	0.6745
NEFH	0.133
CTDSP2	0.810833333333333
PGBD5	-1.695
CCNY	0.278428571428571
RMND5B	0.693416666666666
ZNF257	0.00399999999999999
FLJ22167	0.173375
EXOSC7	-0.851
ROR2	0.43625
MAOA	0.535375
TNNT3	0.485666666666667
GYPC	-1.566
C7orf33	1.1325
PLIN	0.996833333333333
LOC90826	0.31925
RNF4	0.1226
F8A1	0.198166666666667
