Hybridization REF	TCGA-A2-A0EU-01A-22R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.936833333333333
CREB3L1	0.59725
RPS11	0.418
PNMA1	0.8765
MMP2	0.312333333333333
C10orf90	-2.3315
ZHX3	0.0106666666666667
ERCC5	-0.467
GPR98	-0.17525
RXFP3	0.0715
APBB2	1.15025
PRO0478	-0.980625
KLHL13	-4.00175
PRSSL1	-1.17083333333333
PDCL3	0.826
DECR1	0.062125
SALL1	-3.45016666666667
CADM4	1.215
RPS18	-0.333214285714286
HNRPD	-0.162916666666667
CFHR5	1.1156
SLC10A7	0.13075
OR2K2	1.6705
LMAN1	-1.565625
SUHW1	-3.9755
CHD8	-0.3474
SUMO1	0.4014
GP1BA	0.2889
DDB1	0.235666666666667
MYO9B	-0.2365
MMP7	5.80375
CRNKL1	1.359375
C9orf45	-1.5385
XAB2	0.9265
RTN1	2.06575
KLHL14	-1.921
TBX10	-1.3425
CENPQ	-1.2335
UTY	-1.55527272727273
ZBTB12	-0.614
DTNBP1	-0.163
KBTBD8	-2.15
ZEB1	0.669333333333333
ZG16	3.018
MIER1	0.9757
ADAM5P	0.1205
CHD9	-0.2519375
STK16	1.49925
KIAA1486	-0.8885
TOB2	0.286083333333333
BANK1	1.88125
OR2V2	0.31525
GRM2	-0.0411666666666667
PROSC	0.768375
SPIN2B	0.773
PIR	-2.16622222222222
IPO9	-0.7215
EVC	0.681666666666667
CXCL13	4.04183333333333
KIAA1199	-1.537
SORL1	1.00375
NAT10	-0.61425
CHD1	0.10275
SYN3	-0.31475
SLC22A2	-0.334
SERPINF1	-0.299833333333333
WDR34	-0.407
OR7A17	0.042
C9orf11	-0.374
RNF216L	-0.2665
LHB	-0.297
STK25	-1.3545
TAOK3	2.08225
LOC152573	-3.39875
C3orf39	0.607
C14orf108	-0.2294
CDC25B	-0.942727272727273
BMP3	0.109
TMEM180	-0.219
MAP1LC3C	-0.30675
CRYGC	-0.5785
POU3F1	-1.2195
C20orf32	-1.4115
CCDC95	-0.0955
HIGD1B	4.1945
USP6NL	-0.5115
ABCD4	-0.736166666666667
DIMT1L	-0.61475
TEK	0.5645
SLC25A46	-0.07625
LARP7	-1.217
CD160	0.619333333333333
MT1JP	0.564
PHF20	0.4924375
CPNE4	-2.21666666666667
GTPBP1	-0.670714285714286
RAB33B	0.553
ALDOC	-1.42975
ZNF212	-0.319
NUDT1	-0.249
RFPL2	0.06175
ZNF83	0.772333333333333
GDPD5	-2.28625
PDCD4	2.45405
CEP350	-0.039
OR10A2	0.03525
CST7	1.073
CIAO1	-1.1565
SELL	0.9585
OR8J3	0.2435
LTBP4	-1.1395
SIRT6	-0.0185
CCL19	4.6755
PPIL1	-0.8445
GBP7	0.5855
STK17A	-1.07
ABR	0.99725
OR9G1	0.797
FOXE1	-1.12975
CNGA3	0.3835
GML	0.0505
CD38	-3.86875
ZDHHC6	0.1645
NEFH	-0.73
CTDSP2	0.949
PGBD5	0.4055
CCNY	0.163357142857143
RMND5B	0.745916666666667
ZNF257	0.299
FLJ22167	-0.18
EXOSC7	-0.243833333333333
ROR2	1.6355
MAOA	0.364875
TNNT3	0.877166666666667
GYPC	-2.073
C7orf33	1.325
PLIN	3.30466666666667
LOC90826	-0.1105
RNF4	0.4111
F8A1	0.608166666666667
PLEKHG4	-1.65425
GRB2	0.76065
HIST1H2AD	0.02
DUS3L	-1.10633333333333
EIF1	-0.109833333333333
RP5-1077B9.4	-1.38683333333333
FPGT	2.19425
GDF10	0.0408333333333333
COQ9	-0.518
GCC2	0.203714285714286
RARRES3	3.19175
PLXNA1	-0.6925
KIAA0100	-0.0349
PMF1	-0.4985
FNDC1	5.056
HS2ST1	-0.430416666666667
CRELD2	-0.31075
C8G	-2.158
CD82	-0.35775
LIM2	-2.0435
UNQ6490	0.426
MMP16	0.51175
DRD3	-0.2985
C5orf26	-0.99475
C11orf73	-1.21625
PTP4A2	1.012125
OR4M2	-0.0265
HPCA	-0.7875
SEC14L1	-0.954166666666667
CHFR	0.06275
EMILIN1	0.841875
NDUFS4	-0.07775
COL18A1	-0.561625
PDZD3	-0.3698
C9orf16	-0.385666666666667
ERBB2IP	0.617333333333333
EMX2	4.06125
FUS	-0.285
TF	-4.3112
CLCN4	-1.111
CXorf56	1.1185
C11orf72	0.10125
ELAC2	-0.143083333333333
NPR1	-1.5605
ASS1	-3.23133333333333
USP42	0.469125
POLR2J	-0.856
SEC23IP	1.08333333333333
UQCRC1	0.04475
LOC729603	-0.964
C1orf71	-0.07575
POLG	-2.1595
ADAM23	-3.24475
TFR2	-2.22425
RICTOR	-0.3699
MGC39606	-0.55325
C19orf55	-0.193375
SNAPC1	-1.51283333333333
GNA11	1.02775
CCDC52	0.600833333333333
FSIP1	6.2395
UPF3A	0.089625
IGSF11	-1.337
LAGE3	-1.084
CHST6	-1.708
UNC13B	-0.3045
TTLL4	-1.679375
ZNF687	-0.31625
SDC2	-0.2308
COX7A2	0.448
LAMB4	-0.26625
FAM24A	0.43
LRRTM3	-1.3335
GPHB5	-0.28525
OR4C13	-0.1305
EIF3EIP	-0.829071428571429
HABP4	-0.475
TMEM125	3.54325
CNTN2	-0.335625
