Hybridization REF	TCGA-BH-A0HF-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.379083333333333
CREB3L1	1.754
RPS11	0.75175
PNMA1	0.16875
MMP2	1.08233333333333
C10orf90	-1.8555
ZHX3	-0.006
ERCC5	-0.44825
GPR98	-0.479625
RXFP3	0.649
APBB2	1.26425
PRO0478	-0.812375
KLHL13	-2.1155
PRSSL1	-0.310833333333333
PDCL3	0.250166666666667
DECR1	-0.19825
SALL1	-2.55433333333333
CADM4	0.821833333333333
RPS18	0.680142857142857
HNRPD	-0.827666666666667
CFHR5	0.653
SLC10A7	-0.017125
OR2K2	0.078
LMAN1	-0.527125
SUHW1	-3.23925
CHD8	-0.5586
SUMO1	0.7168
GP1BA	0.9967
DDB1	-0.0306666666666667
MYO9B	-0.00499999999999999
MMP7	7.14425
CRNKL1	-0.017125
C9orf45	-1.75633333333333
XAB2	-0.243125
RTN1	3.5245
KLHL14	-1.21375
TBX10	-1.019
CENPQ	-1.76475
UTY	-1.07185714285714
ZBTB12	-0.3935
DTNBP1	-0.108125
KBTBD8	-1.0635
ZEB1	1.18966666666667
ZG16	-2.29925
MIER1	0.8492
ADAM5P	0.821
CHD9	-0.1878125
STK16	0.1445
KIAA1486	-0.274
TOB2	1.24208333333333
BANK1	3.27375
OR2V2	-0.3895
GRM2	0.0835
PROSC	0.3655
SPIN2B	-0.27525
PIR	-2.26788888888889
IPO9	-0.6294
EVC	1.1755
CXCL13	3.07466666666667
KIAA1199	-1.2136
SORL1	1.471
NAT10	-0.86725
CHD1	-0.782
SYN3	-0.99175
SLC22A2	-0.39725
SERPINF1	1.40783333333333
WDR34	-0.3855
OR7A17	0.033
C9orf11	0.159
RNF216L	-0.1695
LHB	0.009
STK25	-0.05025
TAOK3	0.21925
LOC152573	-2.196
C3orf39	0.695
C14orf108	0.1487
CDC25B	-1.90881818181818
BMP3	-0.1275
TMEM180	-0.1105
MAP1LC3C	0.9505
CRYGC	-0.391
POU3F1	-1.0078
C20orf32	-1.2695
CCDC95	-0.6635
HIGD1B	4.88325
USP6NL	-1.0735
ABCD4	0.172
DIMT1L	-0.988166666666667
TEK	1.880125
SLC25A46	-0.066
LARP7	-1.5639
CD160	0.502666666666667
MT1JP	0.453666666666667
PHF20	-0.0728125
CPNE4	0.4095
GTPBP1	-0.276428571428571
RAB33B	1.7305
ALDOC	-2.59
ZNF212	-0.01225
NUDT1	-0.919833333333333
RFPL2	-0.373
ZNF83	-0.890833333333333
GDPD5	-0.554625
PDCD4	1.9171
CEP350	-0.5175
OR10A2	0.02975
CST7	0.64425
CIAO1	-0.89525
SELL	1.054
OR8J3	0.1335
LTBP4	-0.026
SIRT6	-0.271
CCL19	5.1935
PPIL1	-0.591333333333333
GBP7	-0.124166666666667
STK17A	-0.5237
ABR	0.23625
OR9G1	0.034
FOXE1	-0.501875
CNGA3	0.5825
GML	-0.342
CD38	-2.982
ZDHHC6	-0.147333333333333
NEFH	-0.0945
CTDSP2	0.642833333333333
PGBD5	-0.1865
CCNY	0.556928571428571
RMND5B	0.451916666666667
ZNF257	-2.58
FLJ22167	-0.538375
EXOSC7	-0.464666666666667
ROR2	1.931375
MAOA	1.746375
TNNT3	1.22583333333333
GYPC	-0.597
C7orf33	1.314
PLIN	4.371
LOC90826	-0.501
RNF4	-0.3684
F8A1	0.687666666666667
PLEKHG4	-2.10875
GRB2	0.69155
HIST1H2AD	0.0605
DUS3L	-0.971833333333333
EIF1	-0.508166666666667
RP5-1077B9.4	-0.980833333333333
FPGT	1.6795
GDF10	1.15966666666667
COQ9	-0.13975
GCC2	0.264357142857143
RARRES3	3.5915
PLXNA1	-0.5126
KIAA0100	-0.3917
PMF1	0.0405
FNDC1	5.84325
HS2ST1	0.52225
CRELD2	0.86925
C8G	-2.398
CD82	0.91875
LIM2	-1.469
UNQ6490	0.5845
MMP16	0.442
DRD3	0.10925
C5orf26	-0.432
C11orf73	-0.183125
PTP4A2	1.83325
OR4M2	0.814
HPCA	-1.19216666666667
SEC14L1	-0.81
CHFR	-0.24225
EMILIN1	1.8345
NDUFS4	-0.4615
COL18A1	0.805625
PDZD3	-0.3318
C9orf16	0.392
ERBB2IP	0.449
EMX2	4.295
