Hybridization REF	TCGA-AO-A0JD-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.340166666666667
CREB3L1	-0.504
RPS11	0.713875
PNMA1	-0.9375
MMP2	-0.536166666666667
C10orf90	-1.69175
ZHX3	0.104333333333333
ERCC5	-0.274
GPR98	0.54175
RXFP3	0.374
APBB2	1.6495
PRO0478	-1.54325
KLHL13	-0.44275
PRSSL1	-1.1605
PDCL3	0.8825
DECR1	-0.176125
SALL1	-4.0276
CADM4	0.445
RPS18	0.253642857142857
HNRPD	-0.528166666666667
CFHR5	0.300166666666667
SLC10A7	0.413125
OR2K2	-0.196
LMAN1	0.605125
SUHW1	-3.96125
CHD8	-0.0639
SUMO1	0.3853
GP1BA	0.876
DDB1	0.3935
MYO9B	-0.3298
MMP7	6.8385
CRNKL1	0.681125
C9orf45	-1.55166666666667
XAB2	0.5865
RTN1	1.597375
KLHL14	-0.573125
TBX10	-0.9995
CENPQ	-1.04875
UTY	-1.02042857142857
ZBTB12	0.5185
DTNBP1	-0.30575
KBTBD8	-0.797166666666667
ZEB1	-0.356833333333333
ZG16	-2.038
MIER1	0.0271
ADAM5P	0.825
CHD9	-0.32275
STK16	0.15925
KIAA1486	-0.652
TOB2	0.163
BANK1	2.678
OR2V2	0.47175
GRM2	-0.197666666666667
PROSC	0.4855
SPIN2B	0.1545
PIR	-1.33377777777778
IPO9	0.5601
EVC	-0.948833333333333
CXCL13	6.57533333333333
KIAA1199	-3.7614
SORL1	0.95475
NAT10	0.08225
CHD1	-0.2225
SYN3	-1.0785
SLC22A2	-0.7945
SERPINF1	-1.6755
WDR34	-0.531
OR7A17	0.03425
C9orf11	-0.439
RNF216L	-1.1244
LHB	-0.263
STK25	-0.670125
TAOK3	0.029625
LOC152573	-2.874
C3orf39	0.789375
C14orf108	1.0335
CDC25B	-0.576
BMP3	-0.3235
TMEM180	0.185
MAP1LC3C	-0.10275
CRYGC	0.205
POU3F1	-1.3862
C20orf32	-1.3245
CCDC95	-0.253
HIGD1B	3.4045
USP6NL	0.03575
ABCD4	-0.91
DIMT1L	-0.109
TEK	0.276
SLC25A46	-0.1675
LARP7	-2.0633
CD160	0.310833333333333
MT1JP	-0.739666666666667
PHF20	-0.00631249999999999
CPNE4	-1.06375
GTPBP1	-0.828928571428571
RAB33B	0.479
ALDOC	-2.347875
ZNF212	-1.15925
NUDT1	-1.09333333333333
RFPL2	-1.44625
ZNF83	-1.029
GDPD5	-1.449375
PDCD4	1.43495
CEP350	0.55525
OR10A2	0.03575
CST7	0.82575
CIAO1	0.497
SELL	1.340125
OR8J3	0.063
LTBP4	-0.772
SIRT6	0.312
CCL19	4.7225
PPIL1	-0.05
GBP7	0.2994
STK17A	-1.4108
