Hybridization REF	TCGA-B6-A0RG-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.582916666666667
CREB3L1	0.442
RPS11	-0.23275
PNMA1	0.8425
MMP2	0.710166666666667
C10orf90	-3.023
ZHX3	0.131333333333333
ERCC5	0.5735
GPR98	0.0405
RXFP3	0.2815
APBB2	2.65525
PRO0478	-0.98275
KLHL13	-0.77825
PRSSL1	0.9725
PDCL3	0.716
DECR1	-0.026625
SALL1	-3.19766666666667
CADM4	1.32983333333333
RPS18	-0.419857142857143
HNRPD	-0.407083333333333
CFHR5	0.279166666666667
SLC10A7	-0.106
OR2K2	0.5125
LMAN1	-0.96875
SUHW1	-3.6125
CHD8	0.2481
SUMO1	0.6504
GP1BA	-0.2961
DDB1	0.344333333333333
MYO9B	-0.2924
MMP7	5.2075
CRNKL1	0.520875
C9orf45	-1.1355
XAB2	0.9505
RTN1	0.42925
KLHL14	-1.187625
TBX10	-1.2205
CENPQ	-1.35825
UTY	-0.768769230769231
ZBTB12	-0.6945
DTNBP1	0.2275
KBTBD8	-3.62583333333333
ZEB1	0.767
ZG16	2.1395
MIER1	0.5989
ADAM5P	0.627
CHD9	-0.58575
STK16	0.71825
KIAA1486	-0.113
TOB2	0.5075
BANK1	-0.3775
OR2V2	0.18275
GRM2	-0.353666666666667
PROSC	1.577125
SPIN2B	-0.06525
PIR	-1.41444444444444
IPO9	-0.014
EVC	0.00449999999999999
CXCL13	2.46666666666667
KIAA1199	-3.9003
SORL1	-0.36675
NAT10	-0.1135
CHD1	0.43875
SYN3	-0.57175
SLC22A2	-0.98975
SERPINF1	-0.620666666666667
WDR34	0.31225
OR7A17	0.0435
C9orf11	0.056
RNF216L	-0.6679
LHB	-0.123
STK25	0.086375
TAOK3	1.040625
LOC152573	-2.871
C3orf39	1.245875
C14orf108	0.2795
CDC25B	-1.89363636363636
BMP3	-0.5405
TMEM180	0.2895
MAP1LC3C	-0.60275
CRYGC	-0.205
POU3F1	-1.4713
