Hybridization REF	TCGA-A7-A0D9-01A-31R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.440833333333333
CREB3L1	0.15275
RPS11	-0.306125
PNMA1	-0.183
MMP2	0.195833333333333
C10orf90	-2.01575
ZHX3	-0.1385
ERCC5	-0.0045
GPR98	-1.79075
RXFP3	0.195
APBB2	2.6115
PRO0478	-0.233125
KLHL13	-1.33725
PRSSL1	-1.08866666666667
PDCL3	0.964833333333333
DECR1	0.355
SALL1	-2.872
CADM4	0.6555
RPS18	-0.470285714285714
HNRPD	-0.672166666666667
CFHR5	0.1264
SLC10A7	-0.125
OR2K2	0.192
LMAN1	-1.419
SUHW1	-4.23975
CHD8	0.1276
SUMO1	0.4409
GP1BA	-0.2886
DDB1	0.462666666666667
MYO9B	-0.3515
MMP7	3.98575
CRNKL1	1.07925
C9orf45	-0.449
XAB2	0.60725
RTN1	2.363375
KLHL14	-0.962625
TBX10	-1.3975
CENPQ	-2.54675
UTY	-1.45885714285714
ZBTB12	-0.4535
DTNBP1	0.012
KBTBD8	-1.151
ZEB1	1.285
ZG16	1.4875
MIER1	0.4914
ADAM5P	0.8555
CHD9	0.0675
STK16	1.26275
KIAA1486	-0.348
TOB2	0.880666666666667
BANK1	1.4925
OR2V2	-0.17325
GRM2	0.096
PROSC	3.69975
SPIN2B	0.15975
PIR	-0.995555555555556
IPO9	-0.525
EVC	1.0555
CXCL13	0.7935
KIAA1199	-1.0075
SORL1	0.67675
NAT10	-0.5175
CHD1	-0.131
SYN3	0.07125
SLC22A2	-0.77175
SERPINF1	0.4105
WDR34	-0.47225
OR7A17	0.04225
C9orf11	0.125
RNF216L	0.1397
LHB	-0.333
STK25	-0.269375
TAOK3	1.258125
LOC152573	-2.93725
C3orf39	0.673125
C14orf108	0.3976
CDC25B	-0.111454545454545
BMP3	0.325
TMEM180	0.3235
MAP1LC3C	-0.01025
CRYGC	-0.515
POU3F1	-1.3989
C20orf32	-1.2545
CCDC95	-0.797
HIGD1B	3.92525
USP6NL	-0.377875
ABCD4	-0.4745
DIMT1L	-0.732666666666667
TEK	0.892
SLC25A46	-0.503
LARP7	-1.4232
CD160	-0.2855
MT1JP	-0.539666666666667
PHF20	-0.3698125
CPNE4	-1.664
GTPBP1	-0.429
RAB33B	0.982333333333333
ALDOC	-1.998875
ZNF212	0.40525
NUDT1	-1.4905
RFPL2	-0.93375
ZNF83	0.725166666666667
GDPD5	0.98175
PDCD4	0.56935
CEP350	0.16975
OR10A2	-0.3245
CST7	-0.05925
CIAO1	-0.30475
SELL	-0.576875
OR8J3	0.817
LTBP4	-0.817333333333333
SIRT6	-0.288
CCL19	3.41175
PPIL1	-1.11866666666667
GBP7	0.077
STK17A	-1.001
ABR	0.99475
OR9G1	0.0465
FOXE1	-1.032625
CNGA3	0.3865
GML	0.331
CD38	-4.053
ZDHHC6	0.109333333333333
NEFH	-2.394
CTDSP2	0.970333333333333
PGBD5	2.70383333333333
CCNY	0.603
RMND5B	1.02783333333333
ZNF257	-0.55325
FLJ22167	0.834125
EXOSC7	-0.1015
ROR2	0.88275
MAOA	-0.152875
TNNT3	0.9785
GYPC	-1.59
C7orf33	0.024
PLIN	3.95533333333333
LOC90826	-0.50125
RNF4	0.3122
F8A1	0.446833333333333
PLEKHG4	-2.33775
GRB2	-0.8708
HIST1H2AD	-0.77025
DUS3L	-1.19733333333333
EIF1	-0.0375
RP5-1077B9.4	-0.757666666666667
FPGT	1.326
GDF10	-0.584833333333333
COQ9	-0.0745
GCC2	0.405642857142857
RARRES3	1.402
PLXNA1	0.1454
KIAA0100	0.7023
PMF1	-0.226
FNDC1	4.73625
HS2ST1	-0.39475
CRELD2	0.3695
C8G	-1.574
CD82	0.6605
LIM2	-2.616
UNQ6490	-0.038
MMP16	2.34375
DRD3	-0.3335
C5orf26	-0.3875
C11orf73	-0.45375
PTP4A2	-0.1165
OR4M2	0.0385
HPCA	-0.430166666666667
SEC14L1	-1.31883333333333
CHFR	0.37825
EMILIN1	1.0425
NDUFS4	0.0495
COL18A1	0.57325
PDZD3	-0.2214
C9orf16	-0.635
ERBB2IP	0.204333333333333
EMX2	3.107
FUS	-0.62975
TF	-4.107
CLCN4	-0.582333333333333
CXorf56	0.5385
C11orf72	0.76425
ELAC2	-1.02266666666667
NPR1	-0.566
ASS1	-0.6905
USP42	1.034375
POLR2J	-1.1005
SEC23IP	1.386
UQCRC1	0.469
LOC729603	-0.3145
C1orf71	0.040375
POLG	-2.338
ADAM23	-3.21925
TFR2	-1.987
RICTOR	-0.106
MGC39606	1.323
C19orf55	-0.328
SNAPC1	-1.353
GNA11	1.028875
CCDC52	0.421833333333333
FSIP1	-0.3625
UPF3A	-0.248
IGSF11	-1.51116666666667
LAGE3	-1.368
CHST6	-1.7025
UNC13B	-0.05975
TTLL4	-1.413375
ZNF687	-0.14125
SDC2	-0.5861
COX7A2	0.16725
LAMB4	-0.25025
FAM24A	-0.2035
LRRTM3	-0.9494
GPHB5	-0.40025
OR4C13	-0.508
EIF3EIP	-0.2935
