Hybridization REF	TCGA-BH-A0GY-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.147166666666667
CREB3L1	0.99675
RPS11	0.541125
PNMA1	0.848
MMP2	1.32416666666667
C10orf90	-2.05975
ZHX3	1.20216666666667
ERCC5	-0.5495
GPR98	-1.86675
RXFP3	0.579
APBB2	1.58325
PRO0478	-1.32975
KLHL13	-0.9035
PRSSL1	-0.239666666666667
PDCL3	0.7445
DECR1	0.184
SALL1	-3.88983333333333
CADM4	0.7195
RPS18	-0.434928571428571
HNRPD	-0.533583333333333
CFHR5	0.236833333333333
SLC10A7	-0.701285714285714
OR2K2	-0.148
LMAN1	-0.95275
SUHW1	-3.94025
CHD8	-0.0555
SUMO1	0.669
GP1BA	0.7691
DDB1	0.347833333333333
MYO9B	-0.045
MMP7	6.943
CRNKL1	1.313875
C9orf45	-2.25933333333333
XAB2	0.11275
RTN1	1.436
KLHL14	-1.657
TBX10	-1.2565
CENPQ	-1.35725
UTY	-1.45776923076923
ZBTB12	0.1155
DTNBP1	-0.415875
KBTBD8	-1.13116666666667
ZEB1	-0.160833333333333
ZG16	0.07875
MIER1	1.1287
ADAM5P	-1.388
CHD9	-0.5019375
STK16	1.03125
KIAA1486	-0.209
TOB2	0.801333333333333
BANK1	6.76675
OR2V2	0.288
GRM2	0.107666666666667
PROSC	1.47075
SPIN2B	0.35375
PIR	-2.089
IPO9	-0.2049
EVC	0.409833333333333
CXCL13	5.67316666666667
KIAA1199	-0.7338
SORL1	1.3825
NAT10	-0.117
CHD1	-0.802
SYN3	-0.9695
SLC22A2	-1.06575
SERPINF1	0.134333333333333
WDR34	-0.44425
OR7A17	0.1205
C9orf11	-0.0855
RNF216L	-0.4166
LHB	0.0435
STK25	-0.022375
TAOK3	0.89775
LOC152573	-2.68225
C3orf39	0.65425
C14orf108	-0.2839
CDC25B	0.299272727272727
BMP3	0.5715
TMEM180	0.2345
MAP1LC3C	-0.2335
CRYGC	-1.07
POU3F1	-1.16
C20orf32	-1.8315
CCDC95	-0.212
HIGD1B	3.53825
USP6NL	0.791875
ABCD4	-0.7975
DIMT1L	-0.832666666666667
TEK	0.66275
SLC25A46	-0.75475
LARP7	-1.5499
CD160	0.303666666666667
MT1JP	-1.00966666666667
PHF20	0.7831875
CPNE4	-1.296
GTPBP1	-0.670142857142857
RAB33B	0.640333333333333
ALDOC	-1.976375
ZNF212	0.07525
NUDT1	-0.817
RFPL2	-1.40675
ZNF83	-0.0268333333333333
GDPD5	0.349
PDCD4	2.71175
CEP350	-0.09025
OR10A2	0.09
CST7	1.2685
CIAO1	-0.48325
SELL	1.88025
OR8J3	0.908
LTBP4	-0.593666666666667
SIRT6	0.45075
CCL19	5.16925
PPIL1	-0.998166666666667
GBP7	-0.0742
STK17A	-0.5706
ABR	0.083
OR9G1	0.114
FOXE1	-0.884
CNGA3	0.288
GML	0.682
CD38	-1.705
ZDHHC6	-0.181
NEFH	-1.22225
CTDSP2	0.388083333333333
PGBD5	-0.991666666666667
CCNY	0.649928571428572
RMND5B	0.580333333333333
ZNF257	-1.5345
FLJ22167	-0.03675
EXOSC7	-0.1055
ROR2	1.7265
MAOA	-1.2185
TNNT3	0.328166666666667
GYPC	-1.25025
C7orf33	0.653
PLIN	3.0835
LOC90826	-0.9925
RNF4	0.075
F8A1	-0.389166666666667
PLEKHG4	-2.75025
GRB2	-0.1278
HIST1H2AD	-1.20225
DUS3L	-0.681333333333333
EIF1	-0.183833333333333
RP5-1077B9.4	-1.047
FPGT	1.72225
GDF10	-0.398
COQ9	-0.64075
GCC2	-0.490642857142857
RARRES3	3.31675
PLXNA1	-0.6449
KIAA0100	-0.7414
PMF1	0.06
FNDC1	5.686
HS2ST1	1.36183333333333
CRELD2	0.04725
C8G	-1.1965
CD82	1.4725
LIM2	-1.2635
UNQ6490	-0.1705
MMP16	0.30125
DRD3	-0.00825
C5orf26	-1.0245
C11orf73	-0.391
PTP4A2	0.352125
OR4M2	-0.013
HPCA	-0.819666666666667
SEC14L1	-0.14
CHFR	0.692125
EMILIN1	0.9975
NDUFS4	-0.7835
COL18A1	0.3845
PDZD3	-0.0969
C9orf16	-0.180333333333333
ERBB2IP	-0.0871666666666667
EMX2	2.6625
FUS	-0.49675
TF	-3.605
CLCN4	-0.475666666666667
CXorf56	0.559
C11orf72	0.4775
ELAC2	-0.194
NPR1	-1.41375
ASS1	-0.322666666666667
USP42	0.4755
POLR2J	-0.3665
SEC23IP	0.714166666666667
UQCRC1	0.201
LOC729603	-0.8095
C1orf71	-0.227875
POLG	-1.4915
ADAM23	-3.348
TFR2	-1.5495
RICTOR	-1.5141
MGC39606	-0.1315
C19orf55	0.175375
SNAPC1	-0.8095
GNA11	1.1785
CCDC52	0.062
FSIP1	5.098
UPF3A	-0.870625
IGSF11	-2.46983333333333
LAGE3	1.08475
CHST6	-2.1015
UNC13B	-0.538625
TTLL4	-0.392375
ZNF687	0.38125
SDC2	2.4251
COX7A2	-0.333
LAMB4	-0.2945
FAM24A	-0.153
LRRTM3	-0.9635
GPHB5	0.24425
OR4C13	-0.1185
EIF3EIP	-0.609
HABP4	-0.622
TMEM125	3.7195
CNTN2	0.465625
ASNSD1	-0.28575
FUT4	0.432375
ACF	-3.94975
LOC158381	0.841
CDH8	-0.09125
AGPS	-0.7735
C4orf18	2.078875
PECI	-0.642833333333333
UNG	0.10675
GSTP1	-2.342375
DCUN1D5	-0.571666666666667
DKFZP564J0863	-0.87925
SLC9A3R1	1.953125
BCDO2	-0.839
CHMP7	-0.136
REM2	3.4195
DNHD1	-0.72825
FKBP4	0.68725
ZNF350	2.52325
MGC11102	0.983875
BST1	0.97875
KISS1R	1.346
NCR2	0.0285
DEFB125	0.726
UBE2W	1.201375
KRT15	2.21725
C10orf99	0.2665
SCN11A	0.526857142857143
GFI1	-1.88975
RDHE2	-0.436333333333333
FHL1	-1.40583333333333
OSGEP	0.274
GATA1	-3.23033333333333
SMC6	-1.26525
TTTY14	-1.51375
LPIN3	-0.229
RPL4	-0.8019
RBPMS	0.3864
PRPF3	-0.2435
EMR1	-1.8705
SPATA19	0.353
XCR1	1.17
IRX3	1.5031
RBM6	-0.985
KLF4	-1.1091
UNC5CL	-1.85225
SEBOX	-2.056
BTK	-0.306
KRCC1	0.7455
C6orf27	0.683
SYTL5	-1.0415
PRND	1.897375
LOC653319	-1.6535
PIGL	-0.86475
HUS1	-0.113166666666667
SFRS6	0.211
C17orf77	0.2965
UIMC1	-0.768
FXYD2	-1.7539
LOC283152	0.81475
ZNF667	-1.406
ZCCHC12	-0.016
TFEC	3.261
ATP7B	2.0265
POLD2	-0.617166666666667
RG9MTD1	0.4525
ACOT2	0.994166666666667
HIST1H4I	-1.31325
PPARGC1A	-3.0395
ETFA	-0.7015
POLRMT	0.1745
ZNF146	0.268625
MIA2	-1.6755
KLHL6	-0.6985
HOXB5	-1.382375
NENF	0.5325
CUGBP1	-0.3235
PRSS22	2.87966666666667
CASC4	0.9382
CUL4B	0.2626
CENPJ	-1.4538
PITX1	1.09566666666667
FLJ31033	1.54016666666667
CELSR3	0.0875
ZNF568	0.21675
ITSN1	-0.339833333333333
EHBP1L1	-0.524833333333333
C19orf2	-0.36775
DCTN1	0.0795
LIN28B	-4.23983333333333
TNKS2	0.40925
C1QBP	-0.301875
CADPS2	2.31025
SRMS	0.6705
GJA9	0.264166666666667
MGC24975	-0.471166666666667
TRIM45	-1.42
TSP50	-0.4025
TCP1	-0.91225
TMED7	0.1472
CMA1	1.0955
CENPL	-1.11083333333333
PTCRA	0.5085
FST	-3.61675
VWCE	-3.1695
PAWR	0.245
ABCC12	-0.0545
LDLR	-1.9161
ASTN2	0.84
LOC441212	-0.265875
GPATCH8	-0.133
TANC2	-0.926916666666667
KIF4A	-1.7135
C18orf18	-2.46625
PGM1	-1.1395
KIAA0258	-0.00949999999999999
CPD	0.563875
SNCAIP	-0.863
DCT	-4.3185
HLA-DOA	2.74240909090909
OR11L1	0.6965
UPK1B	-0.695333333333333
DNAJB4	-0.165375
UGT1A8	-0.1745
HIST1H4L	-1.669
PECR	-0.8595
HSPA2	-0.21275
WFIKKN1	-2.0035
SERP1	0.6635
SYDE2	2.07325
TACR2	0.565
NUP85	-0.19975
CD177	2.16183333333333
LGR5	-2.598
PIGG	-0.200916666666667
PTHR1	-1.113
RAB5A	0.2574
FLJ13224	0.2755
USP9Y	-2.09183333333333
C7orf53	-0.588
LRP1B	0.28625
XAF1	2.2316
ABCG8	-0.464
ANKDD1A	-0.602166666666667
DAND5	-2.707
SPAG6	1.15016666666667
LINCR	0.81775
ZDHHC22	-1.328875
CCDC60	0.6095
THOC7	-1.438
TCTA	1.0367
OR8K3	0.06025
NY-REN-7	-0.25275
B2M	1.36516666666667
C6orf141	0.014875
LPPR4	1.164
SQLE	1.8105
SEPHS1	0.0765
BTBD14B	0.598
PLRG1	-0.7325
SPG7	-0.74725
ZNF614	0.902166666666667
PARD6G	0.938
INPP5B	-0.9984
GRPEL2	-0.17125
PPID	-0.7173
TRIM56	-0.3135
UBE2J1	-0.23825
IL20RA	5.0345
LOC387856	0.285
C1orf107	0.780083333333333
UTS2R	1.11075
C19orf22	0.93625
SAFB2	0.051875
KIAA0652	0.17275
KLRG1	-1.00316666666667
MS4A8B	4.1
FRAG1	0.898
KIAA1546	0.11475
E2F4	-1.0852
CLEC4M	0.477
BTBD14A	-0.55425
KIAA0999	0.9367
GYPA	-4.476
TAC1	2.5145
TRAIP	-1.26933333333333
KIAA0232	0.8821
ERCC8	-1.397
GPX4	1.022375
KIAA0368	-0.974875
GPR157	-0.751666666666667
