Hybridization REF	TCGA-BH-A0HK-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.236666666666667
CREB3L1	1.33875
RPS11	1.8195
PNMA1	0.007
MMP2	0.193
C10orf90	-2.1465
ZHX3	-0.6605
ERCC5	0.2365
GPR98	-2.247125
RXFP3	0.7605
APBB2	0.294
PRO0478	-1.30825
KLHL13	-2.682
PRSSL1	-0.236
PDCL3	0.396333333333333
DECR1	-0.5155
SALL1	-5.0175
CADM4	0.3115
RPS18	1.49657142857143
HNRPD	-0.458916666666667
CFHR5	0.685666666666667
SLC10A7	0.472125
OR2K2	-0.094
LMAN1	-0.42225
SUHW1	-3.72175
CHD8	-0.2533
SUMO1	0.8611
GP1BA	1.0808
DDB1	0.1265
MYO9B	-0.3809
MMP7	3.791
CRNKL1	0.2605
C9orf45	-1.71316666666667
XAB2	0.539375
RTN1	1.287875
KLHL14	-1.56325
TBX10	-1.0355
CENPQ	-1.8775
UTY	-0.831
ZBTB12	-0.2325
DTNBP1	-0.08375
KBTBD8	-1.6415
ZEB1	-0.0301666666666667
ZG16	-1.28675
MIER1	0.81
ADAM5P	-0.431
CHD9	-0.4253125
STK16	0.347
KIAA1486	-0.17
TOB2	2.74158333333333
BANK1	2.01725
OR2V2	-0.1635
GRM2	-0.221666666666667
PROSC	-0.0755
SPIN2B	0.50875
PIR	-2.10544444444444
IPO9	0.0458
EVC	0.219333333333333
CXCL13	2.84283333333333
KIAA1199	-2.3025
SORL1	1.8635
NAT10	-0.42175
CHD1	-0.81625
SYN3	-0.3795
SLC22A2	-0.41575
SERPINF1	0.6255
WDR34	-0.503
OR7A17	0.49225
C9orf11	-0.387
RNF216L	-0.406
LHB	0.0575
STK25	-0.07075
TAOK3	0.942
LOC152573	-1.77375
C3orf39	0.737
C14orf108	0.263
CDC25B	-2.45563636363636
BMP3	0.032
TMEM180	-0.3915
MAP1LC3C	2.46975
CRYGC	-0.23
POU3F1	-0.892
C20orf32	-1.895
CCDC95	-0.452
HIGD1B	5.31575
USP6NL	-0.551875
ABCD4	-0.309
DIMT1L	-0.610666666666667
TEK	2.076875
SLC25A46	-0.5345
LARP7	-1.7905
CD160	-0.0355
MT1JP	-0.00799999999999999
PHF20	-0.199125
CPNE4	-1.79925
GTPBP1	0.065
RAB33B	1.599
ALDOC	-2.064875
ZNF212	-0.24975
NUDT1	-1.61016666666667
RFPL2	-1.46725
ZNF83	-0.603
GDPD5	0.03775
PDCD4	3.04
CEP350	0.677
OR10A2	0.30925
CST7	-0.197
CIAO1	-1.00825
SELL	1.844125
OR8J3	-0.386
LTBP4	0.515833333333333
SIRT6	0.43
CCL19	5.06875
PPIL1	-1.28283333333333
GBP7	-0.125
STK17A	-1.5242
ABR	0.52675
OR9G1	0.1255
FOXE1	-0.69
CNGA3	2.0955
GML	0.195
CD38	-1.01675
ZDHHC6	-0.0168333333333333
NEFH	-2.18925
CTDSP2	0.40725
PGBD5	-2.4085
CCNY	0.314285714285714
RMND5B	0.657666666666667
ZNF257	-4.07
FLJ22167	-1.062
EXOSC7	-0.3445
ROR2	1.125375
MAOA	2.876625
TNNT3	4.50233333333333
GYPC	-0.76775
C7orf33	1.0475
PLIN	5.125
LOC90826	-0.45625
RNF4	-0.56
F8A1	0.398833333333333
PLEKHG4	-0.23225
GRB2	0.4563
HIST1H2AD	-1.2735
DUS3L	-0.162
EIF1	-0.331
RP5-1077B9.4	-0.905
FPGT	1.14975
GDF10	3.6115
COQ9	-0.58025
GCC2	-0.230571428571429
RARRES3	3.4575
PLXNA1	-0.6477
KIAA0100	-0.7274
PMF1	0.7685
FNDC1	5.32825
HS2ST1	0.4655
CRELD2	0.9125
C8G	-2.219
CD82	-0.445
LIM2	-1.6195
UNQ6490	0.602
MMP16	-0.36575
DRD3	0.1255
C5orf26	0.76125
C11orf73	-1.368125
PTP4A2	1.3675
OR4M2	-0.625
HPCA	-1.2625
SEC14L1	-0.8875
CHFR	-0.84575
EMILIN1	0.895625
NDUFS4	-0.761
COL18A1	-0.3115
PDZD3	-0.033
C9orf16	0.816833333333333
ERBB2IP	0.289166666666667
EMX2	3.19325
FUS	-1.23475
TF	-2.8986
CLCN4	-0.4975
CXorf56	-0.413
C11orf72	0.241
ELAC2	-0.837583333333333
NPR1	1.1835
ASS1	-2.0165
USP42	-0.46125
POLR2J	-0.5575
SEC23IP	0.507833333333333
UQCRC1	0.02225
LOC729603	-0.227
C1orf71	0.113625
POLG	-2.5765
ADAM23	-3.279
TFR2	-0.70125
RICTOR	-1.4591
MGC39606	0.06125
C19orf55	-0.197875
