Hybridization REF	TCGA-AO-A0JE-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.539583333333333
CREB3L1	1.716
RPS11	0.554625
PNMA1	-0.03825
MMP2	1.57283333333333
C10orf90	-2.15175
ZHX3	-0.242666666666667
ERCC5	-0.385
GPR98	-0.00349999999999998
RXFP3	0.452
APBB2	0.6855
PRO0478	-1.534
KLHL13	-0.47
PRSSL1	-0.279166666666667
PDCL3	0.602833333333333
DECR1	-0.121125
SALL1	-2.25366666666667
CADM4	-0.616833333333333
RPS18	0.039
HNRPD	-0.780083333333333
CFHR5	-0.046
SLC10A7	1.21475
OR2K2	-0.44
LMAN1	0.68325
SUHW1	-3.46325
CHD8	-0.0902
SUMO1	0.69
GP1BA	1.2011
DDB1	0.406166666666667
MYO9B	0.0497
MMP7	6.32425
CRNKL1	1.095625
C9orf45	-2.84466666666667
XAB2	0.48075
RTN1	1.420625
KLHL14	-1.265375
TBX10	0.9975
CENPQ	-0.9295
UTY	-1.10085714285714
ZBTB12	-0.8105
DTNBP1	-0.156375
KBTBD8	-0.551333333333333
ZEB1	-0.649166666666667
ZG16	-0.54575
MIER1	0.28
ADAM5P	0.171
CHD9	-0.35075
STK16	1.676
KIAA1486	-1.2415
TOB2	1.11766666666667
BANK1	3.33
OR2V2	-0.166
GRM2	-0.172
PROSC	-0.086375
SPIN2B	0.00375
PIR	-0.669666666666667
IPO9	-0.4893
EVC	1.24983333333333
CXCL13	6.5205
KIAA1199	0.9693
SORL1	0.435
NAT10	-0.72425
CHD1	-0.70825
SYN3	0.39275
SLC22A2	-0.456
SERPINF1	1.78983333333333
WDR34	-0.50575
OR7A17	0.22075
C9orf11	-0.2645
RNF216L	-0.4544
LHB	0.021
STK25	-0.783375
TAOK3	0.852125
LOC152573	-3.34
C3orf39	0.303125
C14orf108	0.924
CDC25B	0.398363636363636
BMP3	0.562
TMEM180	-0.041
MAP1LC3C	0.05
CRYGC	-0.8845
POU3F1	-1.2184
C20orf32	-1.6235
CCDC95	-0.18
HIGD1B	4.63225
USP6NL	0.489875
ABCD4	0.340666666666667
DIMT1L	-0.961833333333333
TEK	1.48925
SLC25A46	-0.11775
LARP7	-1.8235
CD160	0.9298
MT1JP	-0.0876666666666667
PHF20	-0.1010625
CPNE4	-1.4815
GTPBP1	-0.3805
RAB33B	1.06433333333333
ALDOC	-2.730875
ZNF212	-0.55775
NUDT1	-0.462833333333333
RFPL2	-0.94075
ZNF83	0.335833333333333
GDPD5	0.4765
PDCD4	1.6866
CEP350	-0.45375
OR10A2	0.2055
CST7	2.145
CIAO1	-0.621
SELL	1.728875
OR8J3	0.7835
LTBP4	-0.5365
SIRT6	0.4475
CCL19	5.102
PPIL1	-0.4505
GBP7	1.711
STK17A	-0.2122
ABR	0.05625
OR9G1	-0.0644999999999999
FOXE1	-0.6465
CNGA3	3.1735
GML	0.3905
CD38	0.826
ZDHHC6	0.0503333333333333
NEFH	-2.15475
CTDSP2	0.6695
PGBD5	-1.913
CCNY	0.400428571428571
RMND5B	0.252833333333333
ZNF257	-1.7155
FLJ22167	0.104125
EXOSC7	-0.742
ROR2	1.544875
MAOA	-2.1435
TNNT3	-0.458166666666667
GYPC	-0.9445
C7orf33	1.67
PLIN	1.3635
LOC90826	0.0865
RNF4	-0.8018
F8A1	0.746666666666667
PLEKHG4	-1.65
GRB2	-0.12915
HIST1H2AD	1.40925
DUS3L	-0.948833333333333
EIF1	-0.200166666666667
RP5-1077B9.4	-1.0285
FPGT	1.0105
GDF10	-0.889166666666667
COQ9	0.06375
GCC2	-0.333857142857143
RARRES3	3.273375
PLXNA1	-0.7411
KIAA0100	1.3431
PMF1	-0.027
FNDC1	5.65625
HS2ST1	0.21925
CRELD2	1.3585
C8G	-1.7495
CD82	1.67075
LIM2	-0.8395
UNQ6490	0.186
MMP16	-0.769
DRD3	-0.25825
C5orf26	-0.71925
C11orf73	0.273
PTP4A2	1.41025
OR4M2	0.379
HPCA	-0.763
SEC14L1	-0.5435
CHFR	-0.0205
EMILIN1	1.287125
NDUFS4	-0.38175
COL18A1	0.236125
PDZD3	-0.241
C9orf16	0.147166666666667
ERBB2IP	-0.0808333333333333
EMX2	4.858
FUS	-1.147
TF	-3.8034
CLCN4	0.0713333333333333
CXorf56	-0.2145
C11orf72	0.355
ELAC2	-0.72075
NPR1	-0.759
ASS1	0.188
USP42	-0.8725
POLR2J	-1.9535
SEC23IP	0.5715
UQCRC1	-0.34
LOC729603	-0.53575
C1orf71	-0.161125
POLG	-1.839
ADAM23	-2.90125
TFR2	-1.17025
RICTOR	-1.2284
MGC39606	-0.741
C19orf55	-0.4935
SNAPC1	-0.608333333333333
GNA11	0.234125
CCDC52	0.1305
FSIP1	3.4505
UPF3A	-0.936625
IGSF11	-1.94716666666667
LAGE3	0.183
CHST6	-0.9905
UNC13B	-0.2115
TTLL4	-0.667375
ZNF687	0.211
SDC2	0.0743
COX7A2	-0.90025
LAMB4	-0.286
FAM24A	0.0585
LRRTM3	-1.19016666666667
GPHB5	0.2095
OR4C13	-0.5965
EIF3EIP	-0.146928571428571
HABP4	-0.6275
TMEM125	3.568
CNTN2	0.023
ASNSD1	-0.40125
FUT4	0.22675
ACF	-3.51575
LOC158381	1.099
CDH8	0.44075
AGPS	-0.835333333333333
C4orf18	2.671625
PECI	-0.157833333333333
UNG	0.2495
GSTP1	0.9045
DCUN1D5	-1.124
DKFZP564J0863	1.7605
SLC9A3R1	1.229625
BCDO2	-0.674125
CHMP7	-0.349125
REM2	0.2675
DNHD1	-0.245375
FKBP4	-0.85825
ZNF350	1.67825
MGC11102	0.529125
BST1	2.11025
KISS1R	1.276
NCR2	0.2935
DEFB125	0.661
UBE2W	0.789375
KRT15	1.3855
C10orf99	0.374
SCN11A	0.277375
GFI1	-0.942
RDHE2	4.8295
FHL1	-0.994333333333333
OSGEP	0.472833333333333
GATA1	-3.2815
SMC6	-0.73725
TTTY14	-1.10675
LPIN3	-0.15375
RPL4	-0.2769
RBPMS	-1.3953
PRPF3	-0.748833333333333
EMR1	-0.3935
SPATA19	0.243
XCR1	1.0125
IRX3	2.0091
RBM6	-1.12475
KLF4	-1.4839
UNC5CL	2.2305
SEBOX	-0.0565
BTK	0.15975
KRCC1	0.64525
C6orf27	0.4775
SYTL5	-1.081
PRND	2.08
LOC653319	-0.9675
PIGL	-1.67675
HUS1	-0.0628333333333333
SFRS6	0.463583333333333
C17orf77	0.866
UIMC1	-0.567833333333333
FXYD2	-1.8407
LOC283152	-0.2435
ZNF667	-0.7155
ZCCHC12	0.49
TFEC	4.2176
ATP7B	-1.04533333333333
POLD2	-1.11466666666667
RG9MTD1	-0.14725
ACOT2	0.528833333333333
HIST1H4I	-0.549625
PPARGC1A	-2.2602
ETFA	-0.4526
POLRMT	-0.29025
ZNF146	-0.28075
MIA2	-1.422
KLHL6	0.4575
HOXB5	-0.165375
NENF	1.08416666666667
CUGBP1	1.35625
PRSS22	2.267
CASC4	1.361
CUL4B	0.2191
CENPJ	-1.6938
PITX1	-0.324833333333333
FLJ31033	1.2995
CELSR3	-2.23816666666667
ZNF568	0.399
ITSN1	-0.572333333333333
EHBP1L1	-0.578833333333333
C19orf2	0.65175
DCTN1	0.185
LIN28B	-3.38966666666667
TNKS2	0.0315
C1QBP	-0.847125
CADPS2	1.43175
SRMS	0.4495
GJA9	-0.3555
MGC24975	0.0893333333333333
TRIM45	-0.574
TSP50	-0.28975
TCP1	-1.1785
