Hybridization REF	TCGA-B6-A0RI-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.3815
CREB3L1	0.709
RPS11	0.25
PNMA1	0.80625
MMP2	1.3545
C10orf90	-1.8045
ZHX3	-0.506
ERCC5	-0.0445
GPR98	0.65075
RXFP3	0.339
APBB2	1.54125
PRO0478	-1.165625
KLHL13	-2.43275
PRSSL1	-0.527166666666667
PDCL3	0.133166666666667
DECR1	-0.1405
SALL1	-2.10983333333333
CADM4	1.5055
RPS18	-0.00021428571428572
HNRPD	-0.661166666666667
CFHR5	0.1782
SLC10A7	0.526
OR2K2	-0.031
LMAN1	-0.406875
SUHW1	-4.536
CHD8	-0.2072
SUMO1	0.4044
GP1BA	-0.7644
DDB1	-0.1415
MYO9B	0.0418
MMP7	4.9685
CRNKL1	0.40275
C9orf45	-1.44916666666667
XAB2	0.842625
RTN1	1.10975
KLHL14	-1.3985
TBX10	-1.6355
CENPQ	-1.342
UTY	-1.60985714285714
ZBTB12	0.2435
DTNBP1	-0.182125
KBTBD8	-1.56583333333333
ZEB1	0.287833333333333
ZG16	-2.04825
MIER1	0.551
ADAM5P	0.683
CHD9	-0.3559375
STK16	1.0555
KIAA1486	-0.793
TOB2	1.15358333333333
BANK1	1.60475
OR2V2	-0.15975
GRM2	-0.0535
PROSC	0.43725
SPIN2B	-0.101
PIR	-5.09788888888889
IPO9	-0.2091
EVC	1.13883333333333
CXCL13	0.812333333333333
KIAA1199	0.8124
SORL1	1.069
NAT10	-0.63875
CHD1	-0.44875
SYN3	-0.60125
SLC22A2	-0.44075
SERPINF1	1.72966666666667
WDR34	-0.05
OR7A17	0.2715
C9orf11	0.3295
RNF216L	-0.245
LHB	-0.1625
STK25	0.088875
TAOK3	1.0365
LOC152573	-4.132
C3orf39	1.370625
C14orf108	0.226
CDC25B	-1.33536363636364
BMP3	-0.3075
TMEM180	0.0525
MAP1LC3C	-0.411
CRYGC	-0.2455
POU3F1	-1.6492
C20orf32	-2.0145
CCDC95	-0.282
HIGD1B	3.65425
USP6NL	-0.17625
ABCD4	-0.593
DIMT1L	-1.03908333333333
TEK	0.269875
SLC25A46	-0.50425
LARP7	-1.676
CD160	-0.272166666666667
MT1JP	-0.445166666666667
PHF20	0.36
CPNE4	-2.82933333333333
GTPBP1	-0.211285714285714
RAB33B	1.54083333333333
ALDOC	-2.377875
ZNF212	-0.1375
NUDT1	-1.22366666666667
RFPL2	-1.64325
ZNF83	0.0421666666666667
GDPD5	-0.811
PDCD4	2.4493
CEP350	0.4045
OR10A2	0.062
CST7	0.23825
CIAO1	-0.74975
SELL	-0.33925
OR8J3	0.5365
LTBP4	0.0395
SIRT6	0.24675
CCL19	1.40625
PPIL1	-1.27066666666667
GBP7	0.0626666666666666
STK17A	-0.6347
ABR	-0.075
OR9G1	-0.334
FOXE1	-1.051625
CNGA3	0.38
GML	0.5715
CD38	-4.79
ZDHHC6	0.261
NEFH	-1.93225
CTDSP2	0.956416666666667
PGBD5	-1.54866666666667
CCNY	0.362285714285714
RMND5B	0.716916666666667
ZNF257	-0.163
FLJ22167	-0.503125
EXOSC7	-0.7405
ROR2	1.689125
MAOA	-0.05775
TNNT3	0.216
GYPC	-1.25875
C7orf33	0.5195
PLIN	1.88166666666667
LOC90826	-0.09925
RNF4	0.1611
F8A1	0.325
PLEKHG4	-1.77225
GRB2	0.5595
HIST1H2AD	-0.792
DUS3L	-0.7055
EIF1	0.0085
RP5-1077B9.4	-0.9655
FPGT	1.64725
GDF10	-1.50633333333333
COQ9	-0.39
GCC2	-0.176357142857143
RARRES3	2.701625
PLXNA1	-0.2752
KIAA0100	-0.2374
PMF1	0.53375
FNDC1	5.31375
HS2ST1	-0.120583333333333
CRELD2	1.0515
C8G	-1.6235
CD82	0.1275
LIM2	-1.8235
UNQ6490	-0.084
MMP16	1.4965
DRD3	0.321
C5orf26	-1.10725
C11orf73	-0.272375
PTP4A2	1.68175
OR4M2	0.4635
HPCA	-0.790166666666667
SEC14L1	-0.636333333333333
CHFR	0.165875
EMILIN1	1.4175
NDUFS4	-0.38375
COL18A1	0.393625
PDZD3	-0.0804
C9orf16	0.1045
ERBB2IP	0.155
EMX2	4.2605
FUS	-0.64425
TF	-4.1812
CLCN4	-1.3565
CXorf56	-0.64925
C11orf72	0.45575
ELAC2	-1.25433333333333
NPR1	-1.6485
ASS1	-3.78966666666667
USP42	0.044
POLR2J	-0.374
SEC23IP	0.8015
UQCRC1	0.05925
LOC729603	-0.252
C1orf71	0.033125
POLG	-1.761
ADAM23	-3.19275
TFR2	-1.45175
RICTOR	-1.1299
MGC39606	0.0505
C19orf55	-0.20775
SNAPC1	-1.662
GNA11	0.90075
CCDC52	0.2285
FSIP1	5.865
UPF3A	-0.28975
IGSF11	-2.90483333333333
LAGE3	0.67525
CHST6	-1.172
UNC13B	0.963
TTLL4	-0.8565
ZNF687	0.48925
SDC2	1.9861
COX7A2	-0.08825
LAMB4	-0.40875
FAM24A	-0.199
LRRTM3	-1.16033333333333
GPHB5	-0.17925
OR4C13	-0.8065
EIF3EIP	-0.00314285714285715
HABP4	-0.7055
TMEM125	3.69675
CNTN2	-0.297625
ASNSD1	0.0115
FUT4	-0.181375
ACF	-4.31525
LOC158381	0.7185
CDH8	-0.39475
AGPS	0.533833333333333
C4orf18	3.290875
PECI	-0.481583333333333
UNG	-0.730375
GSTP1	-2.02675
DCUN1D5	0.0275
DKFZP564J0863	-0.7515
SLC9A3R1	2.73025
BCDO2	-0.184
CHMP7	0.445125
REM2	1.376
DNHD1	-0.705125
FKBP4	-0.469
ZNF350	2.0365
MGC11102	-0.03725
BST1	1.42775
KISS1R	1.039
NCR2	0.201
DEFB125	0.1255
UBE2W	0.6235
KRT15	0.868125
C10orf99	0.358
SCN11A	-0.149125
GFI1	-3.39375
RDHE2	3.83616666666667
FHL1	-1.02133333333333
OSGEP	0.0511666666666667
GATA1	-3.57766666666667
SMC6	-0.8115
TTTY14	-1.55225
LPIN3	-0.10275
RPL4	-0.3725
RBPMS	0.3705
PRPF3	0.0416666666666667
EMR1	-2.424
SPATA19	0.133
XCR1	1.5805
IRX3	2.3535
RBM6	-0.49625
KLF4	-0.8608
UNC5CL	2.42325
SEBOX	0.3935
BTK	-0.667
KRCC1	1.16275
C6orf27	0.709
SYTL5	1.55
PRND	1.78928571428571
LOC653319	-1.107
PIGL	-1.846125
HUS1	-0.0221666666666667
SFRS6	1.03475
C17orf77	0.4
UIMC1	-0.637833333333333
FXYD2	-2.1887
LOC283152	0.52725
ZNF667	-0.17025
ZCCHC12	-0.635
TFEC	2.8712
ATP7B	2.20283333333333
POLD2	-0.7725
RG9MTD1	-0.4235
ACOT2	1.08066666666667
HIST1H4I	-0.964625
PPARGC1A	-2.6876
ETFA	-1.3536
POLRMT	-0.34875
ZNF146	0.162625
MIA2	-2.2585
KLHL6	-1.7645
HOXB5	1.368125
NENF	1.444
CUGBP1	0.2055
PRSS22	1.93866666666667
CASC4	1.2285
CUL4B	-0.0531
CENPJ	-1.3558
PITX1	0.0733333333333333
FLJ31033	0.622
CELSR3	-0.747333333333333
ZNF568	0.7945
ITSN1	-0.576
EHBP1L1	-0.616166666666667
C19orf2	-0.9235
DCTN1	0.7745
LIN28B	-4.45583333333333
TNKS2	0.8925
C1QBP	-1.700375
CADPS2	1.4625
SRMS	0.69325
GJA9	0.209
MGC24975	-0.365
TRIM45	0.101666666666667
TSP50	-0.18625
TCP1	-0.821
TMED7	0.4365
CMA1	0.199
CENPL	-0.501666666666667
PTCRA	-0.0575
FST	-3.256
VWCE	-4.03375
PAWR	0.35725
ABCC12	0.167333333333333
LDLR	0.7841
ASTN2	1.5507
LOC441212	-0.81275
GPATCH8	0.00250000000000001
TANC2	-0.3155
KIF4A	-1.10225
C18orf18	-1.0625
PGM1	-1.087
KIAA0258	1.01725
CPD	0.9215
SNCAIP	-1.87225
DCT	-4.5975
HLA-DOA	2.48959090909091
OR11L1	0.405
UPK1B	-0.465333333333333
DNAJB4	-0.2025
UGT1A8	-0.37775
HIST1H4L	-1.411
PECR	-1.64083333333333
HSPA2	2.34975
WFIKKN1	-2.633
SERP1	1.13
SYDE2	1.086
TACR2	0.565
NUP85	-0.07425
CD177	-0.504666666666667
LGR5	-2.07916666666667
PIGG	0.00425
PTHR1	-1.17533333333333
RAB5A	0.3331
FLJ13224	-0.688
USP9Y	-1.603
C7orf53	-1.022
LRP1B	6.00075
XAF1	1.3352
ABCG8	-0.183
ANKDD1A	-0.643166666666667
DAND5	-3.203
SPAG6	-0.00699999999999999
LINCR	0.18125
ZDHHC22	-1.864625
CCDC60	0.174
THOC7	-1.32933333333333
TCTA	0.885
OR8K3	-0.00449999999999998
NY-REN-7	-0.47575
B2M	1.235
C6orf141	-0.405125
LPPR4	1.06325
SQLE	-0.901
SEPHS1	-0.86875
BTBD14B	0.482785714285714
PLRG1	-0.34825
SPG7	-0.363125
ZNF614	0.110666666666667
PARD6G	1.061
INPP5B	-0.5788
GRPEL2	-0.289
PPID	-0.6666
TRIM56	-0.51625
UBE2J1	-0.137625
IL20RA	2.79675
LOC387856	0.95475
C1orf107	0.350083333333333
UTS2R	0.9255
C19orf22	0.23425
SAFB2	-0.204875
KIAA0652	0.274625
KLRG1	-1.25166666666667
MS4A8B	2.70833333333333
FRAG1	0.579
KIAA1546	0.8585
E2F4	-1.1929
CLEC4M	0.542
BTBD14A	-0.84025
KIAA0999	1.5113
GYPA	-4.2028
TAC1	2.1342
TRAIP	-1.018
KIAA0232	1.0458
ERCC8	-0.983
GPX4	0.710125
KIAA0368	-0.245875
GPR157	-0.7745
CTAGE4	1.995
C9orf30	-1.04933333333333
OR52A1	-0.118
HSP90B3P	0.043
ALG9	-0.1724
BTBD10	0.75375
SDK2	0.06225
BAIAP3	-0.89175
RABGGTB	-0.978875
ANKRD40	0.163
KRT74	0.4805
CALCOCO2	0.131571428571429
SNCA	-3.69225
TMSL8	-4.589375
C2orf53	-0.5015
ESRRB	-0.6015
ARHGAP26	0.66725
TDRD9	-3.15775
HRAS	0.234833333333333
KLRC4	-2.8045
JAGN1	-0.719333333333333
BSDC1	0.2555
RNF43	-1.0274
NDUFAF1	-0.1535
PHF12	0.72225
OR1L3	0.0525
FOLR2	1.3745
LYZL6	0.345666666666667
tcag7.1260	-1.8595
WSB1	-1.484
PROS1	-1.1813
OSTN	0.7145
PSMB8	0.3225
SOCS4	-0.14125
DDIT4L	3.55175
MAS1	0.3165
MGC34796	1.6475
CSHL1	0.203
TBCCD1	0.195666666666667
ZBTB7C	0.6435
AP2S1	-0.03975
P15RS	0.5784
VAT1	-0.3229
SHANK3	0.781333333333333
TUFM	-0.398166666666667
THEG	-0.24525
KRT34	-2.62375
SGSM3	1.3545
TOMM22	-0.54275
SOCS3	1.2865
CPO	1.6915
POP4	0.15125
BHLHB3	1.894
MALL	-0.23
OR1B1	0.5535
PARK2	0.394
GPR124	0.924875
LCE1E	0.172
RUVBL2	-0.49975
CGRRF1	0.5009
ACPL2	0.38025
WNT10B	-2.87775
BAIAP2L2	-2.505375
ISCA1	0.3355
C1orf125	0.602375
RPAP1	-1.038
RAI16	0.301
RPL27	-0.763375
NLRP9	0.2015
EPN1	0.758
LOC388610	-1.111125
SLC35A1	0.4539
GAL	-4.38875
SLC14A2	0.28825
RDH11	0.541
FAM138F	-0.7285
AUH	-0.1255
FLJ40243	-0.03275
C14orf129	0.568333333333333
MBD2	0.02
ABHD14B	0.471375
PIGT	0.45375
ALS2CR4	-0.430875
ALAS1	-0.248
FOXO1	0.876833333333333
CRLF3	-0.432875
C20orf107	0.129
FARS2	0.3955
CCDC28A	0.257
NPHP3	-0.69725
OR13F1	0.4125
TSEN54	-0.23325
DEFB106B	0.299666666666667
OR8B4	0.4475
STH	2.5905
ZC3H14	-0.23575
CBX2	-0.269
TMEM49	-0.42575
C6orf21	0.4995
FLJ20920	-0.7305
CRTAP	-0.114
DDX50	-0.204
STYXL1	0.26875
BLVRB	-0.329833333333333
LOC147650	0.813833333333333
MMP24	0.46875
GRID1	0.738
BANF1	-0.176833333333333
CTAGEP	0.726
HMBS	-1.84575
SLC25A24	0.8025
C14orf50	1.447
MRO	2.114
SLC25A15	-0.89675
FAM84B	0.8292
TDP1	-0.937
C16orf78	-0.2075
C11orf57	-0.23575
RFK	-0.733375
ZFYVE9	-0.742125
