Hybridization REF	TCGA-BH-A0B8-01A-21R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.779166666666667
CREB3L1	1.23175
RPS11	0.923875
PNMA1	0.89725
MMP2	0.165666666666667
C10orf90	-2.60125
ZHX3	1.18566666666667
ERCC5	-0.81825
GPR98	-2.054
RXFP3	0.06
APBB2	0.39075
PRO0478	-1.088875
KLHL13	-3.894
PRSSL1	-1.37133333333333
PDCL3	0.696
DECR1	0.250875
SALL1	-4.30366666666667
CADM4	0.474333333333333
RPS18	0.9295
HNRPD	-0.65175
CFHR5	0.4086
SLC10A7	0.09525
OR2K2	-1.296
LMAN1	-0.398375
SUHW1	-4.28875
CHD8	0.2434
SUMO1	0.3095
GP1BA	-0.1495
DDB1	0.112333333333333
MYO9B	-0.2148
MMP7	5.42375
CRNKL1	1.09925
C9orf45	-1.35766666666667
XAB2	1.022125
RTN1	0.918
KLHL14	-1.602875
TBX10	-1.519
CENPQ	-1.22725
UTY	-1.62108333333333
ZBTB12	0.8845
DTNBP1	-0.244375
KBTBD8	-1.509
ZEB1	0.264666666666667
ZG16	-1.25975
MIER1	0.0707
ADAM5P	0.803
CHD9	-0.33375
STK16	-0.20675
KIAA1486	-0.834
TOB2	0.636
BANK1	1.949
OR2V2	0.119666666666667
GRM2	0.1085
PROSC	0.701125
SPIN2B	-0.13075
PIR	-2.40044444444444
IPO9	-0.337111111111111
EVC	0.588
CXCL13	1.162
KIAA1199	-1.0777
SORL1	1.0345
NAT10	-0.0665
CHD1	-0.40175
SYN3	0.12275
SLC22A2	-0.88925
SERPINF1	0.101666666666667
WDR34	-1.01375
OR7A17	-0.1855
C9orf11	-0.314
RNF216L	-0.0717
LHB	-0.5005
STK25	-0.282375
TAOK3	0.79275
LOC152573	-2.88425
C3orf39	0.489125
C14orf108	0.424
CDC25B	-1.35263636363636
BMP3	0.211
TMEM180	0.2755
MAP1LC3C	0.35125
CRYGC	-0.3225
POU3F1	-1.7378
C20orf32	-2.5125
CCDC95	-0.2135
HIGD1B	4.44375
USP6NL	-1.2135
ABCD4	-0.8325
DIMT1L	-0.273
TEK	1.18425
SLC25A46	0.21225
LARP7	-2.4163
CD160	0.209833333333333
MT1JP	-2.20516666666667
PHF20	0.09
CPNE4	-1.33825
GTPBP1	-0.0847142857142857
RAB33B	1.23766666666667
ALDOC	-1.8705
ZNF212	-0.79225
NUDT1	-0.7455
RFPL2	0.0685
ZNF83	0.296333333333333
GDPD5	-1.218625
PDCD4	2.8404
CEP350	0.27425
OR10A2	0.05575
CST7	0.44125
CIAO1	-1.84275
SELL	0.79775
OR8J3	-0.039
LTBP4	-0.8265
SIRT6	-0.17675
CCL19	3.6885
PPIL1	-0.342166666666667
GBP7	0.476
STK17A	-1.125
ABR	0.564
OR9G1	0.518
FOXE1	-1.5435
CNGA3	2.4485
GML	-0.1115
CD38	-3.92
ZDHHC6	0.489833333333333
NEFH	-3.51525
CTDSP2	0.777833333333333
PGBD5	1.744
CCNY	0.378714285714286
RMND5B	1.24033333333333
ZNF257	-3.3905
FLJ22167	0.504625
EXOSC7	-0.695333333333333
ROR2	0.538
MAOA	1.7405
TNNT3	0.785166666666667
GYPC	-1.47675
C7orf33	0.4075
PLIN	4.2075
LOC90826	-0.931
RNF4	-0.3962
F8A1	-0.601166666666667
PLEKHG4	-1.3285
GRB2	0.6233
HIST1H2AD	-0.32225
DUS3L	0.149666666666667
EIF1	0.2165
RP5-1077B9.4	-1.45233333333333
FPGT	1.381
GDF10	0.313
COQ9	-0.79525
GCC2	0.756571428571428
RARRES3	2.62625
PLXNA1	-0.6756
KIAA0100	-0.3579
PMF1	-0.26025
FNDC1	5.116
HS2ST1	-1.29733333333333
CRELD2	0.7365
C8G	-2.671
CD82	0.5345
LIM2	-2.3335
UNQ6490	-1.738
MMP16	-0.48375
DRD3	-0.4005
C5orf26	0.11375
C11orf73	-0.711125
PTP4A2	-0.116
OR4M2	0.1765
HPCA	-1.02283333333333
SEC14L1	-1.07933333333333
CHFR	-0.317
EMILIN1	0.495625
NDUFS4	0.18375
COL18A1	-0.67525
PDZD3	-0.2431
C9orf16	-0.476333333333333
ERBB2IP	0.449833333333333
EMX2	3.373
FUS	-0.757
TF	-4.4568
CLCN4	-0.596333333333333
CXorf56	0.65025
C11orf72	0.12275
ELAC2	-0.222166666666667
NPR1	-0.75075
ASS1	-2.8325
USP42	0.251375
POLR2J	-1.233
SEC23IP	1.36366666666667
UQCRC1	-0.18125
LOC729603	-0.88
C1orf71	0.261125
POLG	-2.664
ADAM23	-3.9005
TFR2	-2.35075
RICTOR	-0.4811
MGC39606	-0.17425
C19orf55	-0.210875
SNAPC1	-1.45616666666667
GNA11	1.078375
CCDC52	-0.748333333333333
FSIP1	5.858
UPF3A	-0.613875
IGSF11	-4.1746
LAGE3	0.049
CHST6	-3.322
UNC13B	0.55225
TTLL4	-1.065875
ZNF687	0.672375
SDC2	-1.1223
COX7A2	-0.94
LAMB4	-0.07375
FAM24A	-0.5845
LRRTM3	-0.799666666666667
GPHB5	0.0975
OR4C13	1.0235
EIF3EIP	0.143
HABP4	-0.894
TMEM125	2.976
CNTN2	0.681875
ASNSD1	0.15725
FUT4	-1.108
ACF	-4.517
LOC158381	-0.137
CDH8	-0.2265
AGPS	-2.669
C4orf18	1.6725
PECI	-0.0533333333333333
UNG	-0.3545
GSTP1	-3.322625
DCUN1D5	-1.9395
DKFZP564J0863	-1.39625
SLC9A3R1	0.633375
BCDO2	-1.684
CHMP7	-0.191375
REM2	0.017
DNHD1	-1.18242857142857
FKBP4	0.127
ZNF350	1.513
MGC11102	0.053375
BST1	0.8375
KISS1R	0.245
NCR2	0.3015
DEFB125	1.3555
UBE2W	1.356875
KRT15	-2.727625
C10orf99	-0.169
SCN11A	-0.0495714285714286
GFI1	-3.31375
RDHE2	-0.222333333333333
FHL1	-0.330166666666667
OSGEP	-0.381833333333333
GATA1	-3.81316666666667
SMC6	-0.4285
TTTY14	-1.66775
LPIN3	0.2955
RPL4	-0.5914
RBPMS	-1.2548
PRPF3	-0.8725
EMR1	-2.873
SPATA19	0.131
XCR1	-0.014
IRX3	1.7271
RBM6	-1.06825
KLF4	-0.4022
UNC5CL	-0.55325
SEBOX	-0.5805
BTK	-1.21775
KRCC1	1.27575
C6orf27	0.12
SYTL5	-0.7385
PRND	1.43775
LOC653319	-1.7365
PIGL	-0.46125
HUS1	-0.376166666666667
SFRS6	0.220666666666667
C17orf77	0.685
UIMC1	-0.734
FXYD2	-2.4725
LOC283152	-1.4975
ZNF667	-1.506
ZCCHC12	-0.90525
TFEC	2.5033
ATP7B	0.5895
POLD2	0.0935
RG9MTD1	-0.01925
ACOT2	1.12983333333333
HIST1H4I	-1.354875
PPARGC1A	-3.28366666666667
ETFA	-1.8419
POLRMT	-0.0785
ZNF146	0.636625
MIA2	-1.483
KLHL6	-1.59666666666667
HOXB5	1.55375
NENF	0.530333333333333
CUGBP1	0.35025
PRSS22	0.9325
CASC4	1.5384
CUL4B	0.4957
CENPJ	-1.576
PITX1	0.347833333333333
FLJ31033	1.3485
CELSR3	0.254333333333333
ZNF568	0.92575
ITSN1	0.181166666666667
EHBP1L1	-0.994166666666667
C19orf2	0.68375
DCTN1	0.51975
LIN28B	-4.79
TNKS2	-0.42525
C1QBP	-0.233375
CADPS2	-1.434
SRMS	0.65525
GJA9	0.32
MGC24975	-0.951666666666667
TRIM45	0.904666666666667
TSP50	-1.23825
TCP1	-1.53575
TMED7	0.8035
CMA1	-0.5275
CENPL	-0.7835
PTCRA	-0.3815
FST	-4.40525
VWCE	-4.56075
PAWR	0.0785
