Hybridization REF	TCGA-BH-A0DK-01A-21R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.157666666666667
CREB3L1	1.0215
RPS11	0.41575
PNMA1	0.567
MMP2	0.633666666666667
C10orf90	-2.00075
ZHX3	-1.11516666666667
ERCC5	0.04125
GPR98	-0.955875
RXFP3	0.638
APBB2	2.16025
PRO0478	-1.36975
KLHL13	0.09
PRSSL1	-0.852833333333333
PDCL3	0.419666666666667
DECR1	-0.2005
SALL1	-3.37733333333333
CADM4	0.722333333333333
RPS18	0.454857142857143
HNRPD	-0.289083333333333
CFHR5	-0.0291666666666667
SLC10A7	0.524
OR2K2	-1.567
LMAN1	-0.39625
SUHW1	-3.86675
CHD8	-0.1053
SUMO1	0.6288
GP1BA	2.0489
DDB1	-0.752666666666667
MYO9B	-0.1463
MMP7	6.9495
CRNKL1	0.885
C9orf45	-2.39266666666667
XAB2	0.655125
RTN1	1.4155
KLHL14	0.195375
TBX10	-1.3225
CENPQ	-0.92575
UTY	-1.34969230769231
ZBTB12	-0.209
DTNBP1	-0.353875
KBTBD8	-0.214333333333333
ZEB1	1.01733333333333
ZG16	0.26475
MIER1	0.4918
ADAM5P	0.6845
CHD9	0.07875
STK16	0.5555
KIAA1486	-0.9255
TOB2	1.73466666666667
BANK1	5.047
OR2V2	0.15525
GRM2	0.0283333333333333
PROSC	0.22975
SPIN2B	-0.07575
PIR	-1.03311111111111
IPO9	-0.3789
EVC	0.903333333333333
CXCL13	6.93083333333333
KIAA1199	-1.768
SORL1	1.19
NAT10	-1.1815
CHD1	-0.18425
SYN3	-0.5465
SLC22A2	-0.6595
SERPINF1	0.516
WDR34	-0.3415
OR7A17	-0.228
C9orf11	0.334
RNF216L	-0.0595
LHB	0.0635
STK25	-0.231625
TAOK3	0.78825
LOC152573	-3.20033333333333
C3orf39	0.017
C14orf108	0.3053
CDC25B	-1.381
BMP3	0.259
TMEM180	0.1625
MAP1LC3C	1.01925
CRYGC	-0.5395
POU3F1	-1.1914
C20orf32	-1.4115
CCDC95	-0.777
HIGD1B	4.767
USP6NL	-0.361875
ABCD4	-0.426333333333333
DIMT1L	-0.677333333333333
