Hybridization REF	TCGA-BH-A0GZ-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.01575
CREB3L1	0.9015
RPS11	-0.56975
PNMA1	0.6355
MMP2	1.16716666666667
C10orf90	-2.94775
ZHX3	0.586166666666667
ERCC5	-0.46175
GPR98	0.579
RXFP3	0.791
APBB2	2.2405
PRO0478	-0.9675
KLHL13	-1.77275
PRSSL1	-1.01983333333333
PDCL3	1.04333333333333
DECR1	0.34825
SALL1	-2.905
CADM4	1.745
RPS18	-0.695928571428571
HNRPD	-1.62483333333333
CFHR5	1.306
SLC10A7	-0.23925
OR2K2	-0.214
LMAN1	-1.211875
SUHW1	-4.469
CHD8	0.2486
SUMO1	0.8119
GP1BA	0.1272
DDB1	-0.8455
MYO9B	-0.3427
MMP7	5.786
CRNKL1	0.483375
C9orf45	-2.44733333333333
XAB2	0.548625
RTN1	0.889857142857143
KLHL14	-0.7125
TBX10	-1.443
CENPQ	-1.29
UTY	-1.08391666666667
ZBTB12	0.12
DTNBP1	-0.348125
KBTBD8	-1.02016666666667
ZEB1	1.54683333333333
ZG16	-0.75475
MIER1	0.6989
ADAM5P	-0.1585
CHD9	0.8355
STK16	0.377
KIAA1486	-1.444
TOB2	0.953416666666667
BANK1	1.9075
OR2V2	-0.2395
GRM2	-0.220166666666667
PROSC	0.20075
SPIN2B	-0.1565
PIR	-3.06
IPO9	0.219
EVC	1.876
CXCL13	1.9555
KIAA1199	0.2725
SORL1	1.25025
NAT10	-0.55775
CHD1	0.102
SYN3	0.19625
SLC22A2	-0.15725
SERPINF1	0.742666666666667
WDR34	-0.91525
OR7A17	0.12475
C9orf11	-0.892
RNF216L	0.0719
LHB	-0.025
STK25	-0.636625
TAOK3	0.90325
LOC152573	-2.25625
C3orf39	0.787125
C14orf108	0.0355999999999999
CDC25B	-2.211
BMP3	0.29
TMEM180	-0.457
MAP1LC3C	-0.039
CRYGC	-0.1995
POU3F1	-1.357
C20orf32	-2.266
CCDC95	-0.342
HIGD1B	4.44725
USP6NL	0.151875
ABCD4	-0.517
DIMT1L	-0.731666666666667
TEK	1.80485714285714
SLC25A46	-0.8765
LARP7	-1.6692
CD160	0.351666666666667
MT1JP	-0.530833333333333
PHF20	-0.04475
CPNE4	2.065
GTPBP1	-0.939571428571429
RAB33B	0.766666666666667
ALDOC	-3.540375
ZNF212	-0.48175
NUDT1	-0.637166666666667
RFPL2	1.543
ZNF83	-0.807166666666667
GDPD5	-1.481125
PDCD4	1.48705
CEP350	0.29075
OR10A2	0.06125
CST7	1.45475
CIAO1	-0.53975
SELL	0.61225
OR8J3	-0.327
LTBP4	-0.353166666666667
SIRT6	0.31
CCL19	3.81925
PPIL1	-0.529666666666667
GBP7	0.7008
STK17A	-0.8765
ABR	1.2345
