Hybridization REF	TCGA-BH-A0HX-01A-21R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.337166666666667
CREB3L1	0.16175
RPS11	-0.074375
PNMA1	-0.056
MMP2	0.420166666666667
C10orf90	-2.2745
ZHX3	-0.0775
ERCC5	-0.57325
GPR98	1.378
RXFP3	0.7435
APBB2	1.25275
PRO0478	-0.87475
KLHL13	-2.83825
PRSSL1	-0.168166666666667
PDCL3	0.344333333333333
DECR1	0.665625
SALL1	-3.8565
CADM4	0.7325
RPS18	-0.396285714285714
HNRPD	-0.644833333333333
CFHR5	0.5225
SLC10A7	0.367625
OR2K2	0.721
LMAN1	-1.26075
SUHW1	-4.14075
CHD8	-0.3661
SUMO1	-0.1476
GP1BA	0.1507
DDB1	-0.594166666666667
MYO9B	-0.3911
MMP7	4.808
CRNKL1	0.785
C9orf45	-1.82
XAB2	0.26375
RTN1	1.478
KLHL14	-1.379625
TBX10	-1.351
CENPQ	-1.67275
UTY	-1.78521428571429
ZBTB12	-0.6515
DTNBP1	-0.5625
KBTBD8	-1.16716666666667
ZEB1	1.28783333333333
ZG16	-0.42025
MIER1	0.6048
ADAM5P	0.673
CHD9	-0.338375
STK16	-0.031
KIAA1486	-1.3585
TOB2	0.56375
BANK1	3.11125
OR2V2	0.6465
GRM2	0.00666666666666668
PROSC	1.09175
SPIN2B	-0.1005
PIR	-1.153
IPO9	-0.2656
EVC	0.432
CXCL13	3.02483333333333
KIAA1199	1.184
SORL1	1.8635
NAT10	-0.73675
CHD1	-0.19975
SYN3	0.365
SLC22A2	-0.5925
SERPINF1	1.313
WDR34	0.40725
OR7A17	0.25075
C9orf11	0.246
RNF216L	-0.3871
LHB	-0.196
STK25	-0.581625
TAOK3	0.85625
LOC152573	-1.66275
C3orf39	0.7275
C14orf108	-0.618
CDC25B	-0.818454545454546
BMP3	0.2445
TMEM180	-0.2095
MAP1LC3C	-0.688
CRYGC	-1.0715
POU3F1	-1.652
C20orf32	-1.5015
CCDC95	-0.2025
HIGD1B	4.33125
USP6NL	-1.00025
ABCD4	-0.787
DIMT1L	-0.7205
TEK	1.978875
SLC25A46	-0.5175
LARP7	-1.3841
CD160	0.131333333333333
MT1JP	-0.0315
PHF20	0.31175
