Hybridization REF	TCGA-AO-A0JF-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.294166666666667
CREB3L1	0.516
RPS11	0.47025
PNMA1	0.46075
MMP2	1.25
C10orf90	-1.627
ZHX3	-0.544833333333333
ERCC5	-0.2285
GPR98	0.184571428571429
RXFP3	0.3825
APBB2	1.1725
PRO0478	-1.356375
KLHL13	-2.098
PRSSL1	-1.28916666666667
PDCL3	0.642
DECR1	0.306
SALL1	-3.35816666666667
CADM4	0.819166666666667
RPS18	-0.156642857142857
HNRPD	-0.50675
CFHR5	0.985333333333333
SLC10A7	0.165875
OR2K2	-0.7585
LMAN1	-0.275
SUHW1	-3.76825
CHD8	-0.549
SUMO1	0.6373
GP1BA	0.4019
DDB1	-0.216
MYO9B	-0.4496
MMP7	5.884
CRNKL1	0.398875
C9orf45	-2.20983333333333
XAB2	0.247875
RTN1	2.91975
KLHL14	-0.878625
TBX10	-1.4095
CENPQ	-1.2815
UTY	-1.26627272727273
ZBTB12	0.0205
DTNBP1	-0.061625
KBTBD8	-0.659333333333333
ZEB1	1.37316666666667
ZG16	-1.49825
MIER1	0.8174
ADAM5P	0.418
CHD9	-0.3530625
STK16	0.4625
KIAA1486	-1.097
TOB2	0.684083333333333
BANK1	3.755
OR2V2	0.22125
GRM2	-0.0715
PROSC	0.571625
SPIN2B	0.329
PIR	-2.08566666666667
IPO9	-0.6803
EVC	1.01
CXCL13	3.00716666666667
KIAA1199	-1.0517
SORL1	1.711
NAT10	-1.04375
CHD1	-0.6515
SYN3	-0.43025
SLC22A2	-0.41325
SERPINF1	2.028
WDR34	-0.675
OR7A17	0.17025
C9orf11	-0.1635
RNF216L	-0.5929
LHB	-0.4555
STK25	-0.38325
TAOK3	0.3695
LOC152573	-1.88525
C3orf39	0.563625
C14orf108	0.6604
CDC25B	-2.41190909090909
BMP3	3.441
TMEM180	0.081
MAP1LC3C	3.2615
CRYGC	-0.2535
POU3F1	-1.8074
C20orf32	-1.816
CCDC95	-0.96
HIGD1B	4.8775
USP6NL	-0.29325
ABCD4	0.223833333333333
DIMT1L	-0.85825
TEK	2.726375
SLC25A46	-0.13975
LARP7	-1.8385
CD160	0.828166666666667
MT1JP	-0.6375
PHF20	-0.109375
CPNE4	-1.1605
GTPBP1	-0.447785714285714
RAB33B	1.623
ALDOC	-2.276125
ZNF212	-0.56425
NUDT1	-1.14633333333333
RFPL2	-0.79275
ZNF83	-0.258166666666667
GDPD5	-0.3305
PDCD4	2.84165
CEP350	-0.135
OR10A2	-0.131
CST7	1.76425
CIAO1	-0.9835
SELL	1.26225
OR8J3	-1.618
LTBP4	0.435166666666667
SIRT6	-0.411
CCL19	4.708
PPIL1	-0.894
GBP7	-0.257166666666667
STK17A	-0.3793
ABR	0.554
OR9G1	0.396
FOXE1	-1.043
CNGA3	2.11
GML	0.1845
CD38	-3.24225
ZDHHC6	0.0506666666666667
NEFH	-2.37175
CTDSP2	0.970666666666667
PGBD5	-1.23566666666667
CCNY	0.417285714285714
RMND5B	0.352083333333333
ZNF257	-0.9705
FLJ22167	-0.24675
EXOSC7	-0.440666666666667
ROR2	1.75325
MAOA	1.325875
TNNT3	3.18516666666667
GYPC	-0.12125
C7orf33	0.95
PLIN	4.5045
LOC90826	0.0165
RNF4	-0.3542
F8A1	0.197
PLEKHG4	-2.102
GRB2	0.0779
HIST1H2AD	0.942
DUS3L	-0.739833333333333
EIF1	-0.369666666666667
RP5-1077B9.4	-1.4515
FPGT	2.17225
GDF10	4.306
COQ9	-0.8275
GCC2	0.261285714285714
RARRES3	3.11825
PLXNA1	-0.7795
KIAA0100	-0.1685
PMF1	0.21975
FNDC1	5.47925
HS2ST1	-0.0139166666666667
CRELD2	0.56975
C8G	-1.9165
CD82	0.7745
LIM2	-1.2975
UNQ6490	0.728
MMP16	0.8655
DRD3	-0.264
C5orf26	-0.77475
C11orf73	0.023875
PTP4A2	1.455625
OR4M2	0.173
HPCA	-0.995833333333333
SEC14L1	-0.762833333333333
CHFR	-0.509125
EMILIN1	1.031875
NDUFS4	-0.08
COL18A1	0.192625
PDZD3	-0.4008
C9orf16	0.128166666666667
ERBB2IP	0.242166666666667
EMX2	5.253
FUS	-1.47275
TF	-3.1419
CLCN4	0.276
CXorf56	0.285
C11orf72	0.4905
ELAC2	-0.581416666666667
NPR1	0.549
ASS1	-1.63566666666667
USP42	-0.228875
POLR2J	-0.9895
SEC23IP	0.846
UQCRC1	0.13175
LOC729603	-0.4325
C1orf71	-0.030875
POLG	-2.9405
ADAM23	-3.3285
TFR2	-2.15025
RICTOR	-1.101
MGC39606	0.223
C19orf55	-0.62975
SNAPC1	-1.27383333333333
GNA11	0.562375
CCDC52	-0.102333333333333
FSIP1	4.9345
UPF3A	-0.607875
IGSF11	-2.4795
LAGE3	-0.09425
CHST6	-1.208
UNC13B	0.62675
TTLL4	-1.77875
ZNF687	0.30175
SDC2	0.8494
COX7A2	0.07225
LAMB4	-0.0513333333333333
FAM24A	0.149
LRRTM3	-1.45733333333333
GPHB5	-0.027
OR4C13	0.093
EIF3EIP	0.0299285714285714
HABP4	-0.044
TMEM125	3.337
CNTN2	-0.208
ASNSD1	-0.19675
FUT4	0.136
ACF	-4.101
LOC158381	1.3385
CDH8	-0.1
AGPS	-0.186166666666667
C4orf18	3.557125
PECI	0.57675
UNG	-0.519125
GSTP1	-1.110625
DCUN1D5	-1.00816666666667
DKFZP564J0863	-0.7205
SLC9A3R1	0.275125
