Sample,CNA_filepath,GE_filepath
TCGA-AO-A0JL-01A,CNA/A04_697150.hg19.txt,GE/US82800149_251976012210_S01.tcga_level3.txt
TCGA-BH-A0HF-01A,CNA/A05_697032.hg19.txt,GE/US82800149_251976012504_S01.tcga_level3.txt
TCGA-BH-A0HK-01A,CNA/A07_697200.hg19.txt,GE/US82800149_251976012510_S01.tcga_level3.txt
TCGA-AO-A0JF-01A,CNA/A09_697146.hg19.txt,GE/US82800149_251976012517_S01.tcga_level3.txt
TCGA-BH-A0DP-01A,CNA/B01_697160.hg19.txt,GE/US82800149_251976012261_S01.tcga_level3.txt
TCGA-AO-A0JJ-01A,CNA/B03_697186.hg19.txt,GE/US82800149_251976012204_S01.tcga_level3.txt
TCGA-A8-A0A6-01A,CNA/B05_697036.hg19.txt,GE/US82800149_251976012205_S01.tcga_level3.txt
TCGA-AO-A0JM-01A,CNA/B07_697190.hg19.txt,GE/US82800149_251976012483_S01.tcga_level3.txt
TCGA-BH-A0HB-01A,CNA/B08_697166.hg19.txt,GE/US82800149_251976012487_S01.tcga_level3.txt
TCGA-A2-A0EU-01A,CNA/B10_697116.hg19.txt,GE/US82800149_251976012503_S01.tcga_level3.txt
TCGA-B6-A0RI-01A,CNA/B11_697062.hg19.txt,GE/US82800149_251976012512_S01.tcga_level3.txt
TCGA-AO-A03L-01A,CNA/C01_697154.hg19.txt,GE/US82800149_251976012154_S01.tcga_level3.txt
TCGA-BH-A0B9-01A,CNA/C02_697152.hg19.txt,GE/US82800149_251976012155_S01.tcga_level3.txt
TCGA-BH-A0HY-01A,CNA/C03_707088.hg19.txt,GE/US82800149_251976012263_S01.tcga_level3.txt
TCGA-AO-A0JI-01A,CNA/C04_697074.hg19.txt,GE/US82800149_251976012264_S01.tcga_level3.txt
TCGA-BH-A0BA-01A,CNA/C06_697142.hg19.txt,GE/US82800149_251976012200_S01.tcga_level3.txt
